Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],78.36068792,Normal,Iteration and Timestep,39.18034396
2080,DROUGHT: High Severity [Type],43.81893719,Normal,Iteration and Timestep,21.90946859
2081,DROUGHT: High Severity [Type],551.3225458,Normal,Iteration and Timestep,275.6612729
2082,DROUGHT: High Severity [Type],731.7503217,Normal,Iteration and Timestep,365.8751609
2083,DROUGHT: High Severity [Type],64.46527259,Normal,Iteration and Timestep,32.2326363
2084,DROUGHT: High Severity [Type],72.40782631,Normal,Iteration and Timestep,36.20391315
2085,DROUGHT: High Severity [Type],185.8484079,Normal,Iteration and Timestep,92.92420396
2086,DROUGHT: High Severity [Type],339.7743946,Normal,Iteration and Timestep,169.8871973
2087,DROUGHT: High Severity [Type],985.3952047,Normal,Iteration and Timestep,492.6976023
2088,DROUGHT: High Severity [Type],1668.799201,Normal,Iteration and Timestep,834.3996007
2089,DROUGHT: High Severity [Type],3773.615849,Normal,Iteration and Timestep,1886.807924
2090,DROUGHT: High Severity [Type],2393.52688,Normal,Iteration and Timestep,1196.76344
2091,DROUGHT: High Severity [Type],396.4798292,Normal,Iteration and Timestep,198.2399146
2092,DROUGHT: High Severity [Type],93.67054431,Normal,Iteration and Timestep,46.83527215
2093,DROUGHT: High Severity [Type],355.4760838,Normal,Iteration and Timestep,177.7380419
2094,DROUGHT: High Severity [Type],1037.674066,Normal,Iteration and Timestep,518.8370329
2095,DROUGHT: High Severity [Type],831.9761271,Normal,Iteration and Timestep,415.9880635
2096,DROUGHT: High Severity [Type],11976.44923,Normal,Iteration and Timestep,5988.224613
2097,DROUGHT: High Severity [Type],2575.399075,Normal,Iteration and Timestep,1287.699537
2098,DROUGHT: High Severity [Type],1226.722088,Normal,Iteration and Timestep,613.3610439
2099,DROUGHT: High Severity [Type],376.9885424,Normal,Iteration and Timestep,188.4942712
2100,DROUGHT: High Severity [Type],34.04984457,Normal,Iteration and Timestep,17.02492228
2017,DROUGHT: Medium Severity [Type],154.2015934,Normal,Iteration and Timestep,77.10079672
2018,DROUGHT: Medium Severity [Type],435.1289262,Normal,Iteration and Timestep,217.5644631
2019,DROUGHT: Medium Severity [Type],2549.854957,Normal,Iteration and Timestep,1274.927479
2020,DROUGHT: Medium Severity [Type],5743.530326,Normal,Iteration and Timestep,2871.765163
2021,DROUGHT: Medium Severity [Type],1851.68444,Normal,Iteration and Timestep,925.8422199
2022,DROUGHT: Medium Severity [Type],219.5592981,Normal,Iteration and Timestep,109.7796491
2023,DROUGHT: Medium Severity [Type],535.0734788,Normal,Iteration and Timestep,267.5367394
2024,DROUGHT: Medium Severity [Type],275.0149978,Normal,Iteration and Timestep,137.5074989
2025,DROUGHT: Medium Severity [Type],275.4814691,Normal,Iteration and Timestep,137.7407345
2026,DROUGHT: Medium Severity [Type],307.4765446,Normal,Iteration and Timestep,153.7382723
2027,DROUGHT: Medium Severity [Type],472.1838954,Normal,Iteration and Timestep,236.0919477
2028,DROUGHT: Medium Severity [Type],357.817551,Normal,Iteration and Timestep,178.9087755
2029,DROUGHT: Medium Severity [Type],295.3742989,Normal,Iteration and Timestep,147.6871495
2030,DROUGHT: Medium Severity [Type],112.1137482,Normal,Iteration and Timestep,56.05687408
2031,DROUGHT: Medium Severity [Type],103.1023443,Normal,Iteration and Timestep,51.55117216
2032,DROUGHT: Medium Severity [Type],143.9422305,Normal,Iteration and Timestep,71.97111523
2033,DROUGHT: Medium Severity [Type],77.76115682,Normal,Iteration and Timestep,38.88057841
2034,DROUGHT: Medium Severity [Type],39.77583444,Normal,Iteration and Timestep,19.88791722
2035,DROUGHT: Medium Severity [Type],93.0696364,Normal,Iteration and Timestep,46.5348182
2036,DROUGHT: Medium Severity [Type],65.13445812,Normal,Iteration and Timestep,32.56722906
2037,DROUGHT: Medium Severity [Type],76.43099312,Normal,Iteration and Timestep,38.21549656
