Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],336.9963554,Normal,Iteration and Timestep,168.4981777
2080,DROUGHT: High Severity [Type],32.20683159,Normal,Iteration and Timestep,16.1034158
2081,DROUGHT: High Severity [Type],19.83962573,Normal,Iteration and Timestep,9.919812863
2082,DROUGHT: High Severity [Type],17.90139618,Normal,Iteration and Timestep,8.950698091
2083,DROUGHT: High Severity [Type],49.30282075,Normal,Iteration and Timestep,24.65141037
2084,DROUGHT: High Severity [Type],308.2424424,Normal,Iteration and Timestep,154.1212212
2085,DROUGHT: High Severity [Type],10055.20568,Normal,Iteration and Timestep,5027.602838
2086,DROUGHT: High Severity [Type],3215.120381,Normal,Iteration and Timestep,1607.560191
2087,DROUGHT: High Severity [Type],562.8518019,Normal,Iteration and Timestep,281.425901
2088,DROUGHT: High Severity [Type],205.0703192,Normal,Iteration and Timestep,102.5351596
2089,DROUGHT: High Severity [Type],29.01910501,Normal,Iteration and Timestep,14.50955251
2090,DROUGHT: High Severity [Type],4.844681566,Normal,Iteration and Timestep,2.422340783
2091,DROUGHT: High Severity [Type],2.302690627,Normal,Iteration and Timestep,1.151345314
2092,DROUGHT: High Severity [Type],4.743240331,Normal,Iteration and Timestep,2.371620166
2093,DROUGHT: High Severity [Type],3.710310638,Normal,Iteration and Timestep,1.855155319
2094,DROUGHT: High Severity [Type],8.678913008,Normal,Iteration and Timestep,4.339456504
2095,DROUGHT: High Severity [Type],21.68898038,Normal,Iteration and Timestep,10.84449019
2096,DROUGHT: High Severity [Type],239.7078737,Normal,Iteration and Timestep,119.8539368
2097,DROUGHT: High Severity [Type],657.6212146,Normal,Iteration and Timestep,328.8106073
2098,DROUGHT: High Severity [Type],292.9786242,Normal,Iteration and Timestep,146.4893121
2099,DROUGHT: High Severity [Type],374.1833417,Normal,Iteration and Timestep,187.0916708
2100,DROUGHT: High Severity [Type],1154.684876,Normal,Iteration and Timestep,577.3424382
2017,DROUGHT: Medium Severity [Type],186.1519044,Normal,Iteration and Timestep,93.07595222
2018,DROUGHT: Medium Severity [Type],64.41086233,Normal,Iteration and Timestep,32.20543116
2019,DROUGHT: Medium Severity [Type],48.74503905,Normal,Iteration and Timestep,24.37251953
2020,DROUGHT: Medium Severity [Type],36.96411192,Normal,Iteration and Timestep,18.48205596
2021,DROUGHT: Medium Severity [Type],115.3323776,Normal,Iteration and Timestep,57.66618879
2022,DROUGHT: Medium Severity [Type],123.3091185,Normal,Iteration and Timestep,61.65455926
2023,DROUGHT: Medium Severity [Type],622.9911318,Normal,Iteration and Timestep,311.4955659
2024,DROUGHT: Medium Severity [Type],1269.962097,Normal,Iteration and Timestep,634.9810486
2025,DROUGHT: Medium Severity [Type],2011.616478,Normal,Iteration and Timestep,1005.808239
2026,DROUGHT: Medium Severity [Type],794.4597661,Normal,Iteration and Timestep,397.229883
2027,DROUGHT: Medium Severity [Type],863.1003238,Normal,Iteration and Timestep,431.5501619
2028,DROUGHT: Medium Severity [Type],874.0765203,Normal,Iteration and Timestep,437.0382601
2029,DROUGHT: Medium Severity [Type],1094.270041,Normal,Iteration and Timestep,547.1350204
2030,DROUGHT: Medium Severity [Type],955.8444378,Normal,Iteration and Timestep,477.9222189
2031,DROUGHT: Medium Severity [Type],1186.208309,Normal,Iteration and Timestep,593.1041546
2032,DROUGHT: Medium Severity [Type],426.9182791,Normal,Iteration and Timestep,213.4591396
2033,DROUGHT: Medium Severity [Type],314.1888349,Normal,Iteration and Timestep,157.0944175
2034,DROUGHT: Medium Severity [Type],105.5892481,Normal,Iteration and Timestep,52.79462405
2035,DROUGHT: Medium Severity [Type],61.79865075,Normal,Iteration and Timestep,30.89932538
2036,DROUGHT: Medium Severity [Type],68.01157255,Normal,Iteration and Timestep,34.00578628
2037,DROUGHT: Medium Severity [Type],103.601682,Normal,Iteration and Timestep,51.800841
2038,DROUGHT: Medium Severity [Type],187.5089439,Normal,Iteration and Timestep,93.75447197
2039,DROUGHT: Medium Severity [Type],104.0028279,Normal,Iteration and Timestep,52.00141396
2040,DROUGHT: Medium Severity [Type],453.7507125,Normal,Iteration and Timestep,226.8753563
2041,DROUGHT: Medium Severity [Type],741.3422214,Normal,Iteration and Timestep,370.6711107
2042,DROUGHT: Medium Severity [Type],527.5628461,Normal,Iteration and Timestep,263.781423
2043,DROUGHT: Medium Severity [Type],486.9473561,Normal,Iteration and Timestep,243.4736781
2044,DROUGHT: Medium Severity [Type],614.6445901,Normal,Iteration and Timestep,307.3222951
2045,DROUGHT: Medium Severity [Type],388.5682533,Normal,Iteration and Timestep,194.2841266
2046,DROUGHT: Medium Severity [Type],233.6926305,Normal,Iteration and Timestep,116.8463153
2047,DROUGHT: Medium Severity [Type],224.9163975,Normal,Iteration and Timestep,112.4581988
2048,DROUGHT: Medium Severity [Type],346.8798684,Normal,Iteration and Timestep,173.4399342
2049,DROUGHT: Medium Severity [Type],806.93435,Normal,Iteration and Timestep,403.467175
2050,DROUGHT: Medium Severity [Type],622.8918092,Normal,Iteration and Timestep,311.4459046
2051,DROUGHT: Medium Severity [Type],75.04450212,Normal,Iteration and Timestep,37.52225106
2052,DROUGHT: Medium Severity [Type],205.3763688,Normal,Iteration and Timestep,102.6881844
2053,DROUGHT: Medium Severity [Type],182.3255039,Normal,Iteration and Timestep,91.16275195
2054,DROUGHT: Medium Severity [Type],446.452211,Normal,Iteration and Timestep,223.2261055
2055,DROUGHT: Medium Severity [Type],194.9497467,Normal,Iteration and Timestep,97.47487335
2056,DROUGHT: Medium Severity [Type],1133.858557,Normal,Iteration and Timestep,566.9292786
2057,DROUGHT: Medium Severity [Type],161.8138316,Normal,Iteration and Timestep,80.90691578
2058,DROUGHT: Medium Severity [Type],96.84879872,Normal,Iteration and Timestep,48.42439936
2059,DROUGHT: Medium Severity [Type],37.7797721,Normal,Iteration and Timestep,18.88988605
2060,DROUGHT: Medium Severity [Type],26.15464477,Normal,Iteration and Timestep,13.07732239
2061,DROUGHT: Medium Severity [Type],49.01837669,Normal,Iteration and Timestep,24.50918835
2062,DROUGHT: Medium Severity [Type],194.0871251,Normal,Iteration and Timestep,97.04356256
2063,DROUGHT: Medium Severity [Type],115.4797106,Normal,Iteration and Timestep,57.73985528
2064,DROUGHT: Medium Severity [Type],453.1337736,Normal,Iteration and Timestep,226.5668868
2065,DROUGHT: Medium Severity [Type],618.9070993,Normal,Iteration and Timestep,309.4535496
2066,DROUGHT: Medium Severity [Type],1322.664225,Normal,Iteration and Timestep,661.3321125
2067,DROUGHT: Medium Severity [Type],472.2000012,Normal,Iteration and Timestep,236.1000006
2068,DROUGHT: Medium Severity [Type],2846.010835,Normal,Iteration and Timestep,1423.005418
2069,DROUGHT: Medium Severity [Type],376.5004168,Normal,Iteration and Timestep,188.2502084
2070,DROUGHT: Medium Severity [Type],150.3044905,Normal,Iteration and Timestep,75.15224525
2071,DROUGHT: Medium Severity [Type],577.189725,Normal,Iteration and Timestep,288.5948625
2072,DROUGHT: Medium Severity [Type],350.3550198,Normal,Iteration and Timestep,175.1775099
2073,DROUGHT: Medium Severity [Type],214.8222565,Normal,Iteration and Timestep,107.4111283
2074,DROUGHT: Medium Severity [Type],273.6148246,Normal,Iteration and Timestep,136.8074123
2075,DROUGHT: Medium Severity [Type],184.6314915,Normal,Iteration and Timestep,92.31574577
2076,DROUGHT: Medium Severity [Type],75.08414828,Normal,Iteration and Timestep,37.54207414
2077,DROUGHT: Medium Severity [Type],78.46139077,Normal,Iteration and Timestep,39.23069538
2078,DROUGHT: Medium Severity [Type],157.2584776,Normal,Iteration and Timestep,78.62923882
2079,DROUGHT: Medium Severity [Type],196.0696124,Normal,Iteration and Timestep,98.03480619
2080,DROUGHT: Medium Severity [Type],24.53087267,Normal,Iteration and Timestep,12.26543634
2081,DROUGHT: Medium Severity [Type],15.7599617,Normal,Iteration and Timestep,7.87998085
2082,DROUGHT: Medium Severity [Type],14.27583996,Normal,Iteration and Timestep,7.13791998
2083,DROUGHT: Medium Severity [Type],35.40443592,Normal,Iteration and Timestep,17.70221796
