Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],286.9645631,Normal,Iteration and Timestep,143.4822815
2018,DROUGHT: High Severity [Type],82.0079471,Normal,Iteration and Timestep,41.00397355
2019,DROUGHT: High Severity [Type],75.5310859,Normal,Iteration and Timestep,37.76554295
2020,DROUGHT: High Severity [Type],145.9015597,Normal,Iteration and Timestep,72.95077986
2021,DROUGHT: High Severity [Type],273.1209239,Normal,Iteration and Timestep,136.560462
2022,DROUGHT: High Severity [Type],187.69235,Normal,Iteration and Timestep,93.846175
2023,DROUGHT: High Severity [Type],645.839829,Normal,Iteration and Timestep,322.9199145
2024,DROUGHT: High Severity [Type],1148.185486,Normal,Iteration and Timestep,574.092743
2025,DROUGHT: High Severity [Type],3095.159565,Normal,Iteration and Timestep,1547.579782
2026,DROUGHT: High Severity [Type],1822.506223,Normal,Iteration and Timestep,911.2531114
2027,DROUGHT: High Severity [Type],422.3957136,Normal,Iteration and Timestep,211.1978568
2028,DROUGHT: High Severity [Type],210.1739604,Normal,Iteration and Timestep,105.0869802
2029,DROUGHT: High Severity [Type],198.2307895,Normal,Iteration and Timestep,99.11539475
2030,DROUGHT: High Severity [Type],187.788023,Normal,Iteration and Timestep,93.89401149
2031,DROUGHT: High Severity [Type],274.7457873,Normal,Iteration and Timestep,137.3728936
2032,DROUGHT: High Severity [Type],195.2358641,Normal,Iteration and Timestep,97.61793207
2033,DROUGHT: High Severity [Type],25.11724829,Normal,Iteration and Timestep,12.55862414
2034,DROUGHT: High Severity [Type],22.61781506,Normal,Iteration and Timestep,11.30890753
2035,DROUGHT: High Severity [Type],97.43907448,Normal,Iteration and Timestep,48.71953724
2036,DROUGHT: High Severity [Type],32.63311159,Normal,Iteration and Timestep,16.3165558
2037,DROUGHT: High Severity [Type],113.361364,Normal,Iteration and Timestep,56.68068201
2038,DROUGHT: High Severity [Type],118.9249113,Normal,Iteration and Timestep,59.46245566
2039,DROUGHT: High Severity [Type],112.9526992,Normal,Iteration and Timestep,56.47634962
2040,DROUGHT: High Severity [Type],51.5172127,Normal,Iteration and Timestep,25.75860635
2041,DROUGHT: High Severity [Type],204.0210535,Normal,Iteration and Timestep,102.0105267
2042,DROUGHT: High Severity [Type],636.0193004,Normal,Iteration and Timestep,318.0096502
2043,DROUGHT: High Severity [Type],510.6107249,Normal,Iteration and Timestep,255.3053624
2044,DROUGHT: High Severity [Type],64.74206452,Normal,Iteration and Timestep,32.37103226
2045,DROUGHT: High Severity [Type],204.343522,Normal,Iteration and Timestep,102.171761
2046,DROUGHT: High Severity [Type],206.9086956,Normal,Iteration and Timestep,103.4543478
2047,DROUGHT: High Severity [Type],159.8581724,Normal,Iteration and Timestep,79.92908622
2048,DROUGHT: High Severity [Type],47.74350874,Normal,Iteration and Timestep,23.87175437
2049,DROUGHT: High Severity [Type],223.8001291,Normal,Iteration and Timestep,111.9000645
2050,DROUGHT: High Severity [Type],127.910777,Normal,Iteration and Timestep,63.95538852
