Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],263.934615,Normal,Iteration and Timestep,131.9673075
2080,DROUGHT: High Severity [Type],56.41995487,Normal,Iteration and Timestep,28.20997744
2081,DROUGHT: High Severity [Type],13.64687937,Normal,Iteration and Timestep,6.823439684
2082,DROUGHT: High Severity [Type],64.57017034,Normal,Iteration and Timestep,32.28508517
2083,DROUGHT: High Severity [Type],30.27031215,Normal,Iteration and Timestep,15.13515608
2084,DROUGHT: High Severity [Type],9.676093162,Normal,Iteration and Timestep,4.838046581
2085,DROUGHT: High Severity [Type],46.06166502,Normal,Iteration and Timestep,23.03083251
2086,DROUGHT: High Severity [Type],24.23925341,Normal,Iteration and Timestep,12.11962671
2087,DROUGHT: High Severity [Type],33.8654753,Normal,Iteration and Timestep,16.93273765
2088,DROUGHT: High Severity [Type],9.196802081,Normal,Iteration and Timestep,4.598401041
2089,DROUGHT: High Severity [Type],13.39870971,Normal,Iteration and Timestep,6.699354857
2090,DROUGHT: High Severity [Type],12.76386433,Normal,Iteration and Timestep,6.381932165
2091,DROUGHT: High Severity [Type],409.678288,Normal,Iteration and Timestep,204.839144
2092,DROUGHT: High Severity [Type],1079.961251,Normal,Iteration and Timestep,539.9806253
2093,DROUGHT: High Severity [Type],862.2132323,Normal,Iteration and Timestep,431.1066161
2094,DROUGHT: High Severity [Type],1394.032142,Normal,Iteration and Timestep,697.016071
2095,DROUGHT: High Severity [Type],1793.932283,Normal,Iteration and Timestep,896.9661416
2096,DROUGHT: High Severity [Type],1406.98956,Normal,Iteration and Timestep,703.4947799
2097,DROUGHT: High Severity [Type],329.9476377,Normal,Iteration and Timestep,164.9738189
2098,DROUGHT: High Severity [Type],496.6310755,Normal,Iteration and Timestep,248.3155378
2099,DROUGHT: High Severity [Type],425.5127274,Normal,Iteration and Timestep,212.7563637
2100,DROUGHT: High Severity [Type],719.329602,Normal,Iteration and Timestep,359.664801
2017,DROUGHT: Medium Severity [Type],35.37890193,Normal,Iteration and Timestep,17.68945096
2018,DROUGHT: Medium Severity [Type],28.91074549,Normal,Iteration and Timestep,14.45537274
2019,DROUGHT: Medium Severity [Type],27.65171394,Normal,Iteration and Timestep,13.82585697
2020,DROUGHT: Medium Severity [Type],117.9048103,Normal,Iteration and Timestep,58.95240517
2021,DROUGHT: Medium Severity [Type],2515.433061,Normal,Iteration and Timestep,1257.71653
2022,DROUGHT: Medium Severity [Type],921.1361411,Normal,Iteration and Timestep,460.5680706
2023,DROUGHT: Medium Severity [Type],1042.178966,Normal,Iteration and Timestep,521.0894828
2024,DROUGHT: Medium Severity [Type],756.0151419,Normal,Iteration and Timestep,378.007571
2025,DROUGHT: Medium Severity [Type],1075.65977,Normal,Iteration and Timestep,537.8298852
2026,DROUGHT: Medium Severity [Type],370.5343924,Normal,Iteration and Timestep,185.2671962
2027,DROUGHT: Medium Severity [Type],1206.976927,Normal,Iteration and Timestep,603.4884634
2028,DROUGHT: Medium Severity [Type],320.5615934,Normal,Iteration and Timestep,160.2807967
2029,DROUGHT: Medium Severity [Type],212.415622,Normal,Iteration and Timestep,106.207811
2030,DROUGHT: Medium Severity [Type],162.6147055,Normal,Iteration and Timestep,81.30735277
2031,DROUGHT: Medium Severity [Type],567.3096632,Normal,Iteration and Timestep,283.6548316
2032,DROUGHT: Medium Severity [Type],420.7070445,Normal,Iteration and Timestep,210.3535222
2033,DROUGHT: Medium Severity [Type],477.5117742,Normal,Iteration and Timestep,238.7558871
2034,DROUGHT: Medium Severity [Type],548.4871661,Normal,Iteration and Timestep,274.243583
2035,DROUGHT: Medium Severity [Type],423.8674887,Normal,Iteration and Timestep,211.9337443
2036,DROUGHT: Medium Severity [Type],201.7147516,Normal,Iteration and Timestep,100.8573758
2037,DROUGHT: Medium Severity [Type],47.5137577,Normal,Iteration and Timestep,23.75687885
2038,DROUGHT: Medium Severity [Type],136.5604983,Normal,Iteration and Timestep,68.28024913
2039,DROUGHT: Medium Severity [Type],295.9691217,Normal,Iteration and Timestep,147.9845608
2040,DROUGHT: Medium Severity [Type],160.1994478,Normal,Iteration and Timestep,80.09972392
2041,DROUGHT: Medium Severity [Type],348.5522704,Normal,Iteration and Timestep,174.2761352
2042,DROUGHT: Medium Severity [Type],1135.551416,Normal,Iteration and Timestep,567.7757082
2043,DROUGHT: Medium Severity [Type],2038.882883,Normal,Iteration and Timestep,1019.441441
2044,DROUGHT: Medium Severity [Type],1239.281818,Normal,Iteration and Timestep,619.6409088
2045,DROUGHT: Medium Severity [Type],2055.955833,Normal,Iteration and Timestep,1027.977917
2046,DROUGHT: Medium Severity [Type],140.6136882,Normal,Iteration and Timestep,70.30684412
2047,DROUGHT: Medium Severity [Type],244.0494053,Normal,Iteration and Timestep,122.0247027
2048,DROUGHT: Medium Severity [Type],89.9220386,Normal,Iteration and Timestep,44.9610193
2049,DROUGHT: Medium Severity [Type],64.22794542,Normal,Iteration and Timestep,32.11397271
2050,DROUGHT: Medium Severity [Type],58.6160479,Normal,Iteration and Timestep,29.30802395
2051,DROUGHT: Medium Severity [Type],179.993188,Normal,Iteration and Timestep,89.99659398
2052,DROUGHT: Medium Severity [Type],420.2711551,Normal,Iteration and Timestep,210.1355775
2053,DROUGHT: Medium Severity [Type],962.2440706,Normal,Iteration and Timestep,481.1220353
2054,DROUGHT: Medium Severity [Type],852.223593,Normal,Iteration and Timestep,426.1117965
2055,DROUGHT: Medium Severity [Type],727.8820164,Normal,Iteration and Timestep,363.9410082
2056,DROUGHT: Medium Severity [Type],2512.512331,Normal,Iteration and Timestep,1256.256165
2057,DROUGHT: Medium Severity [Type],1058.389562,Normal,Iteration and Timestep,529.1947808
2058,DROUGHT: Medium Severity [Type],1013.200224,Normal,Iteration and Timestep,506.6001122
2059,DROUGHT: Medium Severity [Type],209.3067272,Normal,Iteration and Timestep,104.6533636
2060,DROUGHT: Medium Severity [Type],42.53346691,Normal,Iteration and Timestep,21.26673346
2061,DROUGHT: Medium Severity [Type],12.39387294,Normal,Iteration and Timestep,6.196936472
2062,DROUGHT: Medium Severity [Type],17.19812641,Normal,Iteration and Timestep,8.599063206
2063,DROUGHT: Medium Severity [Type],23.83331034,Normal,Iteration and Timestep,11.91665517
2064,DROUGHT: Medium Severity [Type],121.3147538,Normal,Iteration and Timestep,60.65737689
2065,DROUGHT: Medium Severity [Type],1040.925772,Normal,Iteration and Timestep,520.4628859
2066,DROUGHT: Medium Severity [Type],533.964733,Normal,Iteration and Timestep,266.9823665
2067,DROUGHT: Medium Severity [Type],156.9532226,Normal,Iteration and Timestep,78.47661132
2068,DROUGHT: Medium Severity [Type],59.0616267,Normal,Iteration and Timestep,29.53081335
2069,DROUGHT: Medium Severity [Type],20.37627551,Normal,Iteration and Timestep,10.18813775
2070,DROUGHT: Medium Severity [Type],7.696010039,Normal,Iteration and Timestep,3.84800502
2071,DROUGHT: Medium Severity [Type],9.039341792,Normal,Iteration and Timestep,4.519670896
2072,DROUGHT: Medium Severity [Type],43.59975912,Normal,Iteration and Timestep,21.79987956
2073,DROUGHT: Medium Severity [Type],350.8944583,Normal,Iteration and Timestep,175.4472292
