Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2014,,San Francisco,,URBANIZATION,1.3971,,,,,
,2014,,San Joaquin,,URBANIZATION,6.4757,,,,,
,2014,,San Luis Obispo,,URBANIZATION,2.1586,,,,,
,2014,,San Mateo,,URBANIZATION,3.5459,,,,,
,2014,,Santa Barbara,,URBANIZATION,3.0425,,,,,
,2014,,Santa Clara,,URBANIZATION,12.5483,,,,,
,2014,,Santa Cruz,,URBANIZATION,0.9027,,,,,
,2014,,Shasta,,URBANIZATION,0.3213,,,,,
,2014,,Sierra Valley,,URBANIZATION,0,,,,,
,2014,,Siskiyou,,URBANIZATION,0,,,,,
,2014,,Solano,,URBANIZATION,2.7035,,,,,
,2014,,Sonoma,,URBANIZATION,2.1855,,,,,
,2014,,Stanislaus,,URBANIZATION,2.0476,,,,,
,2014,,Sutter,,URBANIZATION,0.3233,,,,,
,2014,,Tehama,,URBANIZATION,0.0606,,,,,
,2014,,Trinity,,URBANIZATION,0,,,,,
,2014,,Tulare,,URBANIZATION,1.674,,,,,
,2014,,Tuolumne,,URBANIZATION,0,,,,,
,2014,,Ventura,,URBANIZATION,3.2376,,,,,
,2014,,Yolo,,URBANIZATION,1.0309,,,,,
,2014,,Yuba,,URBANIZATION,0.3256,,,,,
,2015,,Alameda,,URBANIZATION,9.3968,,,,,
,2015,,Alpine,,URBANIZATION,0.0009,,,,,
,2015,,Amador,,URBANIZATION,0,,,,,
,2015,,Butte,,URBANIZATION,0.3945,,,,,
,2015,,Calaveras,,URBANIZATION,0,,,,,
,2015,,Colusa,,URBANIZATION,0.127,,,,,
,2015,,Contra Costa,,URBANIZATION,9.0536,,,,,
,2015,,Del Norte,,URBANIZATION,0,,,,,
,2015,,El Dorado,,URBANIZATION,0.2489,,,,,
,2015,,Fresno,,URBANIZATION,6.3981,,,,,
,2015,,Glenn,,URBANIZATION,0.1166,,,,,
,2015,,Humboldt,,URBANIZATION,0.3911,,,,,
,2015,,Imperial,,URBANIZATION,1.364,,,,,
,2015,,Inyo,,URBANIZATION,0.0412,,,,,
,2015,,Kern,,URBANIZATION,5.5123,,,,,
,2015,,Kings,,URBANIZATION,0.2745,,,,,
,2015,,Lake,,URBANIZATION,0.1121,,,,,
,2015,,Lassen,,URBANIZATION,0,,,,,
,2015,,Los Angeles,,URBANIZATION,23.8264,,,,,
,2015,,Madera,,URBANIZATION,0.4917,,,,,
,2015,,Marin,,URBANIZATION,0.7592,,,,,
,2015,,Mariposa,,URBANIZATION,0,,,,,
,2015,,Mendocino,,URBANIZATION,0,,,,,
,2015,,Merced,,URBANIZATION,1.3203,,,,,
,2015,,Modoc,,URBANIZATION,0,,,,,
,2015,,Mono,,URBANIZATION,0,,,,,
,2015,,Monterey,,URBANIZATION,5.2563,,,,,
,2015,,Napa,,URBANIZATION,0.6957,,,,,
,2015,,Nevada,,URBANIZATION,0,,,,,
,2015,,Orange,,URBANIZATION,11.154,,,,,
,2015,,Placer,,URBANIZATION,2.4668,,,,,
,2015,,Plumas,,URBANIZATION,0,,,,,
,2015,,Riverside,,URBANIZATION,21.3621,,,,,
,2015,,Sacramento,,URBANIZATION,9.0164,,,,,
,2015,,San Benito,,URBANIZATION,0.4701,,,,,
,2015,,San Bernardino,,URBANIZATION,12.6495,,,,,
,2015,,San Diego,,URBANIZATION,17.0482,,,,,
,2015,,San Francisco,,URBANIZATION,1.496,,,,,
,2015,,San Joaquin,,URBANIZATION,6.3851,,,,,
,2015,,San Luis Obispo,,URBANIZATION,0.7983,,,,,
,2015,,San Mateo,,URBANIZATION,3.782,,,,,
,2015,,Santa Barbara,,URBANIZATION,3.3925,,,,,
,2015,,Santa Clara,,URBANIZATION,13.1008,,,,,
,2015,,Santa Cruz,,URBANIZATION,1.8398,,,,,
,2015,,Shasta,,URBANIZATION,0,,,,,
,2015,,Sierra Valley,,URBANIZATION,0,,,,,
,2015,,Siskiyou,,URBANIZATION,0,,,,,
,2015,,Solano,,URBANIZATION,2.148,,,,,
,2015,,Sonoma,,URBANIZATION,1.9129,,,,,
,2015,,Stanislaus,,URBANIZATION,3.0597,,,,,
,2015,,Sutter,,URBANIZATION,0.3422,,,,,
,2015,,Tehama,,URBANIZATION,0.0647,,,,,
