Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],24.88701592,Normal,Iteration and Timestep,12.44350796
2080,DROUGHT: High Severity [Type],59.45603338,Normal,Iteration and Timestep,29.72801669
2081,DROUGHT: High Severity [Type],133.4972443,Normal,Iteration and Timestep,66.74862217
2082,DROUGHT: High Severity [Type],728.9288068,Normal,Iteration and Timestep,364.4644034
2083,DROUGHT: High Severity [Type],1438.801379,Normal,Iteration and Timestep,719.4006895
2084,DROUGHT: High Severity [Type],1049.997387,Normal,Iteration and Timestep,524.9986933
2085,DROUGHT: High Severity [Type],1948.253737,Normal,Iteration and Timestep,974.1268685
2086,DROUGHT: High Severity [Type],4020.506916,Normal,Iteration and Timestep,2010.253458
2087,DROUGHT: High Severity [Type],5984.622874,Normal,Iteration and Timestep,2992.311437
2088,DROUGHT: High Severity [Type],676.1697469,Normal,Iteration and Timestep,338.0848734
2089,DROUGHT: High Severity [Type],301.6746336,Normal,Iteration and Timestep,150.8373168
2090,DROUGHT: High Severity [Type],626.1716485,Normal,Iteration and Timestep,313.0858243
2091,DROUGHT: High Severity [Type],118.4991909,Normal,Iteration and Timestep,59.24959546
2092,DROUGHT: High Severity [Type],145.7698211,Normal,Iteration and Timestep,72.88491057
2093,DROUGHT: High Severity [Type],421.4796618,Normal,Iteration and Timestep,210.7398309
2094,DROUGHT: High Severity [Type],1934.76349,Normal,Iteration and Timestep,967.3817452
2095,DROUGHT: High Severity [Type],961.7945546,Normal,Iteration and Timestep,480.8972773
2096,DROUGHT: High Severity [Type],3674.468974,Normal,Iteration and Timestep,1837.234487
2097,DROUGHT: High Severity [Type],2780.061285,Normal,Iteration and Timestep,1390.030642
2098,DROUGHT: High Severity [Type],1859.287427,Normal,Iteration and Timestep,929.6437134
2099,DROUGHT: High Severity [Type],312.7964466,Normal,Iteration and Timestep,156.3982233
2100,DROUGHT: High Severity [Type],67.40642917,Normal,Iteration and Timestep,33.70321458
2017,DROUGHT: Medium Severity [Type],10.60873019,Normal,Iteration and Timestep,5.304365096
2018,DROUGHT: Medium Severity [Type],10.83554585,Normal,Iteration and Timestep,5.417772925
2019,DROUGHT: Medium Severity [Type],10.94959918,Normal,Iteration and Timestep,5.47479959
2020,DROUGHT: Medium Severity [Type],14.67550978,Normal,Iteration and Timestep,7.337754889
2021,DROUGHT: Medium Severity [Type],41.91934298,Normal,Iteration and Timestep,20.95967149
2022,DROUGHT: Medium Severity [Type],75.10902674,Normal,Iteration and Timestep,37.55451337
