Timestep,StockGroup,LULC,Mean,Lower,Upper
2005,Soil,Wetland,0.5,0.3,0.8
2006,DOM,Agriculture,15.5,15.4,15.5
2006,DOM,Barren,0,0,0
2006,DOM,Developed,0,0,0
2006,DOM,Forest,327.4,327,327.8
2006,DOM,Grassland,14.8,14.8,14.8
2006,DOM,Shrubland,28.6,28.6,28.7
2006,DOM,SnowIce,0,0,0
2006,DOM,Water,0,0,0
2006,DOM,Wetland,0,0,0
2006,Live,Agriculture,51.4,51.2,51.5
2006,Live,Barren,0,0,0
2006,Live,Developed,0.1,0.1,0.2
2006,Live,Forest,1644.8,1643.4,1646.1
2006,Live,Grassland,14.1,14.1,14.1
2006,Live,Shrubland,116.1,116,116.2
2006,Live,SnowIce,0,0,0
2006,Live,Water,0,0,0
2006,Live,Wetland,0,0,0
2006,Soil,Agriculture,407.1,406.3,407.8
2006,Soil,Barren,0,0,0
2006,Soil,Developed,5.3,4.9,5.7
2006,Soil,Forest,1517.3,1517,1517.7
2006,Soil,Grassland,353.4,352.9,353.9
2006,Soil,Shrubland,343.3,343,343.6
2006,Soil,SnowIce,0,0,0
2006,Soil,Water,0,0,0
2006,Soil,Wetland,0.7,0.5,1
2007,DOM,Agriculture,15.9,15.8,15.9
2007,DOM,Barren,0,0,0
2007,DOM,Developed,0,0,0
2007,DOM,Forest,328.6,328.2,329
2007,DOM,Grassland,14.6,14.5,14.6
2007,DOM,Shrubland,28.8,28.8,28.9
2007,DOM,SnowIce,0,0,0
2007,DOM,Water,0,0,0
2007,DOM,Wetland,0,0,0
2007,Live,Agriculture,41.4,41.2,41.5
2007,Live,Barren,0,0,0
2007,Live,Developed,0.2,0.1,0.2
2007,Live,Forest,1616.7,1615.2,1618.1
2007,Live,Grassland,7.7,7.7,7.8
2007,Live,Shrubland,109.5,109.3,109.6
2007,Live,SnowIce,0,0,0
2007,Live,Water,0,0,0
2007,Live,Wetland,0,0,0.1
2007,Soil,Agriculture,405.7,404.9,406.5
2007,Soil,Barren,0,0,0
2007,Soil,Developed,6,5.6,6.3
2007,Soil,Forest,1516.6,1516.3,1517.1
2007,Soil,Grassland,354.2,353.6,354.8
2007,Soil,Shrubland,343.2,342.9,343.5
2007,Soil,SnowIce,0,0,0
2007,Soil,Water,0,0,0
2007,Soil,Wetland,1,0.7,1.3
