Source,Variable,Mg,Tg
Blackard,AGL,994238029.8092306,994.2380298092306
Gonzalez 2001,AGL,812231392.874077,812.231392874077
Gonzalez 2010,AGL,753469475.4701209,753.469475470121
Kellendorfer,AGL,835054378.8382896,835.0543788382896
Sleeter 2001,AGL,1196319999.484126,1196.3199994841261
Wilson,AGL,830626128.7889665,830.6261287889665
