LUC,GCM,RCP,Flux,Mean,Lower,Upper
BAU,CNRM-CM5,rcp45,Rh,10265.126131806473,10219.405835164913,10313.614575673626
BAU,CNRM-CM5,rcp85,Emission (AgExpand),43.02267545014363,38.62616913787588,47.55021452230004
BAU,CNRM-CM5,rcp85,Emission (Biomass),652.4281990827217,628.4208529680903,677.3158467671846
BAU,CNRM-CM5,rcp85,Emission (Clearcut),35.968078531337085,34.4759406799717,37.80189176308126
BAU,CNRM-CM5,rcp85,Emission (Fire),282.50775480607444,266.71786674331094,301.01673343278753
BAU,CNRM-CM5,rcp85,Emission (Orchard Removal),287.19509835121755,275.9188305581424,296.8299620064414
BAU,CNRM-CM5,rcp85,Emission (Urban),117.09854975712246,107.15394034826961,129.05519386013214
BAU,CNRM-CM5,rcp85,Harvest (AgExpand),6.6572763252243385,5.637288413584831,7.975253256403362
BAU,CNRM-CM5,rcp85,Harvest (Clearcut),287.74462825069685,275.80752543978724,302.4151341046745
BAU,CNRM-CM5,rcp85,Harvest (Grain),864.9441574953869,852.2082656207427,877.691224267051
BAU,CNRM-CM5,rcp85,Harvest (Straw),540.9273698484911,529.8873335256724,553.1188993276592
BAU,CNRM-CM5,rcp85,Harvest (Thinning),57.19871601841575,52.92159751883736,60.592707307669016
BAU,CNRM-CM5,rcp85,Harvest (Urban),9.68387393728062,8.354731389019108,11.318976505253818
BAU,CNRM-CM5,rcp85,Leaching,190.47912874773886,189.9379679310436,190.95657012077726
BAU,CNRM-CM5,rcp85,LULCC,3375.855506601851,3329.311572538054,3427.505797648204
BAU,CNRM-CM5,rcp85,Mortality,1059.9142022868498,1029.374986451685,1090.342444566923
BAU,CNRM-CM5,rcp85,Mortality (Fire),167.26250691787206,155.5002200795604,177.95011595075334
BAU,CNRM-CM5,rcp85,Mortality (Harvest),143.87231412534922,137.90376271989007,151.2075670523322
BAU,CNRM-CM5,rcp85,Mortality (Insects),1004.6322055620003,911.342303549837,1094.564978973664
BAU,CNRM-CM5,rcp85,NECB,-174.28026070000533,-238.69356554721634,-126.18232153036439
BAU,CNRM-CM5,rcp85,NEP,3201.575245901846,3123.175010778372,3272.119345399821
BAU,CNRM-CM5,rcp85,NPP,13710.369065220946,13585.288884686459,13802.574834752886
BAU,CNRM-CM5,rcp85,Rh,10508.7938193191,10460.741963182747,10553.345620503194
BAU,HadGEM2-ES,rcp45,Emission (AgExpand),38.86729509622877,35.747412916753596,41.46293961235938
BAU,HadGEM2-ES,rcp45,Emission (Biomass),567.7966528886549,538.980844477119,594.5343268452732
BAU,HadGEM2-ES,rcp45,Emission (Clearcut),32.22427941945567,30.277627324546742,33.95066752360718
BAU,HadGEM2-ES,rcp45,Emission (Fire),316.0663094120931,298.54627608808084,330.65212893790886
BAU,HadGEM2-ES,rcp45,Emission (Orchard Removal),228.7650676353396,217.4858196589517,239.61816345267206
BAU,HadGEM2-ES,rcp45,Emission (Urban),103.75356225477256,93.67468333881388,111.54300296573147
BAU,HadGEM2-ES,rcp45,Harvest (AgExpand),5.797697556876617,4.9728449365170855,6.54494267395524
BAU,HadGEM2-ES,rcp45,Harvest (Clearcut),257.79423535564933,242.22101859638707,271.6053401888895
BAU,HadGEM2-ES,rcp45,Harvest (Grain),756.45988385866406,744.6197160026002,767.9709119853374
BAU,HadGEM2-ES,rcp45,Harvest (Straw),451.97371398697544,443.2302052865281,463.12974952927533
BAU,HadGEM2-ES,rcp45,Harvest (Thinning),50.48652956299399,47.08120442783235,54.017491244918375
BAU,HadGEM2-ES,rcp45,Harvest (Urban),8.627920097989946,7.240036769224446,9.607703180292294
BAU,HadGEM2-ES,rcp45,Leaching,183.42118460300838,182.86934189104693,183.9755399273791
BAU,HadGEM2-ES,rcp45,LULCC,3002.0343317287025,2949.046919592095,3063.181503795952
BAU,HadGEM2-ES,rcp45,Mortality,957.3768786678078,924.5247499274279,994.7924087231283
BAU,HadGEM2-ES,rcp45,Mortality (Fire),174.80269256689726,163.81119987294568,187.81855732185699
BAU,HadGEM2-ES,rcp45,Mortality (Harvest),128.89711767782478,121.11050929819234,135.80267009444015
BAU,HadGEM2-ES,rcp45,Mortality (Insects),1024.4444406069006,942.178049526952,1110.2634236986814
BAU,HadGEM2-ES,rcp45,NECB,-614.9947209242615,-653.793750880192,-570.3032850407043
BAU,HadGEM2-ES,rcp45,NEP,2387.039610804441,2315.193158187375,2463.6952258829797
BAU,HadGEM2-ES,rcp45,NPP,11721.273948886937,11619.078527901878,11814.770832259495
BAU,HadGEM2-ES,rcp45,Rh,9334.234338082497,9296.207809217878,9371.771035353035
BAU,HadGEM2-ES,rcp85,Emission (AgExpand),37.537316183426626,34.45158754923803,40.483110940546894
BAU,HadGEM2-ES,rcp85,Emission (Biomass),571.222656789102,546.0914065303496,595.5426382583277
BAU,HadGEM2-ES,rcp85,Emission (Clearcut),33.30339464426175,31.707902843678404,35.05585351386162
BAU,HadGEM2-ES,rcp85,Emission (Fire),292.6130156653103,277.63147542295496,306.81293520814245
BAU,HadGEM2-ES,rcp85,Emission (Orchard Removal),222.74039690419744,213.33933165392227,233.13602683442497
BAU,HadGEM2-ES,rcp85,Emission (Urban),101.22474085697847,91.51556840369884,110.03968565974657
BAU,HadGEM2-ES,rcp85,Harvest (AgExpand),5.567314098567574,4.888618133865267,6.438141198514812
BAU,HadGEM2-ES,rcp85,Harvest (Clearcut),266.4271571540935,253.66322274945193,280.4468281109106
BAU,HadGEM2-ES,rcp85,Harvest (Grain),753.0308566293454,740.4820388079653,763.7836927343585
BAU,HadGEM2-ES,rcp85,Harvest (Straw),449.2261000963933,439.149138403121,457.4014011510841
BAU,HadGEM2-ES,rcp85,Harvest (Thinning),51.37053665662455,47.449557595898796,55.75397345727366
BAU,HadGEM2-ES,rcp85,Harvest (Urban),8.080572613783753,7.2356613256227424,9.298525388504004
BAU,HadGEM2-ES,rcp85,Leaching,178.68755402094615,178.22292541371377,179.07928951098387
BAU,HadGEM2-ES,rcp85,LULCC,2971.0316123130306,2936.561872939651,3015.209890672148
BAU,HadGEM2-ES,rcp85,Mortality,951.0572669096941,918.2586300525157,980.3720836387525
BAU,HadGEM2-ES,rcp85,Mortality (Fire),167.58471610932054,158.27248325159255,178.78717524202864
BAU,HadGEM2-ES,rcp85,Mortality (Harvest),133.2135785770463,126.83161137471343,140.22341405545674
BAU,HadGEM2-ES,rcp85,Mortality (Insects),1019.5168187876632,939.0123766379584,1103.1801510414766
BAU,HadGEM2-ES,rcp85,NECB,-880.9607137952272,-926.528158979957,-838.5550809494438
BAU,HadGEM2-ES,rcp85,NEP,2090.0708985178035,2021.6589500029818,2168.2133455139856
BAU,HadGEM2-ES,rcp85,NPP,11726.146079393913,11619.631014015462,11847.592558098517
BAU,HadGEM2-ES,rcp85,Rh,9636.075180876109,9593.47706021413,9684.177966890722
BAU,MIROC5,rcp45,Emission (AgExpand),38.468379760527306,35.50453998199663,41.69073005173293
BAU,MIROC5,rcp45,Emission (Biomass),602.8906166201907,585.7794589108713,618.6296709523646
BAU,MIROC5,rcp45,Emission (Clearcut),33.381409704794784,31.416984517318692,35.014389300970045
BAU,MIROC5,rcp45,Emission (Fire),317.3438620913826,299.71143870479125,333.8408828409752
BAU,MIROC5,rcp45,Emission (Orchard Removal),211.52508160661085,201.87787138814872,220.64026969583585
BAU,MIROC5,rcp45,Emission (Urban),100.45613403332166,92.2215039764798,110.53493141260984
BAU,MIROC5,rcp45,Harvest (AgExpand),5.834295403259994,5.182167878782361,6.750610922307812
BAU,MIROC5,rcp45,Harvest (Clearcut),267.0512776383603,251.33587613853564,280.11511440777264
BAU,MIROC5,rcp45,Harvest (Grain),727.5418825525018,715.3582813905659,741.119263511486
BAU,MIROC5,rcp45,Harvest (Straw),427.9212900310733,416.1552298329646,438.6329827990309
BAU,MIROC5,rcp45,Harvest (Thinning),53.06431912355976,49.650588686907895,56.44175870379395
BAU,MIROC5,rcp45,Harvest (Urban),8.632728164043584,7.451068476736863,9.961573737460494
BAU,MIROC5,rcp45,Leaching,187.25214021996052,186.74542420412217,187.82764812474815
BAU,MIROC5,rcp45,LULCC,2981.363416949587,2935.5426709539192,3020.9486081297446
BAU,MIROC5,rcp45,Mortality,989.243664487718,966.6656783308049,1013.4847611868529
BAU,MIROC5,rcp45,Mortality (Fire),177.003967645519,165.7627490987195,187.19031253285107
BAU,MIROC5,rcp45,Mortality (Harvest),133.52563881917797,125.66793806926913,140.0575572038904
BAU,MIROC5,rcp45,Mortality (Insects),1006.5667662010499,905.4798843635467,1112.7747319623527
BAU,MIROC5,rcp45,NECB,-707.8036295289409,-754.8189882252925,-663.1278486145201
BAU,MIROC5,rcp45,NEP,2273.5597874206464,2219.854319166659,2328.423093971165
BAU,MIROC5,rcp45,NPP,11326.002652108278,11262.953950885625,11421.346022807218
BAU,MIROC5,rcp45,Rh,9052.442864687631,9012.363563656938,9100.820834050266
BAU,MIROC5,rcp85,Emission (AgExpand),37.80116501273849,35.067004485083416,40.974797592970575
BAU,MIROC5,rcp85,Emission (Biomass),549.2093228413349,496.968995175214,596.609575890212
BAU,MIROC5,rcp85,Emission (Clearcut),31.42610747364396,29.051646435384356,33.83261254200147
BAU,MIROC5,rcp85,Emission (Fire),255.62304205177756,242.67152409191073,269.18222536844297
BAU,MIROC5,rcp85,Emission (Orchard Removal),211.62284474076475,203.54399502274296,219.68135154810042
BAU,MIROC5,rcp85,Emission (Urban),99.91476064665784,91.92705894727361,107.92969479123647
BAU,MIROC5,rcp85,Harvest (AgExpand),5.4911314650615894,4.737181873857663,6.3842032608051245
BAU,MIROC5,rcp85,Harvest (Clearcut),251.40885978915375,232.41317148311344,270.6609003359865
BAU,MIROC5,rcp85,Harvest (Grain),726.7603433484893,715.6851523609325,738.6743508290343
BAU,MIROC5,rcp85,Harvest (Straw),427.5134432326673,418.8590052756912,437.779338635154
BAU,MIROC5,rcp85,Harvest (Thinning),49.21490773719774,44.55829611734422,54.39668172027112
BAU,MIROC5,rcp85,Harvest (Urban),8.31194513916205,6.903158214378029,9.850940059787135
BAU,MIROC5,rcp85,Leaching,185.7188908776701,185.187090911143,186.4200797426758
BAU,MIROC5,rcp85,LULCC,2840.0167643563195,2758.2515757639226,2909.784702885195
BAU,MIROC5,rcp85,Mortality,905.3271238481948,841.9380526369381,960.8140440587949
BAU,MIROC5,rcp85,Mortality (Fire),142.7555892956738,130.96496546018392,153.17747819310978
BAU,MIROC5,rcp85,Mortality (Harvest),125.70442989457757,116.20658574155297,135.3304501679956
BAU,MIROC5,rcp85,Mortality (Insects),1108.2945732470787,973.4296290631311,1247.4839243426434
BAU,MIROC5,rcp85,NECB,-802.4647702749152,-867.8458637554554,-752.9692502791672
BAU,MIROC5,rcp85,NEP,2037.5519940814042,1898.2435426522165,2149.3511959099133
BAU,MIROC5,rcp85,NPP,11328.504916047688,11152.09502207599,11476.253053407152
BAU,MIROC5,rcp85,Rh,9290.952921966284,9236.998632305094,9345.915639548242
High,CanESM2,rcp45,Emission (AgExpand),61.16561903763562,59.1070072929093,63.808464760278035
High,CanESM2,rcp45,Emission (Biomass),585.2402423573102,558.8510045133986,606.6060311048179
High,CanESM2,rcp45,Emission (Clearcut),39.258304815129584,37.77159746479322,40.67323159703683
High,CanESM2,rcp45,Emission (Fire),307.52562332657334,290.3382351015184,324.8636948951838
High,CanESM2,rcp45,Emission (Orchard Removal),271.9962918459331,259.2089338614311,281.5080216712179
High,CanESM2,rcp45,Emission (Urban),87.7471035223205,85.50670074033204,90.01804671207117
High,CanESM2,rcp45,Harvest (AgExpand),11.82093577339923,10.888379902768826,12.805199140434446
High,CanESM2,rcp45,Harvest (Clearcut),314.0664385210394,302.17277971830913,325.38585277624077
High,CanESM2,rcp45,Harvest (Grain),878.8330663325412,868.787204568627,885.9184290175808
High,CanESM2,rcp45,Harvest (Straw),539.6894099276519,528.3026700400997,547.7246560627888
High,CanESM2,rcp45,Harvest (Thinning),65.70115981652381,63.25128521041033,68.23687127473818
High,CanESM2,rcp45,Harvest (Urban),6.775004718532157,6.4340883150678785,7.1476694730528205
High,CanESM2,rcp45,Leaching,186.6600885935839,186.28693773399786,187.1484495016589
High,CanESM2,rcp45,LULCC,3356.479288588174,3317.88763324068,3396.1114796717056
High,CanESM2,rcp45,Mortality,1006.5890843475216,973.252879684736,1036.3995350166715
High,CanESM2,rcp45,Mortality (Fire),170.78550952140856,158.58710110621746,182.565158678775
High,CanESM2,rcp45,Mortality (Harvest),157.03321926051845,151.08638985915496,162.69292638813087
High,CanESM2,rcp45,Mortality (Insects),980.4905402539068,903.5331432044488,1052.7611730459757
High,CanESM2,rcp45,NECB,-369.3181704831459,-405.005946152141,-334.50715717767383
High,CanESM2,rcp45,NEP,2987.161118105028,2920.004561555378,3042.780518903201
High,CanESM2,rcp45,NPP,12815.590061368583,12709.136942554072,12901.200003634582
High,CanESM2,rcp45,Rh,9828.428943263556,9786.591805344182,9859.82336955742
High,CanESM2,rcp85,Emission (AgExpand),63.34195901102803,61.13528729558847,65.79540819208009
High,CanESM2,rcp85,Emission (Biomass),566.8044870088797,518.6923514482053,611.5626205128599
High,CanESM2,rcp85,Emission (Clearcut),38.62651197502403,36.60272308690708,40.65065504296886
High,CanESM2,rcp85,Emission (Fire),334.760826608567,317.3523014219462,350.6079251826379
High,CanESM2,rcp85,Emission (Orchard Removal),311.46696563182024,299.72195190723625,323.6569325655654
High,CanESM2,rcp85,Emission (Urban),92.380225754848,90.82771896139168,94.85731124805446
High,CanESM2,rcp85,Harvest (AgExpand),11.713623216377162,10.539503455034495,13.165055719614942
High,CanESM2,rcp85,Harvest (Clearcut),309.0120958001911,292.82178469528884,325.20524034377684
High,CanESM2,rcp85,Harvest (Grain),957.7202492972126,950.3769752526996,965.7051142104789
High,CanESM2,rcp85,Harvest (Straw),605.0847067087566,596.4706480923951,613.2069257182778
High,CanESM2,rcp85,Harvest (Thinning),64.56618385101937,60.35676994545832,67.97430703904419
High,CanESM2,rcp85,Harvest (Urban),6.326182690286888,5.7478946003783555,6.863871763953995
High,CanESM2,rcp85,Leaching,183.1498639641789,182.7484155129792,183.59967555850156
High,CanESM2,rcp85,LULCC,3544.9538815181895,3465.6159192873197,3620.713597834993
High,CanESM2,rcp85,Mortality,1027.8124938714332,960.7612891788533,1087.0862597497344
High,CanESM2,rcp85,Mortality (Fire),200.5895187447824,181.94231903082357,216.70748058157915
High,CanESM2,rcp85,Mortality (Harvest),154.50604790009558,146.41089234763172,162.60262017187097
High,CanESM2,rcp85,Mortality (Insects),1074.0569812307767,946.8815005616125,1207.1059430158252
High,CanESM2,rcp85,NECB,-296.09961728056896,-352.04124081919974,-237.35935389544997
High,CanESM2,rcp85,NEP,3248.8542642376206,3120.412080174292,3367.6353240815934
High,CanESM2,rcp85,NPP,13962.311375497608,13812.475047700616,14118.731785119091
High,CanESM2,rcp85,Rh,10713.457111259988,10668.07109422189,10764.866338608179
High,CNRM-CM5,rcp45,Emission (AgExpand),68.08766882689496,65.47324773730071,71.37947708951343
High,CNRM-CM5,rcp45,Emission (Biomass),634.7285246670157,610.7326087147121,655.8419139608357
High,CNRM-CM5,rcp45,Emission (Clearcut),41.30154415340493,40.096538451005316,42.66751500419916
High,CNRM-CM5,rcp45,Emission (Fire),307.0790514402251,291.6972344064854,331.3811305874779
High,CNRM-CM5,rcp45,Emission (Orchard Removal),316.7877009050091,305.41488043018626,330.8764642599548
High,CNRM-CM5,rcp45,Emission (Urban),98.85911231362016,96.91641340491596,101.00736193897858
High,CNRM-CM5,rcp45,Harvest (AgExpand),13.166296822611537,11.973262041959362,14.587184339768513
High,CNRM-CM5,rcp45,Harvest (Clearcut),330.41235322724896,320.7723076080723,341.3401200335661
High,CNRM-CM5,rcp45,Harvest (Grain),967.402446024794,959.173523961692,975.7723626573073
High,CNRM-CM5,rcp45,Harvest (Straw),612.9907478266941,603.8405787268439,621.6806260073733
High,CNRM-CM5,rcp45,Harvest (Thinning),70.03973220125957,67.19834754141951,72.1974653118096
High,CNRM-CM5,rcp45,Harvest (Urban),7.621138364864612,7.2614652117214185,8.080721742733978
High,CNRM-CM5,rcp45,Leaching,193.11995604658648,192.58294388293075,193.67549713875485
High,CNRM-CM5,rcp45,LULCC,3661.5962728202294,3622.8852511704263,3693.13653666335
High,CNRM-CM5,rcp45,Mortality,1064.7970693076738,1032.1475955501692,1092.540610998588
High,CNRM-CM5,rcp45,Mortality (Fire),170.071195492279,160.51154063149215,184.39896720828835
High,CNRM-CM5,rcp45,Mortality (Harvest),165.20617661362434,160.38615380403957,170.67006001679022
High,CNRM-CM5,rcp45,Mortality (Insects),958.0659990992499,869.3746363580351,1044.3473572933394
High,CNRM-CM5,rcp45,NECB,-119.10312968484729,-163.02649239251298,-73.81188031794112
High,CNRM-CM5,rcp45,NEP,3542.493143135382,3470.2610670104236,3604.3397235312586
High,CNRM-CM5,rcp45,NPP,13778.940999122131,13657.752771917518,13885.93238250662
High,CNRM-CM5,rcp45,Rh,10236.44785598675,10183.640832037796,10287.974448550925
High,CNRM-CM5,rcp85,Emission (AgExpand),64.92264494298708,61.958661891642834,67.4164564323704
High,CNRM-CM5,rcp85,Emission (Biomass),632.563873118775,607.2142211599147,657.3097756814166
High,CNRM-CM5,rcp85,Emission (Clearcut),41.45060401886905,39.823660340554284,42.76567726280894
High,CNRM-CM5,rcp85,Emission (Fire),281.5254148352845,267.93978942066724,297.25880572179005
High,CNRM-CM5,rcp85,Emission (Orchard Removal),305.45841214801936,294.7724753233206,318.7742820790521
High,CNRM-CM5,rcp85,Emission (Urban),94.26261688420698,92.0516837814746,95.99617462782089
High,CNRM-CM5,rcp85,Harvest (AgExpand),12.847021174168727,11.72510446719969,13.769705618744258
High,CNRM-CM5,rcp85,Harvest (Clearcut),331.60483215095064,318.589282724419,342.12541810243323
High,CNRM-CM5,rcp85,Harvest (Grain),951.49682801209,943.5986280363721,960.4159221117824
High,CNRM-CM5,rcp85,Harvest (Straw),600.3080252789696,590.6789626596633,608.4442662947104
High,CNRM-CM5,rcp85,Harvest (Thinning),70.44862963465539,68.4576689613925,72.36169129966461
High,CNRM-CM5,rcp85,Harvest (Urban),7.367073705988629,6.914987868472667,7.774908167069022
High,CNRM-CM5,rcp85,Leaching,189.25030145147073,188.75521661618706,189.65949388903866
High,CNRM-CM5,rcp85,LULCC,3583.5062773564355,3539.7186081811005,3625.7488699105124
High,CNRM-CM5,rcp85,Mortality,1059.622349429168,1027.3552079297892,1095.8550915577694
High,CNRM-CM5,rcp85,Mortality (Fire),164.7939044211784,155.69080379269974,176.54957111069587
High,CNRM-CM5,rcp85,Mortality (Harvest),165.80241607547435,159.2946413621856,171.06270905123307
High,CNRM-CM5,rcp85,Mortality (Insects),996.9138005432477,895.4432193527143,1088.7413481237909
High,CNRM-CM5,rcp85,NECB,-222.2144862808408,-278.8734012674564,-176.5463345307087
High,CNRM-CM5,rcp85,NEP,3361.2917910755946,3273.4556837408363,3432.6010979579887
High,CNRM-CM5,rcp85,NPP,13839.049555201856,13700.629126250817,13943.736698813049
High,CNRM-CM5,rcp85,Rh,10477.757764126263,10430.532892180614,10516.208307292669
High,HadGEM2-ES,rcp45,Emission (AgExpand),58.824261766430496,56.720809044091254,61.034207352223376
High,HadGEM2-ES,rcp45,Emission (Biomass),549.1396409232831,516.6992710981467,575.527842327388
High,HadGEM2-ES,rcp45,Emission (Clearcut),37.190485102098144,35.73801511570579,38.54471480446586
High,HadGEM2-ES,rcp45,Emission (Fire),313.18467798598726,295.72406395816904,331.33040009894114
High,HadGEM2-ES,rcp45,Emission (Orchard Removal),244.96981916081197,233.79075168091242,257.24033354943765
High,HadGEM2-ES,rcp45,Emission (Urban),84.50256938390493,82.74492073494909,86.63316231930881
High,HadGEM2-ES,rcp45,Harvest (AgExpand),11.19472694770438,10.349398746989142,12.201284962594025
High,HadGEM2-ES,rcp45,Harvest (Clearcut),297.5238808167853,285.90412092565316,308.35771843572803
High,HadGEM2-ES,rcp45,Harvest (Grain),829.7966405626981,822.8850595406363,835.1578730457925
High,HadGEM2-ES,rcp45,Harvest (Straw),500.2042565822861,492.2049311807555,505.99164137444245
High,HadGEM2-ES,rcp45,Harvest (Thinning),62.40802079852765,60.06018467877432,64.60683884608633
