GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper,Flux,Source
CanESM2,rcp45,High,0.001363884,2002,136.56047163283569,136.56047163283569,136.56047163283569,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2003,156.98593406415614,156.940714570992,157.04050363001818,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2004,167.32676888980646,167.246476151121,167.4187532955356,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2005,200.95612794772117,200.83023293351619,201.0684577743297,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2006,171.57472962120153,171.4537640435004,171.69572504673067,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2007,110.57929437937666,110.53184313103773,110.62537688773723,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2008,141.97289237573136,141.91639150510304,142.06154820460245,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2009,136.57359353312322,136.47693835412028,136.6702947858321,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2010,216.50055860379334,216.3037933812917,216.71398978610938,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2011,149.78081854328735,149.68756720015608,149.92960834214858,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2012,162.17788158024842,162.07693935052401,162.34267547881797,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2013,66.52953159896843,66.48218790286894,66.57947096145094,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2014,149.36357696120007,149.16519298591592,149.52380187622626,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2015,119.26198782951352,119.14091040882045,119.42181374852368,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2016,189.53522653543047,189.11087308738843,190.03632674161645,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2017,97.47448171617086,97.22253283180952,97.78259619698204,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2018,132.99325329681562,132.56496480468235,133.46341809307734,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2019,192.61748210091886,191.93374820492676,193.17230682844757,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2020,172.0620130780103,171.46263930170477,172.62613205311624,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2021,178.09596779705146,177.3705649253758,178.72959267870635,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2022,188.27395683187402,186.32021387504784,189.9887954978711,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2023,157.40627101991592,155.50616527698713,159.0279621355367,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2024,133.90642560857992,132.21234936966962,135.47523456638447,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2025,195.76084931581812,193.6324290025055,197.83968532493242,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2026,162.9508117950331,161.1475330973177,164.86789397821963,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2027,121.39989854608862,119.65851887157221,122.98679084182162,NPP,LUCAS CFE
CanESM2,rcp45,High,0.001363884,2028,154.0506370211579,152.24444194435637,156.2150524990591,NPP,LUCAS CFE
