LUC,GCM,RCP,Iteration,Amount
BAU,CanESM2,rcp85,47,-248
BAU,CanESM2,rcp85,48,-284.2
BAU,CanESM2,rcp85,49,-253.4
BAU,CanESM2,rcp85,50,-300.3
BAU,CanESM2,rcp85,51,-229.3
BAU,CanESM2,rcp85,52,-318.4
BAU,CanESM2,rcp85,53,-223.9
BAU,CanESM2,rcp85,54,-266.5
BAU,CanESM2,rcp85,55,-250
BAU,CanESM2,rcp85,56,-248
BAU,CanESM2,rcp85,57,-253.3
BAU,CanESM2,rcp85,58,-239.4
BAU,CanESM2,rcp85,59,-225.7
BAU,CanESM2,rcp85,60,-185.4
BAU,CanESM2,rcp85,61,-253.6
BAU,CanESM2,rcp85,62,-231.3
BAU,CanESM2,rcp85,63,-305.4
BAU,CanESM2,rcp85,64,-188.1
BAU,CanESM2,rcp85,65,-287.7
BAU,CanESM2,rcp85,66,-255
BAU,CanESM2,rcp85,67,-265.6
BAU,CanESM2,rcp85,68,-291.4
BAU,CanESM2,rcp85,69,-258
BAU,CanESM2,rcp85,70,-314.8
BAU,CanESM2,rcp85,71,-214.6
BAU,CanESM2,rcp85,72,-213.3
BAU,CanESM2,rcp85,73,-274.9
BAU,CanESM2,rcp85,74,-249.2
BAU,CanESM2,rcp85,75,-292.6
BAU,CanESM2,rcp85,76,-206.8
BAU,CanESM2,rcp85,77,-267
BAU,CanESM2,rcp85,78,-227.4
BAU,CanESM2,rcp85,79,-212.4
BAU,CanESM2,rcp85,80,-265.8
BAU,CanESM2,rcp85,81,-292.7
BAU,CanESM2,rcp85,82,-281.1
BAU,CanESM2,rcp85,83,-203.5
BAU,CanESM2,rcp85,84,-242.6
BAU,CanESM2,rcp85,85,-281.1
BAU,CanESM2,rcp85,86,-185.6
BAU,CanESM2,rcp85,87,-290.9
BAU,CanESM2,rcp85,88,-242.1
BAU,CanESM2,rcp85,89,-283.1
BAU,CanESM2,rcp85,90,-313.1
BAU,CanESM2,rcp85,91,-251.2
BAU,CanESM2,rcp85,92,-233.2
BAU,CanESM2,rcp85,93,-227.4
BAU,CanESM2,rcp85,94,-244.4
BAU,CanESM2,rcp85,95,-217.5
BAU,CanESM2,rcp85,96,-230.3
BAU,CanESM2,rcp85,97,-257.4
BAU,CanESM2,rcp85,98,-215.5
BAU,CanESM2,rcp85,99,-318.8
BAU,CanESM2,rcp85,100,-223.2
BAU,CNRM-CM5,rcp45,1,-111.3
BAU,CNRM-CM5,rcp45,2,-67.4
BAU,CNRM-CM5,rcp45,3,-84.9
BAU,CNRM-CM5,rcp45,4,-92
BAU,CNRM-CM5,rcp45,5,-115.9
BAU,CNRM-CM5,rcp45,6,-38.7
BAU,CNRM-CM5,rcp45,7,-83.1
BAU,CNRM-CM5,rcp45,8,-76.1
BAU,CNRM-CM5,rcp45,9,-69.1
BAU,CNRM-CM5,rcp45,10,-58.1
BAU,CNRM-CM5,rcp45,11,-56
BAU,CNRM-CM5,rcp45,12,-71.7
BAU,CNRM-CM5,rcp45,13,-58
BAU,CNRM-CM5,rcp45,14,-68.3
BAU,CNRM-CM5,rcp45,15,-105.7
BAU,CNRM-CM5,rcp45,16,-88.8
BAU,CNRM-CM5,rcp45,17,-89.2
BAU,CNRM-CM5,rcp45,18,-74.8
BAU,CNRM-CM5,rcp45,19,-103
BAU,CNRM-CM5,rcp45,20,-73.6
BAU,CNRM-CM5,rcp45,21,-112.8
BAU,CNRM-CM5,rcp45,22,-66.6
BAU,CNRM-CM5,rcp45,23,-91.4
BAU,CNRM-CM5,rcp45,24,-68.4
BAU,CNRM-CM5,rcp45,25,-59.4
BAU,CNRM-CM5,rcp45,26,-70.5
BAU,CNRM-CM5,rcp45,27,-92
BAU,CNRM-CM5,rcp45,28,-75.8
BAU,CNRM-CM5,rcp45,29,-89.5
BAU,CNRM-CM5,rcp45,30,-110.6
BAU,CNRM-CM5,rcp45,31,-58.7
BAU,CNRM-CM5,rcp45,32,-98.6
BAU,CNRM-CM5,rcp45,33,-75.2
BAU,CNRM-CM5,rcp45,34,-94.3
BAU,CNRM-CM5,rcp45,35,-79.2
BAU,CNRM-CM5,rcp45,36,-128.4
BAU,CNRM-CM5,rcp45,37,-107.9
BAU,CNRM-CM5,rcp45,38,-58.8
BAU,CNRM-CM5,rcp45,39,-47.4
BAU,CNRM-CM5,rcp45,40,-53
BAU,CNRM-CM5,rcp45,41,-91.2
BAU,CNRM-CM5,rcp45,42,-113.2
BAU,CNRM-CM5,rcp45,43,-111.3
BAU,CNRM-CM5,rcp45,44,-65
BAU,CNRM-CM5,rcp45,45,-61
BAU,CNRM-CM5,rcp45,46,-94
BAU,CNRM-CM5,rcp45,47,-85.6
BAU,CNRM-CM5,rcp45,48,-69.7
BAU,CNRM-CM5,rcp45,49,-69.3
BAU,CNRM-CM5,rcp45,50,-88.7
BAU,CNRM-CM5,rcp45,51,-59.1
BAU,CNRM-CM5,rcp45,52,-92
BAU,CNRM-CM5,rcp45,53,-84
BAU,CNRM-CM5,rcp45,54,-50.7
BAU,CNRM-CM5,rcp45,55,-52
BAU,CNRM-CM5,rcp45,56,-92.9
BAU,CNRM-CM5,rcp45,57,-76.4
BAU,CNRM-CM5,rcp45,58,-57.3
BAU,CNRM-CM5,rcp45,59,-75.6
BAU,CNRM-CM5,rcp45,60,-68.8
BAU,CNRM-CM5,rcp45,61,-78.4
