LUC,GCM,RCP,Flux,Mean,Lower,Upper
BAU,CNRM-CM5,rcp85,Harvest (Thinning),0.7,0.6,0.7
BAU,CNRM-CM5,rcp85,Harvest (Urban),0.1,0.1,0.1
BAU,CNRM-CM5,rcp85,Leaching,2.2,2.2,2.2
BAU,CNRM-CM5,rcp85,LULCC,39.7,39.2,40.3
BAU,CNRM-CM5,rcp85,Mortality,12.5,12.1,12.8
BAU,CNRM-CM5,rcp85,Mortality (Fire),2,1.8,2.1
BAU,CNRM-CM5,rcp85,Mortality (Harvest),1.7,1.6,1.8
BAU,CNRM-CM5,rcp85,Mortality (Insects),11.8,10.7,12.9
BAU,CNRM-CM5,rcp85,NECB,-2.1,-2.8,-1.5
BAU,CNRM-CM5,rcp85,NEP,37.7,36.7,38.5
BAU,CNRM-CM5,rcp85,NPP,161.3,159.8,162.4
BAU,CNRM-CM5,rcp85,Rh,123.6,123.1,124.2
BAU,HadGEM2-ES,rcp45,Emission (AgExpand),0.5,0.4,0.5
BAU,HadGEM2-ES,rcp45,Emission (Biomass),6.7,6.3,7
BAU,HadGEM2-ES,rcp45,Emission (Clearcut),0.4,0.4,0.4
BAU,HadGEM2-ES,rcp45,Emission (Fire),3.7,3.5,3.9
BAU,HadGEM2-ES,rcp45,Emission (Orchard Removal),2.7,2.6,2.8
BAU,HadGEM2-ES,rcp45,Emission (Urban),1.2,1.1,1.3
BAU,HadGEM2-ES,rcp45,Harvest (AgExpand),0.1,0.1,0.1
BAU,HadGEM2-ES,rcp45,Harvest (Clearcut),3,2.8,3.2
BAU,HadGEM2-ES,rcp45,Harvest (Grain),8.9,8.8,9
BAU,HadGEM2-ES,rcp45,Harvest (Straw),5.3,5.2,5.4
BAU,HadGEM2-ES,rcp45,Harvest (Thinning),0.6,0.6,0.6
BAU,HadGEM2-ES,rcp45,Harvest (Urban),0.1,0.1,0.1
BAU,HadGEM2-ES,rcp45,Leaching,2.2,2.2,2.2
BAU,HadGEM2-ES,rcp45,LULCC,35.3,34.7,36
BAU,HadGEM2-ES,rcp45,Mortality,11.3,10.9,11.7
BAU,HadGEM2-ES,rcp45,Mortality (Fire),2.1,1.9,2.2
BAU,HadGEM2-ES,rcp45,Mortality (Harvest),1.5,1.4,1.6
BAU,HadGEM2-ES,rcp45,Mortality (Insects),12.1,11.1,13.1
BAU,HadGEM2-ES,rcp45,NECB,-7.2,-7.7,-6.7
BAU,HadGEM2-ES,rcp45,NEP,28.1,27.2,29
BAU,HadGEM2-ES,rcp45,NPP,137.9,136.7,139
BAU,HadGEM2-ES,rcp45,Rh,109.8,109.4,110.3
BAU,HadGEM2-ES,rcp85,Emission (AgExpand),0.4,0.4,0.5
BAU,HadGEM2-ES,rcp85,Emission (Biomass),6.7,6.4,7
BAU,HadGEM2-ES,rcp85,Emission (Clearcut),0.4,0.4,0.4
BAU,HadGEM2-ES,rcp85,Emission (Fire),3.4,3.3,3.6
BAU,HadGEM2-ES,rcp85,Emission (Orchard Removal),2.6,2.5,2.7
BAU,HadGEM2-ES,rcp85,Emission (Urban),1.2,1.1,1.3
BAU,HadGEM2-ES,rcp85,Harvest (AgExpand),0.1,0.1,0.1
BAU,HadGEM2-ES,rcp85,Harvest (Clearcut),3.1,3,3.3
BAU,HadGEM2-ES,rcp85,Harvest (Grain),8.9,8.7,9
BAU,HadGEM2-ES,rcp85,Harvest (Straw),5.3,5.2,5.4
BAU,HadGEM2-ES,rcp85,Harvest (Thinning),0.6,0.6,0.7
BAU,HadGEM2-ES,rcp85,Harvest (Urban),0.1,0.1,0.1
BAU,HadGEM2-ES,rcp85,Leaching,2.1,2.1,2.1
BAU,HadGEM2-ES,rcp85,LULCC,35,34.5,35.5
BAU,HadGEM2-ES,rcp85,Mortality,11.2,10.8,11.5
BAU,HadGEM2-ES,rcp85,Mortality (Fire),2,1.9,2.1
BAU,HadGEM2-ES,rcp85,Mortality (Harvest),1.6,1.5,1.6
BAU,HadGEM2-ES,rcp85,Mortality (Insects),12,11,13
BAU,HadGEM2-ES,rcp85,NECB,-10.4,-10.9,-9.9
BAU,HadGEM2-ES,rcp85,NEP,24.6,23.8,25.5
BAU,HadGEM2-ES,rcp85,NPP,138,136.7,139.4
BAU,HadGEM2-ES,rcp85,Rh,113.4,112.9,113.9
BAU,MIROC5,rcp45,Emission (AgExpand),0.5,0.4,0.5
BAU,MIROC5,rcp45,Emission (Biomass),7.1,6.9,7.3
BAU,MIROC5,rcp45,Emission (Clearcut),0.4,0.4,0.4
BAU,MIROC5,rcp45,Emission (Fire),3.7,3.5,3.9
BAU,MIROC5,rcp45,Emission (Orchard Removal),2.5,2.4,2.6
BAU,MIROC5,rcp45,Emission (Urban),1.2,1.1,1.3
BAU,MIROC5,rcp45,Harvest (AgExpand),0.1,0.1,0.1
BAU,MIROC5,rcp45,Harvest (Clearcut),3.1,3,3.3
BAU,MIROC5,rcp45,Harvest (Grain),8.6,8.4,8.7
BAU,MIROC5,rcp45,Harvest (Straw),5,4.9,5.2
BAU,MIROC5,rcp45,Harvest (Thinning),0.6,0.6,0.7
BAU,MIROC5,rcp45,Harvest (Urban),0.1,0.1,0.1
BAU,MIROC5,rcp45,Leaching,2.2,2.2,2.2
BAU,MIROC5,rcp45,LULCC,35.1,34.5,35.5
BAU,MIROC5,rcp45,Mortality,11.6,11.4,11.9
BAU,MIROC5,rcp45,Mortality (Fire),2.1,2,2.2
BAU,MIROC5,rcp45,Mortality (Harvest),1.6,1.5,1.6
BAU,MIROC5,rcp45,Mortality (Insects),11.8,10.7,13.1
BAU,MIROC5,rcp45,NECB,-8.3,-8.9,-7.8
BAU,MIROC5,rcp45,NEP,26.7,26.1,27.4
BAU,MIROC5,rcp45,NPP,133.2,132.5,134.4
BAU,MIROC5,rcp45,Rh,106.5,106,107.1
BAU,MIROC5,rcp85,Emission (AgExpand),0.4,0.4,0.5
BAU,MIROC5,rcp85,Emission (Biomass),6.5,5.8,7
BAU,MIROC5,rcp85,Emission (Clearcut),0.4,0.3,0.4
BAU,MIROC5,rcp85,Emission (Fire),3,2.9,3.2
BAU,MIROC5,rcp85,Emission (Orchard Removal),2.5,2.4,2.6
BAU,MIROC5,rcp85,Emission (Urban),1.2,1.1,1.3
BAU,MIROC5,rcp85,Harvest (AgExpand),0.1,0.1,0.1
BAU,MIROC5,rcp85,Harvest (Clearcut),3,2.7,3.2
BAU,MIROC5,rcp85,Harvest (Grain),8.6,8.4,8.7
BAU,MIROC5,rcp85,Harvest (Straw),5,4.9,5.2
BAU,MIROC5,rcp85,Harvest (Thinning),0.6,0.5,0.6
BAU,MIROC5,rcp85,Harvest (Urban),0.1,0.1,0.1
BAU,MIROC5,rcp85,Leaching,2.2,2.2,2.2
BAU,MIROC5,rcp85,LULCC,33.4,32.5,34.2
BAU,MIROC5,rcp85,Mortality,10.7,9.9,11.3
BAU,MIROC5,rcp85,Mortality (Fire),1.7,1.5,1.8
BAU,MIROC5,rcp85,Mortality (Harvest),1.5,1.4,1.6
BAU,MIROC5,rcp85,Mortality (Insects),13,11.5,14.7
BAU,MIROC5,rcp85,NECB,-9.4,-10.2,-8.9
BAU,MIROC5,rcp85,NEP,24,22.3,25.3
BAU,MIROC5,rcp85,NPP,133.3,131.2,135
BAU,MIROC5,rcp85,Rh,109.3,108.7,110
High,CanESM2,rcp45,Emission (AgExpand),0.7,0.7,0.8
High,CanESM2,rcp45,Emission (Biomass),6.9,6.6,7.1
High,CanESM2,rcp45,Emission (Clearcut),0.5,0.4,0.5
High,CanESM2,rcp45,Emission (Fire),3.6,3.4,3.8
High,CanESM2,rcp45,Emission (Orchard Removal),3.2,3,3.3
High,CanESM2,rcp45,Emission (Urban),1,1,1.1
High,CanESM2,rcp45,Harvest (AgExpand),0.1,0.1,0.2
High,CanESM2,rcp45,Harvest (Clearcut),3.7,3.6,3.8
High,CanESM2,rcp45,Harvest (Grain),10.3,10.2,10.4
High,CanESM2,rcp45,Harvest (Straw),6.3,6.2,6.4
High,CanESM2,rcp45,Harvest (Thinning),0.8,0.7,0.8
High,CanESM2,rcp45,Harvest (Urban),0.1,0.1,0.1
High,CanESM2,rcp45,Leaching,2.2,2.2,2.2
High,CanESM2,rcp45,LULCC,39.5,39,40
High,CanESM2,rcp45,Mortality,11.8,11.5,12.2
High,CanESM2,rcp45,Mortality (Fire),2,1.9,2.1
High,CanESM2,rcp45,Mortality (Harvest),1.8,1.8,1.9
High,CanESM2,rcp45,Mortality (Insects),11.5,10.6,12.4
High,CanESM2,rcp45,NECB,-4.3,-4.8,-3.9
High,CanESM2,rcp45,NEP,35.1,34.4,35.8
High,CanESM2,rcp45,NPP,150.8,149.5,151.8
High,CanESM2,rcp45,Rh,115.6,115.1,116
High,CanESM2,rcp85,Emission (AgExpand),0.7,0.7,0.8
High,CanESM2,rcp85,Emission (Biomass),6.7,6.1,7.2
High,CanESM2,rcp85,Emission (Clearcut),0.5,0.4,0.5
High,CanESM2,rcp85,Emission (Fire),3.9,3.7,4.1
High,CanESM2,rcp85,Emission (Orchard Removal),3.7,3.5,3.8
High,CanESM2,rcp85,Emission (Urban),1.1,1.1,1.1
High,CanESM2,rcp85,Harvest (AgExpand),0.1,0.1,0.2
High,CanESM2,rcp85,Harvest (Clearcut),3.6,3.4,3.8
High,CanESM2,rcp85,Harvest (Grain),11.3,11.2,11.4
High,CanESM2,rcp85,Harvest (Straw),7.1,7,7.2
High,CanESM2,rcp85,Harvest (Thinning),0.8,0.7,0.8
High,CanESM2,rcp85,Harvest (Urban),0.1,0.1,0.1
High,CanESM2,rcp85,Leaching,2.2,2.1,2.2
High,CanESM2,rcp85,LULCC,41.7,40.8,42.6
