Timestep,Min,Interval2.5,Interval10,Interval25,Mean,Interval75,Interval90,Interval97.5,Max
2060,4027,4097.8,4168.1,4237.5,4446.8,4680,4798.5,4909,4976.8
2061,4017.2,4088.8,4160.4,4239.4,4441.3,4644,4802.2,4943.7,5010.3
2062,4009.5,4081.2,4147,4249.6,4424.1,4606.3,4773.4,4895.4,4964
2063,4039.6,4082.1,4139.4,4229.8,4410.9,4576.4,4759.3,4878.5,4946.3
2064,3982.6,4030.8,4093,4205.3,4400.3,4574,4742.2,4864.9,4932.3
2065,3967.3,4016.9,4080.6,4193.6,4399.4,4592.6,4729.3,4851.6,4917
2066,3940,3983,4040.3,4168.7,4382.4,4593.7,4710.1,4824.5,4891.8
2067,3889.9,3942.7,4009.7,4156.2,4376.9,4590.1,4744.3,4867.4,4936.2
2068,3902.9,3956.3,4033.6,4168.5,4384.8,4594.6,4685.7,4800.1,4868
2069,3887.5,3943.5,4024.6,4136.6,4365.1,4581.7,4692.8,4810.8,4876.3
2070,3893.9,3955.4,4026,4136.7,4369.4,4589.1,4702.1,4822.6,4888.2
2071,3869.7,3934.4,4003.7,4136,4374.3,4590,4726.5,4856.6,4921.6
2072,3853.8,3917.7,4011.5,4138.4,4352.3,4566.6,4695.9,4819.9,4883.4
2073,3789.5,3852,3977.4,4132.4,4326.7,4543.3,4674.7,4798.8,4862.6
2074,3827,3892,4031.6,4157.7,4326.3,4515,4647.6,4771.5,4836.9
2075,3834.7,3897.9,4031.3,4151.6,4331.5,4525.2,4671.3,4798.3,4871.5
2076,3812.2,3876.2,3993.9,4121.6,4314.7,4515.8,4665,4805.5,4880.6
2077,3818.6,3887.1,3988.1,4109.7,4327.7,4556.1,4684.4,4815.3,4893.8
2078,3806.2,3877.7,3980.8,4104.1,4330.5,4575,4659.1,4790.3,4868.1
2079,3825.8,3900.2,3986.8,4083.7,4315.6,4554,4648.8,4779.9,4860.7
2080,3795,3869,3989.9,4077,4310.1,4555.3,4651.2,4781.9,4869
2081,3757.2,3829.6,3958.9,4043.1,4292.1,4542.8,4657.3,4779.2,4864.6
2082,3710.7,3782.1,3935.2,4047.5,4294.7,4544.4,4656.5,4779.8,4868.5
2083,3691.2,3762.7,3921.1,4059,4278,4512.3,4632.4,4774.9,4871.5
2084,3681.8,3755.8,3913,4021.4,4267.8,4519.8,4644.8,4790.5,4884.1
2085,3715.4,3788.8,3898.3,3985.2,4261.3,4533.7,4640.5,4746.2,4839.5
2086,3705.4,3781.8,3891,3971.3,4249.9,4527.8,4639.6,4753,4848.3
2087,3712.8,3791.1,3893,3986.3,4256.6,4501.9,4633.4,4789.5,4887.4
