LUC,Timestep,LULC,Mean,Lower,Upper
BAU,2061,Wetland,2690.24625,2610,2785.0499999999997
BAU,2062,Agriculture,42419.938673341676,41797.9,43044
BAU,2062,Barren,19155,19155,19155
BAU,2062,Developed,34193.483061480554,33151.4,35214.299999999996
BAU,2062,Forest,154034.89875,153651,154381.025
BAU,2062,Grassland,43345.332916145184,42597.55,44160.8
BAU,2062,Shrubland,109287.18397997497,108981,109610.35
BAU,2062,SnowIce,28,28,28
BAU,2062,Water,18655,18655,18655
BAU,2062,Wetland,2691.45375,2611,2789
BAU,2063,Agriculture,42370.78195488722,41733,43018
BAU,2063,Barren,19155,19155,19155
BAU,2063,Developed,34371.58823529412,33306.5,35383.149999999994
BAU,2063,Forest,153992.22807017545,153612.175,154338.225
BAU,2063,Grassland,43301.18125,42537,44104.025
BAU,2063,Shrubland,109245.155,108930.925,109572.075
BAU,2063,SnowIce,28,28,28
BAU,2063,Water,18655,18655,18655
BAU,2063,Wetland,2693.1875,2609.975,2791.025
BAU,2064,Agriculture,42322.72625,41697.700000000004,42969.125
BAU,2064,Barren,19155,19155,19155
BAU,2064,Developed,34547.93625,33478.75,35581.2
BAU,2064,Forest,153949.795,153556.9,154288.15
BAU,2064,Grassland,43254.4931163955,42504.850000000006,44045.149999999994
BAU,2064,Shrubland,109204.70212765958,108879,109530.5
BAU,2064,SnowIce,28,28,28
BAU,2064,Water,18655,18655,18655
BAU,2064,Wetland,2694.92125,2608,2796
BAU,2065,Agriculture,42273.29875,41642.725,42909.15
BAU,2065,Barren,19155,19155,19155
BAU,2065,Developed,34720.41102756892,33636.8,35734.075
BAU,2065,Forest,153909.20802005014,153511.92500000002,154253.67500000002
BAU,2065,Grassland,43209.4625,42495.975000000006,44028.049999999996
BAU,2065,Shrubland,109164.98120300751,108848.02500000001,109495
BAU,2065,SnowIce,28,28,28
BAU,2065,Water,18655,18655,18655
BAU,2065,Wetland,2696.125,2607.975,2798.025
BAU,2066,Agriculture,42228.28822055138,41577.925,42860.9
BAU,2066,Barren,19155,19155,19155
BAU,2066,Developed,34898.22625,33815,35927.200000000004
BAU,2066,Forest,153865.84210526315,153458.775,154207.375
BAU,2066,Grassland,43161.954887218046,42414.7,43998.299999999996
BAU,2066,Shrubland,109123.56570713392,108792.45,109458.05
BAU,2066,SnowIce,28,28,28
BAU,2066,Water,18655,18655,18655
BAU,2066,Wetland,2696.9175,2609.975,2796.025
BAU,2067,Agriculture,42177.518147684605,41525.9,42865.35
BAU,2067,Barren,19155,19155,19155
BAU,2067,Developed,35074.21875,33976.95,36099.3
BAU,2067,Forest,153823.64,153414.97499999998,154167.225
BAU,2067,Grassland,43117.50125,42358.975,43937.025
BAU,2067,Shrubland,109083.4176100629,108749.70000000001,109422.45
BAU,2067,SnowIce,28,28,28
BAU,2067,Water,18655,18655,18655
BAU,2067,Wetland,2698.4475,2609.975,2799.05
BAU,2068,Agriculture,42128.5495608532,41458,42799.1
BAU,2068,Barren,19155,19155,19155
BAU,2068,Developed,35248.371714643305,34163.85,36304.99999999999
BAU,2068,Forest,153780.58197747183,153371.9,154134.1
BAU,2068,Grassland,43073.1175,42274.975,43911.575
BAU,2068,Shrubland,109042.89875,108694.95000000001,109388.05
BAU,2068,SnowIce,28,28,28
BAU,2068,Water,18655,18655,18655
BAU,2068,Wetland,2699.74875,2612,2799.025
BAU,2069,Agriculture,42081.225,41421.85,42768.399999999994
BAU,2069,Barren,19155,19155,19155
BAU,2069,Developed,35422.478042659975,34303.9,36492.200000000004
BAU,2069,Forest,153738.08395989976,153328.925,154105.225
BAU,2069,Grassland,43028.27784730914,42221.899999999994,43846.299999999996
BAU,2069,Shrubland,109002.73803526448,108647.82500000001,109350.875
BAU,2069,SnowIce,28,28,28
BAU,2069,Water,18655,18655,18655
BAU,2069,Wetland,2700.9325,2612,2803
BAU,2070,Agriculture,42035.00875,41375.875,42747.575
BAU,2070,Barren,19155,19155,19155
BAU,2070,Developed,35597.59324155194,34522.55,36726.75
BAU,2070,Forest,153695.7183979975,153269.9,154071.09999999998
BAU,2070,Grassland,42981.61125,42157.975,43783.1
BAU,2070,Shrubland,108962.8746867168,108605,109296.6
BAU,2070,SnowIce,28,28,28
BAU,2070,Water,18655,18655,18655
BAU,2070,Wetland,2701.4675,2610.975,2806.025
BAU,2071,Agriculture,41988.721804511275,41319.55,42713.05
BAU,2071,Barren,19155,19155,19155
BAU,2071,Developed,35772.98625,34682.975,36890
BAU,2071,Forest,153652.94375,153227.975,154022.225
BAU,2071,Grassland,42934.79474342929,42077.9,43744.5
BAU,2071,Shrubland,108921.7375,108534.975,109251.325
BAU,2071,SnowIce,28,28,28
BAU,2071,Water,18655,18655,18655
BAU,2071,Wetland,2702.70625,2613,2803.05
BAU,2072,Agriculture,41938.14,41269.9,42679
BAU,2072,Barren,19155,19155,19155
BAU,2072,Developed,35946.423558897244,34840.625,37051.7
BAU,2072,Forest,153609.59949937422,153185.55000000002,153985.85
BAU,2072,Grassland,42891.85839598998,42059.925,43745.25
BAU,2072,Shrubland,108881.5375,108502.92499999999,109209.05
BAU,2072,SnowIce,28,28,28
BAU,2072,Water,18655,18655,18655
BAU,2072,Wetland,2704.29875,2617.975,2812
BAU,2073,Agriculture,41889.448621553885,41218.549999999996,42614.15
BAU,2073,Barren,19155,19155,19155
BAU,2073,Developed,36121.99875,34992.825,37321
BAU,2073,Forest,153566.735,153140,153948
BAU,2073,Grassland,42848.10625,41996.950000000004,43682.575
BAU,2073,Shrubland,108841.05388471179,108463.775,109176.225
BAU,2073,SnowIce,28,28,28
BAU,2073,Water,18655,18655,18655
BAU,2073,Wetland,2705.98375,2618.975,2814.025
BAU,2074,Agriculture,41839.91125,41178.975,42597.075000000004
BAU,2074,Barren,19155,19155,19155
BAU,2074,Developed,36299.77875,35169.925,37548.025
BAU,2074,Forest,153523.075,153091.7,153896.225
BAU,2074,Grassland,42804.38798498123,41965.95,43644.299999999996
BAU,2074,Shrubland,108800.25563909774,108421.5,109137
BAU,2074,SnowIce,28,28,28
BAU,2074,Water,18655,18655,18655
BAU,2074,Wetland,2707.0975,2619,2815
BAU,2075,Agriculture,41791.78571428572,41125.55,42522
BAU,2075,Barren,19155,19155,19155
BAU,2075,Developed,36470.0175,35335.775,37694.125
BAU,2075,Forest,153480.9625,153065.4,153873.05000000002
BAU,2075,Grassland,42759.518147684605,41924.549999999996,43629.25
BAU,2075,Shrubland,108762.36875,108376.975,109103
BAU,2075,SnowIce,28,28,28
BAU,2075,Water,18655,18655,18655
BAU,2075,Wetland,2708.52625,2621,2819
BAU,2076,Agriculture,41742.58125,41063.950000000004,42487.075
BAU,2076,Barren,19155,19155,19155
BAU,2076,Developed,36644.39048811014,35498.5,37897.149999999994
BAU,2076,Forest,153439.1475,153006.95,153844.025
BAU,2076,Grassland,42715.7975,41877.6,43594.125
BAU,2076,Shrubland,108722.73625,108335.875,109076
BAU,2076,SnowIce,28,28,28
BAU,2076,Water,18655,18655,18655
BAU,2076,Wetland,2710.1525,2622,2821.0499999999997
BAU,2077,Agriculture,41696.647427854456,41009.9,42457
BAU,2077,Barren,19155,19155,19155
BAU,2077,Developed,36822.97246558198,35698.75,38076
BAU,2077,Forest,153394.4730913642,152957.35,153815.25
BAU,2077,Grassland,42668.264080100125,41808.9,43564.45
BAU,2077,Shrubland,108682.05256570714,108294.45,109034.15000000001
BAU,2077,SnowIce,28,28,28
BAU,2077,Water,18655,18655,18655
BAU,2077,Wetland,2711.6625,2624.975,2819
BAU,2078,Agriculture,41646.61375,40952.75,42393.1
BAU,2078,Barren,19155,19155,19155
BAU,2078,Developed,37000.735,35804.95,38257
BAU,2078,Forest,153348.74125,152882.9,153782.025
BAU,2078,Grassland,42622.541927409264,41750.95,43545.549999999996
BAU,2078,Shrubland,108641.1326658323,108250.95,109013.09999999999
BAU,2078,SnowIce,28,28,28
BAU,2078,Water,18655,18655,18655
BAU,2078,Wetland,2713.315,2624,2823
BAU,2079,Agriculture,41595.1275,40876.725,42356.025
BAU,2079,Barren,19155,19155,19155
BAU,2079,Developed,37179.68,35960.924999999996,38420.275
BAU,2079,Forest,153305.6232790989,152840,153719.95
BAU,2079,Grassland,42578.81476846058,41713.9,43487.4
BAU,2079,Shrubland,108599.7694235589,108209.25,108967.45
BAU,2079,SnowIce,28,28,28
BAU,2079,Water,18655,18655,18655
BAU,2079,Wetland,2715.09,2625.975,2826.0249999999996
BAU,2080,Agriculture,41547.01625,40806,42302.200000000004
BAU,2080,Barren,19155,19155,19155
BAU,2080,Developed,37352.675,36127.55,38627.049999999996
BAU,2080,Forest,153262.2875,152800.975,153701.05000000002
BAU,2080,Grassland,42535.718397997494,41657.2,43449.25
BAU,2080,Shrubland,108560.71875,108165.775,108941.05
BAU,2080,SnowIce,28,28,28
BAU,2080,Water,18655,18655,18655
BAU,2080,Wetland,2716.25375,2627,2828
BAU,2081,Agriculture,41498.576441102756,40752.475,42269.450000000004
BAU,2081,Barren,19155,19155,19155
BAU,2081,Developed,37528.22375,36337.9,38827.275
BAU,2081,Forest,153220.61982434127,152773.9,153649.30000000002
BAU,2081,Grassland,42490.90125,41622.8,43411.325
BAU,2081,Shrubland,108520.265,108127.84999999999,108886.075
BAU,2081,SnowIce,28,28,28
BAU,2081,Water,18655,18655,18655
BAU,2081,Wetland,2717.4875,2624,2826
BAU,2082,Agriculture,41447.94987468672,40687.700000000004,42243.2
BAU,2082,Barren,19155,19155,19155
BAU,2082,Developed,37703.17647058824,36511.799999999996,38950.15
BAU,2082,Forest,153176.25281602002,152718.8,153609.25
BAU,2082,Grassland,42449.57393483709,41614.475,43375.525
BAU,2082,Shrubland,108479.9575,108085.97499999999,108852.025
BAU,2082,SnowIce,28,28,28
BAU,2082,Water,18655,18655,18655
BAU,2082,Wetland,2719.1825,2624.95,2829
BAU,2083,Agriculture,41397.07133917397,40650.9,42169.6
BAU,2083,Barren,19155,19155,19155
BAU,2083,Developed,37878.7225,36685.875,39166.65
BAU,2083,Forest,153133.39223057643,152680.475,153569.19999999998
BAU,2083,Grassland,42405.738423028786,41523.700000000004,43334.049999999996
BAU,2083,Shrubland,108439.91375,108034.82500000001,108814
BAU,2083,SnowIce,28,28,28
BAU,2083,Water,18655,18655,18655
BAU,2083,Wetland,2720.49875,2623,2830.05
BAU,2084,Agriculture,41347.95875,40589.625,42170.125
BAU,2084,Barren,19155,19155,19155
BAU,2084,Developed,38052.73902132999,36859.9,39322.6
BAU,2084,Forest,153090.03254067583,152604.9,153539.05
BAU,2084,Grassland,42362.295,41510.725,43290.2
BAU,2084,Shrubland,108400.39125,107990.97499999999,108770.075
BAU,2084,SnowIce,28,28,28
BAU,2084,Water,18655,18655,18655
BAU,2084,Wetland,2722.14375,2625.975,2831.025
BAU,2085,Agriculture,41300.027568922305,40527.1,42135.825
BAU,2085,Barren,19155,19155,19155
BAU,2085,Developed,38231.2140175219,37031.15,39561.049999999996
BAU,2085,Forest,153045.49435382686,152563.3,153493.5
BAU,2085,Grassland,42315.96120150188,41430.450000000004,43259.9
BAU,2085,Shrubland,108358.18,107945.7,108731.04999999999
BAU,2085,SnowIce,28,28,28
BAU,2085,Water,18655,18655,18655
BAU,2085,Wetland,2723.4775,2632.925,2832.05
BAU,2086,Agriculture,41252.45375,40469.975,42077.1
BAU,2086,Barren,19155,19155,19155
BAU,2086,Developed,38405.55944931164,37167.450000000004,39695.15
BAU,2086,Forest,153001.86357947433,152530.84999999998,153448.35
BAU,2086,Grassland,42270.96875,41387.975000000006,43177.45
BAU,2086,Shrubland,108318.85,107893.875,108693.07500000001
BAU,2086,SnowIce,28,28,28
BAU,2086,Water,18655,18655,18655
BAU,2086,Wetland,2724.81375,2631.9750000000004,2835.05
BAU,2087,Agriculture,41198.32205513785,40404,42029.149999999994
BAU,2087,Barren,19155,19155,19155
BAU,2087,Developed,38580.5675,37286.725000000006,39909.62499999999
BAU,2087,Forest,152958.84981226534,152472.55000000002,153399.8
BAU,2087,Grassland,42231.4675,41363.675,43157.174999999996
BAU,2087,Shrubland,108278.57375,107849,108669.075
BAU,2087,SnowIce,28,28,28
BAU,2087,Water,18655,18655,18655
BAU,2087,Wetland,2726.66375,2634.975,2837
BAU,2088,Agriculture,41148.15875,40356.575,41966.274999999994
BAU,2088,Barren,19155,19155,19155
BAU,2088,Developed,38757.40100250627,37451.5,40092.125
BAU,2088,Forest,152915.555,152444.69999999998,153373.19999999998
BAU,2088,Grassland,42187.93859649123,41298.625,43121
BAU,2088,Shrubland,108239.2590738423,107811.75,108639.25
BAU,2088,SnowIce,28,28,28
BAU,2088,Water,18655,18655,18655
BAU,2088,Wetland,2728.35,2636.9750000000004,2839
BAU,2089,Agriculture,41098.64240903388,40316.6,41937.4
BAU,2089,Barren,19155,19155,19155
BAU,2089,Developed,38927.635,37644.799999999996,40253.524999999994
BAU,2089,Forest,152872.2747804266,152388.69999999998,153333.1
BAU,2089,Grassland,42146.70125,41281.899999999994,43069.274999999994
BAU,2089,Shrubland,108200.37421777222,107774.6,108600.29999999999
BAU,2089,SnowIce,28,28,28
BAU,2089,Water,18655,18655,18655
BAU,2089,Wetland,2729.76375,2637.975,2843
BAU,2090,Agriculture,41051.69125,40257.575,41887.35
BAU,2090,Barren,19155,19155,19155
BAU,2090,Developed,39096.46125,37815.925,40435.225
BAU,2090,Forest,152830.2165206508,152333.8,153300.1
BAU,2090,Grassland,42102.00501253133,41223.549999999996,43046.45
BAU,2090,Shrubland,108161.58,107729.975,108569.025
BAU,2090,SnowIce,28,28,28
BAU,2090,Water,18655,18655,18655
BAU,2090,Wetland,2730.83875,2637,2848.05
BAU,2091,Agriculture,41002.055,40222.274999999994,41858.299999999996
BAU,2091,Barren,19155,19155,19155
BAU,2091,Developed,39275.85732165207,38017.7,40596.35
BAU,2091,Forest,152786.4575,152283.80000000002,153251.05000000002
BAU,2091,Grassland,42057.828535669585,41167.700000000004,43008.2
BAU,2091,Shrubland,108119.0825,107697.95,108519.05
BAU,2091,SnowIce,28,28,28
BAU,2091,Water,18655,18655,18655
BAU,2091,Wetland,2731.88625,2636,2852.025
BAU,2092,Agriculture,40950.5275,40151.75,41780.05
BAU,2092,Barren,19155,19155,19155
BAU,2092,Developed,39451.935,38194.125,40784.375
BAU,2092,Forest,152742.45375,152246.875,153195.375
BAU,2092,Grassland,42016.865,41135.95,42963.275
BAU,2092,Shrubland,108078.75093867334,107664.7,108472.84999999999
BAU,2092,SnowIce,28,28,28
BAU,2092,Water,18655,18655,18655
BAU,2092,Wetland,2733.56625,2637.975,2849.0249999999996
BAU,2093,Agriculture,40900.62453066333,40117.75,41744.2
BAU,2093,Barren,19155,19155,19155
BAU,2093,Developed,39628.29662077597,38388.95,40956.799999999996
BAU,2093,Forest,152697.76375,152188.975,153166
BAU,2093,Grassland,41974.481852315395,41101.75,42901.100000000006
BAU,2093,Shrubland,108037.97125,107608.925,108431.15
BAU,2093,SnowIce,28,28,28
BAU,2093,Water,18655,18655,18655
BAU,2093,Wetland,2735.49125,2637.9500000000003,2849.0499999999997
BAU,2094,Agriculture,40850.100125156445,40070.75,41689.25
BAU,2094,Barren,19155,19155,19155
BAU,2094,Developed,39798.34,38530.975,41153.1
BAU,2094,Forest,152654.60125,152140.82499999998,153124.025
BAU,2094,Grassland,41935.125,41081.45,42885.05
BAU,2094,Shrubland,107998.87484355444,107572.85,108408.29999999999
BAU,2094,SnowIce,28,28,28
BAU,2094,Water,18655,18655,18655
BAU,2094,Wetland,2736.77,2638,2856.025
BAU,2095,Agriculture,40800.76817042607,40020.775,41634.225
BAU,2095,Barren,19155,19155,19155
BAU,2095,Developed,39970.63625,38665.6,41337.25
BAU,2095,Forest,152612.0925,152098.77500000002,153091
BAU,2095,Grassland,41892.54375,41060.5,42853.15
BAU,2095,Shrubland,107959.32165206507,107544.9,108385.15000000001
BAU,2095,SnowIce,28,28,28
BAU,2095,Water,18655,18655,18655
BAU,2095,Wetland,2738.08875,2639,2858
BAU,2096,Agriculture,40752.97744360902,39967.925,41574.674999999996
BAU,2096,Barren,19155,19155,19155
BAU,2096,Developed,40140.49125,38866.95,41525
BAU,2096,Forest,152569.3725,152042.9,153058.125
BAU,2096,Grassland,41852.102628285356,40970.149999999994,42814.35
BAU,2096,Shrubland,107920.07894736843,107499,108343
BAU,2096,SnowIce,28,28,28
BAU,2096,Water,18655,18655,18655
BAU,2096,Wetland,2739.225,2637,2859.1
BAU,2097,Agriculture,40700.68710888611,39889.700000000004,41505
BAU,2097,Barren,19155,19155,19155
BAU,2097,Developed,40317.216520650814,39040.05,41686
BAU,2097,Forest,152524.84875,152015.875,153028.025
BAU,2097,Grassland,41809.96863237139,40930.700000000004,42768.200000000004
BAU,2097,Shrubland,107879.10776942356,107457.925,108304.15
BAU,2097,SnowIce,28,28,28
BAU,2097,Water,18655,18655,18655
BAU,2097,Wetland,2741.17875,2638,2858.0249999999996
BAU,2098,Agriculture,40651.2075,39841,41483
BAU,2098,Barren,19155,19155,19155
BAU,2098,Developed,40489.69375,39202.674999999996,41877.975
BAU,2098,Forest,152480.25875,151981,152974.075
BAU,2098,Grassland,41771.2225,40911.875,42739.149999999994
BAU,2098,Shrubland,107838.92375,107417.97499999999,108251
BAU,2098,SnowIce,28,28,28
BAU,2098,Water,18655,18655,18655
BAU,2098,Wetland,2742.69375,2642.8250000000003,2861
BAU,2099,Agriculture,40602.72625,39761.85,41413
BAU,2099,Barren,19155,19155,19155
BAU,2099,Developed,40664.05125,39371.925,42052.15
BAU,2099,Forest,152435.66625,151935.875,152941.025
BAU,2099,Grassland,41730.12015018774,40871.5,42701.2
BAU,2099,Shrubland,107798.28535669587,107380.75,108215.15
BAU,2099,SnowIce,28,28,28
BAU,2099,Water,18655,18655,18655
BAU,2099,Wetland,2743.81125,2641.9750000000004,2863.075
BAU,2100,Agriculture,40553.62,39717.674999999996,41399.125
BAU,2100,Barren,19155,19155,19155
BAU,2100,Developed,40839.65162907268,39530.95,42176.325
BAU,2100,Forest,152391.23,151891,152893.17500000002
BAU,2100,Grassland,41687.2027534418,40807.9,42669.05
BAU,2100,Shrubland,107757.03383458647,107328,108170.225
BAU,2100,SnowIce,28,28,28
BAU,2100,Water,18655,18655,18655
BAU,2100,Wetland,2745.1125,2643.95,2866
BAU,2101,Agriculture,40508.3075,39678.9,41332.025
BAU,2101,Barren,19155,19155,19155
BAU,2101,Developed,41009.625313283206,39734.25,42403.125
BAU,2101,Forest,152346.90375,151844.72499999998,152846.025
BAU,2101,Grassland,41645.8875,40764.9,42580
BAU,2101,Shrubland,107717.14625,107300.975,108133.075
BAU,2101,SnowIce,28,28,28
BAU,2101,Water,18655,18655,18655
BAU,2101,Wetland,2746.15375,2640,2865
High,2001,Agriculture,45660,45660,45660
High,2001,Barren,19155,19155,19155
High,2001,Developed,23263,23263,23263
High,2001,Forest,156191,156191,156191
High,2001,Grassland,46293,46293,46293
High,2001,Shrubland,111792,111792,111792
High,2001,SnowIce,28,28,28
High,2001,Water,18655,18655,18655
High,2001,Wetland,2775,2775,2775
High,2002,Agriculture,45642.38625,45602,45683
High,2002,Barren,19155,19155,19155
High,2002,Developed,23619.3825,23583,23657.025
High,2002,Forest,156115.47875,156095,156135
High,2002,Grassland,46120.5575,46085,46157
High,2002,Shrubland,111712.77375,111693,111732
High,2002,SnowIce,28,28,28
High,2002,Water,18655,18655,18655
High,2002,Wetland,2763.42125,2753,2774
High,2003,Agriculture,45565.205,45507.975,45615
High,2003,Barren,19155,19155,19155
High,2003,Developed,23838.91375,23789.975,23884.025
High,2003,Forest,156088.57375,156064.975,156112
High,2003,Grassland,46054.00875,46012.975000000006,46096
High,2003,Shrubland,111668.19875,111643.97499999999,111693
High,2003,SnowIce,28,28,28
High,2003,Water,18655,18655,18655
High,2003,Wetland,2759.1,2746,2772
High,2004,Agriculture,45488.23375,45425.95,45548
High,2004,Barren,19155,19155,19155
High,2004,Developed,24058.00250941029,24007,24108
High,2004,Forest,156061.2325,156031,156090
High,2004,Grassland,45987.925598991176,45936,46035.200000000004
High,2004,Shrubland,111623.7575,111594,111654
High,2004,SnowIce,28,28,28
High,2004,Water,18655,18655,18655
High,2004,Wetland,2754.96,2739.9750000000004,2770.0249999999996
High,2005,Agriculture,45403.79125,45325,45476
High,2005,Barren,19155,19155,19155
High,2005,Developed,24284.79875,24224.975,24345
High,2005,Forest,156039.48557089083,156006.9,156070.1
High,2005,Grassland,45908.865,45846,45966.025
High,2005,Shrubland,111584.02125,111548,111617.05
High,2005,SnowIce,28,28,28
High,2005,Water,18655,18655,18655
High,2005,Wetland,2753.18625,2736,2771
High,2006,Agriculture,45320.17,45227,45394
High,2006,Barren,19155,19155,19155
High,2006,Developed,24511.945,24446.949999999997,24582
High,2006,Forest,156017.1329113924,155982,156050.275
High,2006,Grassland,45829.38875,45762.975000000006,45897
High,2006,Shrubland,111544.455,111505,111585
High,2006,SnowIce,28,28,28
High,2006,Water,18655,18655,18655
High,2006,Wetland,2751.1225,2730.975,2771
High,2007,Agriculture,45186.1875,45089.975,45269
High,2007,Barren,19155,19155,19155
High,2007,Developed,24674.35625,24603,24743
High,2007,Forest,156006.04968152868,155967,156042
High,2007,Grassland,45852.34625,45780.975,45921
High,2007,Shrubland,111503.31,111461,111548
High,2007,SnowIce,28,28,28
High,2007,Water,18655,18655,18655
High,2007,Wetland,2751.86375,2729,2776
High,2008,Agriculture,45053.92025316456,44940.899999999994,45150
High,2008,Barren,19155,19155,19155
High,2008,Developed,24837.68625,24765,24908.025
High,2008,Forest,155992.69604086847,155949,156030.7
High,2008,Grassland,45877.66625,45800,45954
High,2008,Shrubland,111460.18625,111413,111508
High,2008,SnowIce,28,28,28
High,2008,Water,18655,18655,18655
High,2008,Wetland,2752.36375,2728,2779
High,2009,Agriculture,44957.68757841907,44839.9,45065.5
High,2009,Barren,19155,19155,19155
High,2009,Developed,24942.324561403508,24867.925,25014.225
High,2009,Forest,155978.54813863928,155932,156020.09999999998
High,2009,Grassland,45893.80125,45805,45986.025
High,2009,Shrubland,111449.28875,111401,111499
High,2009,SnowIce,28,28,28
High,2009,Water,18655,18655,18655
High,2009,Wetland,2751.48375,2726.975,2777
High,2010,Agriculture,44863.6846057572,44741.899999999994,44978.149999999994
High,2010,Barren,19155,19155,19155
High,2010,Developed,25047.532156368223,24968,25124.2
High,2010,Forest,155964.37296620777,155920,156006.05
High,2010,Grassland,45910.0175,45815,45995
High,2010,Shrubland,111438.35875,111388,111487.025
High,2010,SnowIce,28,28,28
High,2010,Water,18655,18655,18655
High,2010,Wetland,2750.235,2724,2777.0499999999997
High,2011,Agriculture,44793.9925,44671,44926
High,2011,Barren,19155,19155,19155
High,2011,Developed,25120.675,25038,25202
High,2011,Forest,155957.99625,155913.95,156002
High,2011,Grassland,45925.21679197995,45830.85,46018.075
High,2011,Shrubland,111429.3675,111380,111480
High,2011,SnowIce,28,28,28
High,2011,Water,18655,18655,18655
High,2011,Wetland,2746.565,2718.975,2775
High,2012,Agriculture,44719.29125,44584.975000000006,44847.100000000006
High,2012,Barren,19155,19155,19155
High,2012,Developed,25194.5075,25113.949999999997,25273.024999999998
High,2012,Forest,155950.77568922305,155903,155992
High,2012,Grassland,45945.40300375469,45844.95,46044.1
High,2012,Shrubland,111419.6825,111368,111472
High,2012,SnowIce,28,28,28
High,2012,Water,18655,18655,18655
High,2012,Wetland,2744.14875,2714,2772
High,2013,Agriculture,44776.48,44644.950000000004,44905.049999999996
High,2013,Barren,19155,19155,19155
High,2013,Developed,25368.7975,25280,25454.025
High,2013,Forest,155897.8525,155847.975,155949.025
High,2013,Grassland,45829.1475,45731.924999999996,45928.075
High,2013,Shrubland,111366.885,111311.975,111422.04999999999
High,2013,SnowIce,28,28,28
High,2013,Water,18655,18655,18655
High,2013,Wetland,2734.8375,2704,2766
High,2014,Agriculture,44826.035,44691,44966
High,2014,Barren,19155,19155,19155
High,2014,Developed,25561.92125,25465,25648
High,2014,Forest,155845.47,155793,155898
High,2014,Grassland,45705.63875,45599.925,45807.05
High,2014,Shrubland,111309.62375,111249,111365
High,2014,SnowIce,28,28,28
High,2014,Water,18655,18655,18655
High,2014,Wetland,2725.31125,2692,2758
High,2015,Agriculture,44870.40875,44734.950000000004,45021
High,2015,Barren,19155,19155,19155
High,2015,Developed,25745.71875,25645.925,25831
High,2015,Forest,155794.06875,155737,155851.02500000002
High,2015,Grassland,45589.2125,45470.925,45697.025
High,2015,Shrubland,111257.80875,111193.97499999999,111315
High,2015,SnowIce,28,28,28
High,2015,Water,18655,18655,18655
High,2015,Wetland,2716.7825,2682.975,2750.025
High,2016,Agriculture,44910.10776942356,44771,45062.15
High,2016,Barren,19155,19155,19155
High,2016,Developed,25939.62846347607,25839.3,26033
High,2016,Forest,155743.25125,155686.975,155802
High,2016,Grassland,45467.855,45347.975,45576
High,2016,Shrubland,111204.7775,111142.925,111264
High,2016,SnowIce,28,28,28
High,2016,Water,18655,18655,18655
High,2016,Wetland,2707.7025,2673,2742
High,2017,Agriculture,44948.57590966123,44801.8,45099
High,2017,Barren,19155,19155,19155
High,2017,Developed,26148.03875,26035,26245
High,2017,Forest,155687.58625,155629,155754
High,2017,Grassland,45343.94125,45222.975,45457.125
High,2017,Shrubland,111145.9775,111076,111208
High,2017,SnowIce,28,28,28
High,2017,Water,18655,18655,18655
High,2017,Wetland,2699.6875,2664,2733
High,2018,Agriculture,44981.992452830185,44836,45140.15
High,2018,Barren,19155,19155,19155
High,2018,Developed,26366.8975,26250.95,26473.050000000003
High,2018,Forest,155631.50625,155571,155700
High,2018,Grassland,45218.22125,45091,45335.025
High,2018,Shrubland,111084.08125,111009.975,111147.02500000001
High,2018,SnowIce,28,28,28
High,2018,Water,18655,18655,18655
High,2018,Wetland,2691.18875,2654,2727
High,2019,Agriculture,45010.88693467337,44860,45172.125
High,2019,Barren,19155,19155,19155
High,2019,Developed,26596.6575,26478.95,26708.075
High,2019,Forest,155574.69375,155511,155648.025
High,2019,Grassland,45090.64956195244,44950,45217
High,2019,Shrubland,111018.5397225725,110944,111085
High,2019,SnowIce,28,28,28
High,2019,Water,18655,18655,18655
High,2019,Wetland,2682.9025,2645,2718.025
High,2020,Agriculture,45038.59022556391,44886,45202.075
High,2020,Barren,19155,19155,19155
High,2020,Developed,26832.88875,26717,26953
High,2020,Forest,155516.17625,155446,155594
High,2020,Grassland,44961.587202007526,44821.3,45086.2
High,2020,Shrubland,110949.9648241206,110877.625,111022
High,2020,SnowIce,28,28,28
High,2020,Water,18655,18655,18655
High,2020,Wetland,2674.495,2637,2710
High,2021,Agriculture,45065.166666666664,44902.549999999996,45232.375
High,2021,Barren,19155,19155,19155
High,2021,Developed,27074.1365914787,26954,27198
High,2021,Forest,155457.8,155385.97499999998,155536.025
High,2021,Grassland,44831.416770963704,44687.950000000004,44956.2
High,2021,Shrubland,110879.64875,110803.925,110949.02500000001
High,2021,SnowIce,28,28,28
High,2021,Water,18655,18655,18655
High,2021,Wetland,2665.96875,2627.975,2703
High,2022,Agriculture,45091.792973651194,44924.7,45263.1
High,2022,Barren,19155,19155,19155
High,2022,Developed,27320.67,27205,27440.100000000002
High,2022,Forest,155395.2625,155314,155475
High,2022,Grassland,44701.12125,44548.975000000006,44836.024999999994
High,2022,Shrubland,110806.76875,110730,110877.025
High,2022,SnowIce,28,28,28
High,2022,Water,18655,18655,18655
High,2022,Wetland,2658.72875,2619,2698
High,2023,Agriculture,45118.311166875785,44948.399999999994,45293.1
High,2023,Barren,19155,19155,19155
High,2023,Developed,27567.19625,27451,27687
High,2023,Forest,155333.11375,155251.975,155418.05000000002
High,2023,Grassland,44571.78875,44417.975,44713.049999999996
High,2023,Shrubland,110732.27125,110653,110803.025
High,2023,SnowIce,28,28,28
High,2023,Water,18655,18655,18655
