LUC,GCM,RCP,Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2015,Live,Yes,1658.4,1652,1664.2
BAU,CanESM2,rcp45,2015,Soil,No,12.7,11.5,14.1
BAU,CanESM2,rcp45,2015,Soil,Yes,2586.8,2584.5,2589
BAU,CanESM2,rcp45,2016,DOM,No,0.1,0,0.1
BAU,CanESM2,rcp45,2016,DOM,Yes,411.2,409.7,412.9
BAU,CanESM2,rcp45,2016,Live,No,0.4,0.3,0.5
BAU,CanESM2,rcp45,2016,Live,Yes,1668.4,1661,1676.5
BAU,CanESM2,rcp45,2016,Soil,No,13.6,12.3,15.1
BAU,CanESM2,rcp45,2016,Soil,Yes,2574.9,2572.5,2577.5
BAU,CanESM2,rcp45,2017,DOM,No,0.1,0,0.1
BAU,CanESM2,rcp45,2017,DOM,Yes,422.9,420.5,424.7
BAU,CanESM2,rcp45,2017,Live,No,0.4,0.4,0.5
BAU,CanESM2,rcp45,2017,Live,Yes,1611.3,1603,1619.5
BAU,CanESM2,rcp45,2017,Soil,No,14.5,12.9,15.8
BAU,CanESM2,rcp45,2017,Soil,Yes,2569.2,2566.9,2572
BAU,CanESM2,rcp45,2018,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2018,DOM,Yes,414.4,411.8,416.8
BAU,CanESM2,rcp45,2018,Live,No,0.4,0.4,0.5
BAU,CanESM2,rcp45,2018,Live,Yes,1605.7,1597.1,1615.6
BAU,CanESM2,rcp45,2018,Soil,No,15.4,13.8,17.2
BAU,CanESM2,rcp45,2018,Soil,Yes,2561.3,2558.7,2564.3
BAU,CanESM2,rcp45,2019,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2019,DOM,Yes,417.9,415.3,421
BAU,CanESM2,rcp45,2019,Live,No,0.5,0.4,0.5
BAU,CanESM2,rcp45,2019,Live,Yes,1642.6,1633.5,1654.5
BAU,CanESM2,rcp45,2019,Soil,No,16.3,14.6,18
BAU,CanESM2,rcp45,2019,Soil,Yes,2553.2,2550.1,2556.4
BAU,CanESM2,rcp45,2020,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2020,DOM,Yes,422.5,418.2,428.4
BAU,CanESM2,rcp45,2020,Live,No,0.5,0.4,0.6
BAU,CanESM2,rcp45,2020,Live,Yes,1647.6,1636.2,1660.5
BAU,CanESM2,rcp45,2020,Soil,No,17.3,15.3,19.4
BAU,CanESM2,rcp45,2020,Soil,Yes,2549.5,2545.6,2553
BAU,CanESM2,rcp45,2021,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2021,DOM,Yes,485.6,443.9,534.6
BAU,CanESM2,rcp45,2021,Live,No,0.5,0.4,0.6
BAU,CanESM2,rcp45,2021,Live,Yes,1596.5,1553.1,1639.2
BAU,CanESM2,rcp45,2021,Soil,No,18.2,15.9,20.1
BAU,CanESM2,rcp45,2021,Soil,Yes,2546,2542.3,2549.8
BAU,CanESM2,rcp45,2022,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2022,DOM,Yes,515.9,475.1,570.3
BAU,CanESM2,rcp45,2022,Live,No,0.6,0.5,0.7
BAU,CanESM2,rcp45,2022,Live,Yes,1593.6,1545.4,1637.5
BAU,CanESM2,rcp45,2022,Soil,No,19.1,16.5,21.8
BAU,CanESM2,rcp45,2022,Soil,Yes,2542.7,2538.2,2547.1
BAU,CanESM2,rcp45,2023,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2023,DOM,Yes,544.3,497.8,604.3
BAU,CanESM2,rcp45,2023,Live,No,0.6,0.5,0.7
BAU,CanESM2,rcp45,2023,Live,Yes,1556.8,1495.2,1607.4
BAU,CanESM2,rcp45,2023,Soil,No,20,17.5,22.6
BAU,CanESM2,rcp45,2023,Soil,Yes,2542.3,2537.6,2546.8
BAU,CanESM2,rcp45,2024,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2024,DOM,Yes,560.3,512.8,623.5
BAU,CanESM2,rcp45,2024,Live,No,0.6,0.5,0.7
BAU,CanESM2,rcp45,2024,Live,Yes,1515.9,1443.9,1574.3
BAU,CanESM2,rcp45,2024,Soil,No,20.9,18.1,23.5
BAU,CanESM2,rcp45,2024,Soil,Yes,2541.3,2536.7,2546.9
BAU,CanESM2,rcp45,2025,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2025,DOM,Yes,582.7,530.8,651.8
BAU,CanESM2,rcp45,2025,Live,No,0.6,0.5,0.8
BAU,CanESM2,rcp45,2025,Live,Yes,1524.8,1451.4,1585.3
BAU,CanESM2,rcp45,2025,Soil,No,21.8,19,24.5
BAU,CanESM2,rcp45,2025,Soil,Yes,2539,2533.9,2545.2
BAU,CanESM2,rcp45,2026,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2026,DOM,Yes,585.5,531.3,653
BAU,CanESM2,rcp45,2026,Live,No,0.7,0.6,0.8
BAU,CanESM2,rcp45,2026,Live,Yes,1512,1436.1,1577.9
BAU,CanESM2,rcp45,2026,Soil,No,22.7,19.9,25.2
BAU,CanESM2,rcp45,2026,Soil,Yes,2540.2,2534.9,2547
BAU,CanESM2,rcp45,2027,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2027,DOM,Yes,610.8,555.3,670.7
BAU,CanESM2,rcp45,2027,Live,No,0.7,0.6,0.8
BAU,CanESM2,rcp45,2027,Live,Yes,1454.6,1381,1521.4
BAU,CanESM2,rcp45,2027,Soil,No,23.6,20.5,26.2
BAU,CanESM2,rcp45,2027,Soil,Yes,2539.3,2532.9,2547
BAU,CanESM2,rcp45,2028,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2028,DOM,Yes,603.4,551.2,663.8
BAU,CanESM2,rcp45,2028,Live,No,0.7,0.6,0.9
BAU,CanESM2,rcp45,2028,Live,Yes,1456.2,1378.9,1522.8
BAU,CanESM2,rcp45,2028,Soil,No,24.4,21.4,27.5
BAU,CanESM2,rcp45,2028,Soil,Yes,2536.8,2529.9,2545.2
BAU,CanESM2,rcp45,2029,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2029,DOM,Yes,601,546.9,661.9
BAU,CanESM2,rcp45,2029,Live,No,0.7,0.6,0.9
BAU,CanESM2,rcp45,2029,Live,Yes,1471.7,1390.2,1544
BAU,CanESM2,rcp45,2029,Soil,No,25.3,22,28.5
BAU,CanESM2,rcp45,2029,Soil,Yes,2533.5,2526.8,2542.5
BAU,CanESM2,rcp45,2030,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2030,DOM,Yes,597.6,544.4,657.8
BAU,CanESM2,rcp45,2030,Live,No,0.8,0.6,0.9
BAU,CanESM2,rcp45,2030,Live,Yes,1486.2,1403.3,1560
BAU,CanESM2,rcp45,2030,Soil,No,26.2,22.7,29.7
BAU,CanESM2,rcp45,2030,Soil,Yes,2531.6,2524.5,2540.7
BAU,CanESM2,rcp45,2031,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2031,DOM,Yes,600.3,547.7,657.1
BAU,CanESM2,rcp45,2031,Live,No,0.8,0.7,0.9
BAU,CanESM2,rcp45,2031,Live,Yes,1508.9,1427.5,1586.7
BAU,CanESM2,rcp45,2031,Soil,No,27,23.4,30.9
BAU,CanESM2,rcp45,2031,Soil,Yes,2529.8,2522.7,2538.6
BAU,CanESM2,rcp45,2032,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2032,DOM,Yes,608.1,558.6,658.6
BAU,CanESM2,rcp45,2032,Live,No,0.8,0.7,1
BAU,CanESM2,rcp45,2032,Live,Yes,1454.3,1379.8,1529.1
BAU,CanESM2,rcp45,2032,Soil,No,27.9,23.9,31.7
BAU,CanESM2,rcp45,2032,Soil,Yes,2529.2,2521.8,2538.4
BAU,CanESM2,rcp45,2033,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2033,DOM,Yes,608.2,559.3,657.8
BAU,CanESM2,rcp45,2033,Live,No,0.9,0.7,1
BAU,CanESM2,rcp45,2033,Live,Yes,1433.7,1358.1,1512.8
BAU,CanESM2,rcp45,2033,Soil,No,28.8,24.8,32.5
BAU,CanESM2,rcp45,2033,Soil,Yes,2524.7,2517.3,2534.2
BAU,CanESM2,rcp45,2034,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2034,DOM,Yes,608,560.8,657.6
BAU,CanESM2,rcp45,2034,Live,No,0.9,0.8,1
BAU,CanESM2,rcp45,2034,Live,Yes,1453.1,1375,1535.5
BAU,CanESM2,rcp45,2034,Soil,No,29.7,26.1,32.9
BAU,CanESM2,rcp45,2034,Soil,Yes,2519.5,2512.6,2527.6
BAU,CanESM2,rcp45,2035,DOM,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2035,DOM,Yes,612.6,566.4,662.1
BAU,CanESM2,rcp45,2035,Live,No,0.9,0.8,1
BAU,CanESM2,rcp45,2035,Live,Yes,1406.5,1328.8,1487
BAU,CanESM2,rcp45,2035,Soil,No,30.7,26.8,34.2
BAU,CanESM2,rcp45,2035,Soil,Yes,2516.7,2510.2,2524.8
BAU,CanESM2,rcp45,2036,DOM,No,0.1,0.1,0.1
