LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
BAU,MIROC5,rcp45,9,East Cascades,-53.1,-57.3,-49.5
BAU,MIROC5,rcp45,13,Central B&R,-6.1,-7,-5.1
BAU,MIROC5,rcp45,14,Mojave B&R,-27,-27.6,-26.3
BAU,MIROC5,rcp45,78,Klamath Mtns.,-71.5,-85,-51.3
BAU,MIROC5,rcp45,80,Northern B&R,-6.9,-7.3,-6.5
BAU,MIROC5,rcp45,81,Sonoran B&R,-18.5,-19.3,-17.5
BAU,MIROC5,rcp85,1,Coast Range,-63.8,-76.2,-50.9
BAU,MIROC5,rcp85,4,Cascades,-4.3,-5.7,-3.1
BAU,MIROC5,rcp85,5,Sierra Nevada,-140.3,-150.4,-130.1
BAU,MIROC5,rcp85,6,Oak Woodlands,-244.4,-258,-232.4
BAU,MIROC5,rcp85,7,Central Valley,-117.5,-123.1,-112.3
BAU,MIROC5,rcp85,8,SoCal Mtns.,-40.7,-42.9,-37.9
BAU,MIROC5,rcp85,9,East Cascades,-41.2,-44.6,-37.1
BAU,MIROC5,rcp85,13,Central B&R,-9.2,-9.8,-8.6
BAU,MIROC5,rcp85,14,Mojave B&R,-43.8,-44.4,-43.2
BAU,MIROC5,rcp85,78,Klamath Mtns.,-71.5,-95.5,-48
BAU,MIROC5,rcp85,80,Northern B&R,-6.5,-6.9,-6.1
BAU,MIROC5,rcp85,81,Sonoran B&R,-19.3,-20.3,-18.4
High,CanESM2,rcp45,1,Coast Range,-50.9,-59.2,-45.2
High,CanESM2,rcp45,4,Cascades,-3.5,-5.1,-2.3
High,CanESM2,rcp45,5,Sierra Nevada,-88.3,-97.1,-77.1
High,CanESM2,rcp45,6,Oak Woodlands,-99.9,-107.2,-90.6
High,CanESM2,rcp45,7,Central Valley,-52.7,-58.4,-46.2
High,CanESM2,rcp45,8,SoCal Mtns.,-3.3,-6.5,0.7
High,CanESM2,rcp45,9,East Cascades,-13.4,-18.8,-9.4
High,CanESM2,rcp45,13,Central B&R,11.8,10.8,12.9
High,CanESM2,rcp45,14,Mojave B&R,-0.4,-1.2,0.3
High,CanESM2,rcp45,78,Klamath Mtns.,-57.3,-74.8,-42.3
High,CanESM2,rcp45,80,Northern B&R,-0,-0.6,0.5
High,CanESM2,rcp45,81,Sonoran B&R,-11.5,-12.1,-10.9
High,CanESM2,rcp85,1,Coast Range,-74.6,-84.6,-60.8
High,CanESM2,rcp85,4,Cascades,-3.9,-5.2,-2.5
High,CanESM2,rcp85,5,Sierra Nevada,-85.8,-98.8,-71.4
High,CanESM2,rcp85,6,Oak Woodlands,-59,-72.2,-42.4
High,CanESM2,rcp85,7,Central Valley,-35.1,-41.3,-28
High,CanESM2,rcp85,8,SoCal Mtns.,21.3,17.4,24.7
High,CanESM2,rcp85,9,East Cascades,-19.9,-25.1,-15.1
High,CanESM2,rcp85,13,Central B&R,25.3,24.1,26.2
High,CanESM2,rcp85,14,Mojave B&R,39.2,38.1,40.1
High,CanESM2,rcp85,78,Klamath Mtns.,-96.9,-118.6,-79.5
High,CanESM2,rcp85,80,Northern B&R,-0,-0.5,0.4
High,CanESM2,rcp85,81,Sonoran B&R,-6.6,-7.5,-5.9
High,CNRM-CM5,rcp45,1,Coast Range,-26.3,-34.1,-19.2
High,CNRM-CM5,rcp45,4,Cascades,-3.1,-4.4,-1.9
High,CNRM-CM5,rcp45,5,Sierra Nevada,-74.1,-86.2,-61.3
High,CNRM-CM5,rcp45,6,Oak Woodlands,2.1,-12.1,18
High,CNRM-CM5,rcp45,7,Central Valley,-18.2,-24.1,-11.2
High,CNRM-CM5,rcp45,8,SoCal Mtns.,14.4,11,18.9
High,CNRM-CM5,rcp45,9,East Cascades,-20.5,-24.3,-15.8
High,CNRM-CM5,rcp45,13,Central B&R,12.2,11.2,13.4
High,CNRM-CM5,rcp45,14,Mojave B&R,27,26.3,28
High,CNRM-CM5,rcp45,78,Klamath Mtns.,-27.1,-42.5,-13.7
High,CNRM-CM5,rcp45,80,Northern B&R,-1.1,-1.6,-0.7
