LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
Medium,HadGEM2-ES,rcp85,4,Cascades,-7.1,-8.2,-6
Medium,HadGEM2-ES,rcp85,5,Sierra Nevada,-159.3,-171.3,-147.7
Medium,HadGEM2-ES,rcp85,6,Oak Woodlands,-200.9,-211.3,-189
Medium,HadGEM2-ES,rcp85,7,Central Valley,-83.1,-87.7,-77.6
Medium,HadGEM2-ES,rcp85,8,SoCal Mtns.,-34.2,-37.6,-31.3
Medium,HadGEM2-ES,rcp85,9,East Cascades,-81.7,-85.3,-78.4
Medium,HadGEM2-ES,rcp85,13,Central B&R,-12.5,-13.1,-11.9
Medium,HadGEM2-ES,rcp85,14,Mojave B&R,-47.9,-48.4,-47.2
Medium,HadGEM2-ES,rcp85,78,Klamath Mtns.,-109.9,-127.6,-95.2
Medium,HadGEM2-ES,rcp85,80,Northern B&R,-10.4,-10.8,-10.1
Medium,HadGEM2-ES,rcp85,81,Sonoran B&R,-17.6,-18.2,-17.1
Medium,MIROC5,rcp45,1,Coast Range,-42.6,-50.8,-34.9
Medium,MIROC5,rcp45,4,Cascades,-5.7,-7.1,-4.3
Medium,MIROC5,rcp45,5,Sierra Nevada,-141.9,-151.2,-129.2
Medium,MIROC5,rcp45,6,Oak Woodlands,-180.9,-189.1,-173.3
Medium,MIROC5,rcp45,7,Central Valley,-76.1,-80.6,-70.8
Medium,MIROC5,rcp45,8,SoCal Mtns.,-30.8,-33.4,-27.5
Medium,MIROC5,rcp45,9,East Cascades,-52.2,-56,-48.5
Medium,MIROC5,rcp45,13,Central B&R,-6.2,-7.1,-5.2
Medium,MIROC5,rcp45,14,Mojave B&R,-26.1,-26.9,-25.5
Medium,MIROC5,rcp45,78,Klamath Mtns.,-69.2,-86.6,-50.9
Medium,MIROC5,rcp45,80,Northern B&R,-6.9,-7.3,-6.4
Medium,MIROC5,rcp45,81,Sonoran B&R,-15.8,-16.5,-15.2
Medium,MIROC5,rcp85,1,Coast Range,-63.6,-77.6,-51.1
Medium,MIROC5,rcp85,4,Cascades,-3.9,-5,-2.9
Medium,MIROC5,rcp85,5,Sierra Nevada,-137.4,-147,-129.1
Medium,MIROC5,rcp85,6,Oak Woodlands,-225.6,-238.1,-216.6
Medium,MIROC5,rcp85,7,Central Valley,-97.6,-102.4,-92.2
Medium,MIROC5,rcp85,8,SoCal Mtns.,-38.6,-41.3,-36.1
Medium,MIROC5,rcp85,9,East Cascades,-41.7,-45.9,-37.4
Medium,MIROC5,rcp85,13,Central B&R,-9.3,-10,-8.6
Medium,MIROC5,rcp85,14,Mojave B&R,-43.1,-43.6,-42.6
Medium,MIROC5,rcp85,78,Klamath Mtns.,-74.9,-96.5,-52.1
Medium,MIROC5,rcp85,80,Northern B&R,-6.5,-6.9,-6.1
Medium,MIROC5,rcp85,81,Sonoran B&R,-16.5,-16.9,-16
