GCM,RCP,Timestep,Flux,Mean,Lower,Upper
CanESM2,rcp45,2002,Emission (AgExpand),0.7178862978280528,0.6060077635370926,0.8375844271937625
CanESM2,rcp45,2002,Emission (Biomass),9.35622950283865,9.35622950283865,9.35622950283865
CanESM2,rcp45,2002,Emission (Clearcut),0.457467633714081,0.41922663146389,0.5040958617974092
CanESM2,rcp45,2002,Emission (Fire),2.9711810321799472,2.8438989634569007,3.1046387345970667
CanESM2,rcp45,2002,Emission (Orchard Removal),0.06288453829464465,0.014101047691110001,0.12590431399701324
CanESM2,rcp45,2002,Emission (Urban),1.3598260240472935,1.212324691887043,1.544207784201768
CanESM2,rcp45,2002,Harvest (AgExpand),0.14189987712945482,0.09237388147819621,0.19043441935863847
CanESM2,rcp45,2002,Harvest (Clearcut),3.659741069712631,3.3538130517038685,4.032766894382933
CanESM2,rcp45,2002,Harvest (Grain),8.725056084470701,8.725056084470701,8.725056084470701
CanESM2,rcp45,2002,Harvest (Straw),6.64973484599688,6.64973484599688,6.64973484599688
CanESM2,rcp45,2002,Harvest (Thinning),0.7909296608337932,0.6987289551673315,0.8983158513936403
CanESM2,rcp45,2002,Harvest (Urban),0.27118532385870475,0.20626965565507527,0.34483424214019887
CanESM2,rcp45,2002,Leaching,2.3375663862163067,2.3375663862163067,2.3375663862163067
CanESM2,rcp45,2002,LULCC,37.50158827712114,36.981653620985234,37.952982344676045
CanESM2,rcp45,2002,Mortality,14.663089809818498,14.433291398056003,14.905079078337247
CanESM2,rcp45,2002,Mortality (Fire),1.9064690977445424,1.761659798158255,2.046019740813708
CanESM2,rcp45,2002,Mortality (Harvest),1.8298705348562458,1.6769065258529798,2.016383447193426
CanESM2,rcp45,2002,Mortality (Insects),2.059448389564752,2.016960120593824,2.099252050935672
CanESM2,rcp45,2002,NECB,-27.35603687233015,-27.80743093988506,-26.83610221619425
CanESM2,rcp45,2002,NEP,10.145551404790991,10.145551404790991,10.145551404790991
CanESM2,rcp45,2002,NPP,136.162352192713,136.162352192713,136.162352192713
CanESM2,rcp45,2002,Rh,126.01680078792201,126.01680078792201,126.01680078792201
CanESM2,rcp45,2003,Emission (AgExpand),0.29545403837695805,0.23223639549878045,0.3568370877943068
CanESM2,rcp45,2003,Emission (Biomass),9.358883461757019,9.355151963236606,9.362497600862389
CanESM2,rcp45,2003,Emission (Clearcut),0.3846776157099401,0.3453417134091128,0.42577364011420155
CanESM2,rcp45,2003,Emission (Fire),3.8164351915363373,3.651360144906209,3.976595766111862
CanESM2,rcp45,2003,Emission (Orchard Removal),0.06314685575552162,0.016573546098529998,0.11929069738098597
CanESM2,rcp45,2003,Emission (Urban),0.7444791871022112,0.615779487741259,0.8796035441239525
CanESM2,rcp45,2003,Harvest (AgExpand),0.03915510592726608,0.01857826322323,0.06043108386435896
CanESM2,rcp45,2003,Harvest (Clearcut),3.077420925679204,2.7627337072723472,3.406189120916576
CanESM2,rcp45,2003,Harvest (Grain),9.346130016830827,9.328962161086482,9.36256576729974
CanESM2,rcp45,2003,Harvest (Straw),7.063613563372046,7.050164157720935,7.075943107971041
CanESM2,rcp45,2003,Harvest (Thinning),0.837075313771949,0.7455059946657022,0.9266643461226299
CanESM2,rcp45,2003,Harvest (Urban),0.11585596737722845,0.07332166517390999,0.15991859681629844
CanESM2,rcp45,2003,Leaching,2.328739051220111,2.3282381519367372,2.3292026056178483
CanESM2,rcp45,2003,LULCC,37.47106629441662,37.0338169256518,37.94270101548462
CanESM2,rcp45,2003,Mortality,15.162562065713031,14.951107838387868,15.420504097706713
CanESM2,rcp45,2003,Mortality (Fire),2.7169445471335147,2.5167509309203098,2.895158681311489
CanESM2,rcp45,2003,Mortality (Harvest),1.5387104628397212,1.3813668536346209,1.703094560457375
CanESM2,rcp45,2003,Mortality (Insects),5.254677526311848,5.166852888914456,5.33661701073762
CanESM2,rcp45,2003,NECB,-6.279503313074287,-6.740987290796847,-5.858709444981692
CanESM2,rcp45,2003,NEP,31.191562981342333,31.136032525485003,31.244342852017716
CanESM2,rcp45,2003,NPP,155.85500928844186,155.78644702410827,155.931226786677
CanESM2,rcp45,2003,Rh,124.66344630709955,124.64016376770314,124.68685241458779
CanESM2,rcp45,2004,Emission (AgExpand),0.2962731620081697,0.23108808509175688,0.3710129104591228
CanESM2,rcp45,2004,Emission (Biomass),9.342025139039507,9.336657999395268,9.34696517038697
CanESM2,rcp45,2004,Emission (Clearcut),0.42238625982818984,0.3804605548419819,0.46562962969729843
CanESM2,rcp45,2004,Emission (Fire),1.4984934544268875,1.3976901455817634,1.5891614221017463
CanESM2,rcp45,2004,Emission (Orchard Removal),0.06550539936957915,0.012951507182301003,0.12195482647286
CanESM2,rcp45,2004,Emission (Urban),0.7683002157183083,0.63875271439364,0.88114350720676
CanESM2,rcp45,2004,Harvest (AgExpand),0.03860971523526861,0.015954751031573428,0.06666742339645025
CanESM2,rcp45,2004,Harvest (Clearcut),3.379090078625616,3.043684438737786,3.725037037584975
CanESM2,rcp45,2004,Harvest (Grain),10.256913520332695,10.23070851239835,10.281659759290951
CanESM2,rcp45,2004,Harvest (Straw),7.813122306709609,7.792121774498748,7.83426943197063
CanESM2,rcp45,2004,Harvest (Thinning),1.002367229252712,0.91247106943956,1.0908152547211165
CanESM2,rcp45,2004,Harvest (Urban),0.11606022579725905,0.06717778064372,0.1625502769826758
CanESM2,rcp45,2004,Leaching,2.3196279218837037,2.3189736368548597,2.3201983142840485
CanESM2,rcp45,2004,LULCC,37.3187746282275,36.85465126725178,37.75814673664233
