LUC,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper,Min,Max
BAU,2081,URBANIZATION: Wetland->Developed [Type],Type,2.281505728314239,1,6,1,9
BAU,2082,AGRICULTURAL CHANGE,Group,106.44625,53,163,42,183
BAU,2082,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,100.27625,50,157,40,178
BAU,2082,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.312020460358056,1,16,1,24
BAU,2082,AGRICULTURAL CONTRACTION,Group,124.8575,65,236.02999999999997,47,257
BAU,2082,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,11.96105527638191,2,26,1,32
BAU,2082,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,72.8,27.975,147.05999999999995,15,176
BAU,2082,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.484237074401008,2,22,1,29
BAU,2082,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.42125,3,23.029999999999973,1,31
BAU,2082,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.3805309734513274,1,6,1,10
BAU,2082,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,14.299748110831235,2,41,1,60
BAU,2082,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.599343185550082,1,6,1,11
BAU,2082,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3470790378006874,1,3,1,6
BAU,2082,AGRICULTURAL EXPANSION,Group,151.68,51.975,229,38,256
BAU,2082,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.52375,3,30,1,36
BAU,2082,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.530663329161452,3,30,1,36
BAU,2082,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,47.6975,11,73,7,87
BAU,2082,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,47.76375,12.975000000000001,74.02999999999997,8,83
BAU,2082,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.41,2,23,1,31
BAU,2082,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.29375,2,21,1,28
BAU,2082,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.457364341085271,1,10,1,14
BAU,2082,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.327272727272727,1,9,1,14
BAU,2082,FIRE,Group,2566.0563204005007,1433.45,4093.3599999999997,1068,4923
BAU,2082,FIRE: Forest,Group,1825.47625,891.975,3153.15,584,3990
BAU,2082,FIRE: Forest High Severity [Type],Type,185.58875,87,324.03,51,411
BAU,2082,FIRE: Forest Low Severity [Type],Type,1223.95125,595.9499999999999,2115.2999999999993,391,2654
BAU,2082,FIRE: Forest Medium Severity [Type],Type,415.93625,200.975,715.1499999999999,132,930
BAU,2082,FIRE: Grassland,Group,386.68375,145.92499999999998,717.06,69,1134
BAU,2082,FIRE: Grassland High Severity [Type],Type,39.125,12,74,3,115
BAU,2082,FIRE: Grassland Low Severity [Type],Type,259.26625,98.97500000000001,466.0899999999999,45,753
BAU,2082,FIRE: Grassland Medium Severity [Type],Type,88.2925,33,162,17,269
BAU,2082,FIRE: High Severity,Group,260.60875,144.95,417,108,517
BAU,2082,FIRE: Low Severity,Group,1720.03875,954,2735.5099999999993,714,3301
BAU,2082,FIRE: Medium Severity,Group,585.125,322,921.4799999999996,246,1148
BAU,2082,FIRE: Shrubland,Group,353.6125,155,607.1499999999999,86,808
BAU,2082,FIRE: Shrubland High Severity [Type],Type,35.895,13,65.02999999999997,8,86
BAU,2082,FIRE: Shrubland Low Severity [Type],Type,236.82125,104,408.05999999999995,62,548
BAU,2082,FIRE: Shrubland Medium Severity [Type],Type,80.89625,34,142.02999999999997,16,215
BAU,2082,HARVEST,Group,727.89875,266.925,1128.03,213,1184
BAU,2082,INSECTS,Group,6525.160353535353,585.775,17152.94,15,25070
BAU,2082,INSECTS: High Severity [Type],Type,541.205619412516,11,2904.539999999998,1,4995
BAU,2082,INSECTS: Low Severity [Type],Type,5902.5653298835705,871.5999999999999,14848.280000000006,136,21625
BAU,2082,INSECTS: Medium Severity [Type],Type,298.2002567394095,9,1416.9199999999996,1,2267
BAU,2082,MANAGEMENT: Forest Clearcut [Type],Type,410.26375,171.925,636.0899999999999,131,689
BAU,2082,MANAGEMENT: Forest Thinning [Type],Type,317.635,103,515,72,552
BAU,2082,MANAGEMENT: Orchard Removal [Type],Type,528.9925,215.975,846.06,182,939
BAU,2082,URBANIZATION,Group,175.32375,68,344,52,367
BAU,2082,URBANIZATION: Annual->Developed [Type],Type,39.32875,14,68,7,81
BAU,2082,URBANIZATION: Forest->Developed [Type],Type,30.305,8,75,4,94
BAU,2082,URBANIZATION: Grassland->Developed [Type],Type,33.9825,12,66.02999999999997,8,85
BAU,2082,URBANIZATION: Perennial->Developed [Type],Type,37.99375,14,67,10,86
BAU,2082,URBANIZATION: Shrubland->Developed [Type],Type,31.975,9,79,5,94
BAU,2082,URBANIZATION: Wetland->Developed [Type],Type,2.272875816993464,1,6,1,8
BAU,2083,AGRICULTURAL CHANGE,Group,105.2075,55,162,40,193
BAU,2083,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,98.7025,50.975,153,34,182
BAU,2083,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.714838709677419,1,17,1,28
BAU,2083,AGRICULTURAL CONTRACTION,Group,126.95875,67,235,51,261
BAU,2083,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,12.268170426065163,2,25.090000000000032,1,41
BAU,2083,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,72.8625,28,144.02999999999997,18,169
BAU,2083,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.34256926952141,2,22.209999999999923,1,30
BAU,2083,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.34625,3,22,1,32
BAU,2083,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.3596638655462185,1,6,1,9
BAU,2083,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,16.07313997477932,2,46,1,65
BAU,2083,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.630914826498423,1,7,1,9
BAU,2083,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3333333333333333,1,3,1,4
BAU,2083,AGRICULTURAL EXPANSION,Group,154.54125,54.975,232,42,252
BAU,2083,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.332916145181477,3,29,1,37
BAU,2083,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.637046307884857,3,30,1,37
BAU,2083,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,48.66375,14,73.02999999999997,5,98
BAU,2083,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,49.145,13.975000000000001,74,5,91
BAU,2083,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.458072590738423,2,22,1,29
BAU,2083,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.52875,2,22,1,28
BAU,2083,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.587403598971722,1,10,1,12
BAU,2083,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.531168831168831,1,9,1,13
BAU,2083,FIRE,Group,3494.60625,1396.65,7010.24,956,8553
BAU,2083,FIRE: Forest,Group,2618.34625,787.8000000000001,5932.57,363,7072
BAU,2083,FIRE: Forest High Severity [Type],Type,266.39,75.92500000000001,606.1199999999999,37,723
BAU,2083,FIRE: Forest Low Severity [Type],Type,1754.17625,511.8,3933,241,4688
BAU,2083,FIRE: Forest Medium Severity [Type],Type,597.78,171.95,1355.09,85,1661
BAU,2083,FIRE: Grassland,Group,456.605,168.95,834,63,1278
BAU,2083,FIRE: Grassland High Severity [Type],Type,46.41375,14.975000000000001,89,4,128
BAU,2083,FIRE: Grassland Low Severity [Type],Type,305.94625,116.94999999999999,553.1499999999999,45,880
BAU,2083,FIRE: Grassland Medium Severity [Type],Type,104.245,37,194.02999999999997,7,285
BAU,2083,FIRE: High Severity,Group,355.3,132,722.03,101,860
BAU,2083,FIRE: Low Severity,Group,2336.092731829574,941.9250000000001,4733.18,641,5680
BAU,2083,FIRE: Medium Severity,Group,797.71875,321.97499999999997,1613,206,2013
BAU,2083,FIRE: Shrubland,Group,419.655,157,706.03,87,1047
BAU,2083,FIRE: Shrubland High Severity [Type],Type,42.49625,14.975000000000001,77,4,101
BAU,2083,FIRE: Shrubland Low Severity [Type],Type,281.465,100,474.03,57,698
BAU,2083,FIRE: Shrubland Medium Severity [Type],Type,95.69375,35,167.02999999999997,16,251
BAU,2083,HARVEST,Group,730.87875,254.875,1136.06,204,1198
BAU,2083,INSECTS,Group,7116.863408521303,501.20000000000005,23851.32000000001,23,29724
BAU,2083,INSECTS: High Severity [Type],Type,821.0205655526993,7,5654.869999999999,1,9125
BAU,2083,INSECTS: Low Severity [Type],Type,6007.682051282051,974.7750000000001,16732.039999999997,172,23521
BAU,2083,INSECTS: Medium Severity [Type],Type,441.2869897959184,7,2926.6899999999996,1,4739
BAU,2083,MANAGEMENT: Forest Clearcut [Type],Type,412.995,165.95000000000002,639.0899999999999,117,707
BAU,2083,MANAGEMENT: Forest Thinning [Type],Type,317.88375,92.975,515.03,78,546
BAU,2083,MANAGEMENT: Orchard Removal [Type],Type,522.63375,223.975,855.1799999999998,176,1015
BAU,2083,URBANIZATION,Group,175.175,66.97500000000001,346.05999999999995,55,375
BAU,2083,URBANIZATION: Annual->Developed [Type],Type,39.3275,15,68.02999999999997,9,82
BAU,2083,URBANIZATION: Forest->Developed [Type],Type,30.03,7,77,3,91
BAU,2083,URBANIZATION: Grassland->Developed [Type],Type,34.205,11,68.02999999999997,4,82
BAU,2083,URBANIZATION: Perennial->Developed [Type],Type,38.51,14,68,8,87
BAU,2083,URBANIZATION: Shrubland->Developed [Type],Type,31.42,7,77,4,92
BAU,2083,URBANIZATION: Wetland->Developed [Type],Type,2.2852292020373515,1,6,1,8
BAU,2084,AGRICULTURAL CHANGE,Group,105.805,54,164,40,181
BAU,2084,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.47375,47.975,155.02999999999997,38,175
BAU,2084,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.501925545571245,1,16,1,24
BAU,2084,AGRICULTURAL CONTRACTION,Group,123.4375,68,233.02999999999997,55,253
BAU,2084,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,11.768170426065163,2,26,1,31
BAU,2084,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,69.5975,27,142,18,165
BAU,2084,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.370138017565871,2,24,1,33
BAU,2084,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.321652065081352,3,23,1,31
BAU,2084,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.38339222614841,1,6,1,9
BAU,2084,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,16.334591194968553,2,47,1,76
BAU,2084,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.641815235008104,1,7,1,10
BAU,2084,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.4210526315789473,1,3.480000000000018,1,5
BAU,2084,AGRICULTURAL EXPANSION,Group,150.73625,53.975,228.02999999999997,40,260
BAU,2084,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.27375,3,29,1,37
BAU,2084,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.30162703379224,3,29,1,38
BAU,2084,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,47.56125,12,73,8,90
BAU,2084,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,47.31375,12.975000000000001,73,6,96
BAU,2084,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.337922403003756,2,22,1,29
BAU,2084,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.453517587939698,2,22,1,30
BAU,2084,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.440985732814527,1,9,1,12
BAU,2084,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.475260416666667,1,10,1,13
BAU,2084,FIRE,Group,2002.52375,830.925,4096.509999999999,518,5134
BAU,2084,FIRE: Forest,Group,1376.18671679198,547.925,2949.09,236,3817
BAU,2084,FIRE: Forest High Severity [Type],Type,139.6525,57,297.03,27,385
BAU,2084,FIRE: Forest Low Severity [Type],Type,922.74,357.925,1977,154,2576
BAU,2084,FIRE: Forest Medium Severity [Type],Type,315.71625,125.975,685.0899999999999,55,858
BAU,2084,FIRE: Grassland,Group,328.63625,100,680,36,1279
BAU,2084,FIRE: Grassland High Severity [Type],Type,33.50375,9,69,2,134
BAU,2084,FIRE: Grassland Low Severity [Type],Type,219.7075,67,450.3299999999997,21,839
BAU,2084,FIRE: Grassland Medium Severity [Type],Type,75.425,22,158,7,306
BAU,2084,FIRE: High Severity,Group,203.33625,86.97500000000001,411.17999999999984,56,524
BAU,2084,FIRE: Low Severity,Group,1340.40625,552,2747.5099999999993,342,3478
BAU,2084,FIRE: Medium Severity,Group,458.78125,200.9,945.03,120,1132
BAU,2084,FIRE: Shrubland,Group,295.77875,95.9,675.06,48,1102
BAU,2084,FIRE: Shrubland High Severity [Type],Type,30.18,7,71.02999999999997,3,118
BAU,2084,FIRE: Shrubland Low Severity [Type],Type,197.95875,66,448.05999999999995,31,734
BAU,2084,FIRE: Shrubland Medium Severity [Type],Type,67.64,21,153.02999999999997,8,250
BAU,2084,HARVEST,Group,716.24,250,1126.2099999999998,207,1170
BAU,2084,INSECTS,Group,6337.806007509386,725.0500000000001,15800.999999999996,14,24193
BAU,2084,INSECTS: High Severity [Type],Type,415.2839036755387,4,1613.5200000000002,1,2380
BAU,2084,INSECTS: Low Severity [Type],Type,5799.059720457433,638,14111.699999999999,24,22714
BAU,2084,INSECTS: Medium Severity [Type],Type,233.48535031847135,4.600000000000001,881.96,1,1316
BAU,2084,MANAGEMENT: Forest Clearcut [Type],Type,405.9475,156.975,639.03,122,680
BAU,2084,MANAGEMENT: Forest Thinning [Type],Type,310.2925,93.95,507.0899999999999,69,569
BAU,2084,MANAGEMENT: Orchard Removal [Type],Type,554.37875,224,875.06,180,994
BAU,2084,URBANIZATION,Group,172.56875,68,344.03,49,377
BAU,2084,URBANIZATION: Annual->Developed [Type],Type,38.5875,15,68.02999999999997,11,79
BAU,2084,URBANIZATION: Forest->Developed [Type],Type,30.005,8,78.02999999999997,5,91
BAU,2084,URBANIZATION: Grassland->Developed [Type],Type,33.89125,11,67.02999999999997,6,79
BAU,2084,URBANIZATION: Perennial->Developed [Type],Type,37.3275,14,67,5,82
BAU,2084,URBANIZATION: Shrubland->Developed [Type],Type,31.165,9,75.02999999999997,3,98
BAU,2084,URBANIZATION: Wetland->Developed [Type],Type,2.0715447154471547,1,5.579999999999927,1,10
BAU,2085,AGRICULTURAL CHANGE,Group,108.63625,53.975,164.02999999999997,43,188
BAU,2085,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,102.04125,50,157,37,176
BAU,2085,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.738186462324394,1,16,1,25
BAU,2085,AGRICULTURAL CONTRACTION,Group,123.3625,66.97500000000001,230,57,252
BAU,2085,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,12.231829573934837,2,26,1,32
BAU,2085,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,67.1325,26,136,15,164
BAU,2085,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.39375,2,23,1,30
BAU,2085,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.3875,3,22,1,27
BAU,2085,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.4523026315789473,1,6,1,10
BAU,2085,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,17.74653215636822,2,52,1,68
BAU,2085,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.801223241590214,1,7,1,11
BAU,2085,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3581081081081081,1,3,1,5
BAU,2085,AGRICULTURAL EXPANSION,Group,153.4125,55,233,38,257
BAU,2085,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.3725,3,28,1,35
BAU,2085,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.445,3,31,1,40
BAU,2085,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,48.4675,14,73,7,85
BAU,2085,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,47.7925,14,74,8,93
BAU,2085,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.7825,2,22,1,31
BAU,2085,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.74937343358396,2,22,1,30
BAU,2085,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.548512289780078,1,10,1,15
BAU,2085,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.631853785900783,1,10,1,14
BAU,2085,FIRE,Group,2690.3967459324153,1276.95,5123.719999999999,973,6752
BAU,2085,FIRE: Forest,Group,2015.43875,862.975,4284.57,738,5300
BAU,2085,FIRE: Forest High Severity [Type],Type,204.71625,89,433.1199999999999,53,548
BAU,2085,FIRE: Forest Low Severity [Type],Type,1350.15875,578.9,2866.6899999999996,497,3563
BAU,2085,FIRE: Forest Medium Severity [Type],Type,460.56375,194.925,972.3899999999996,156,1206
BAU,2085,FIRE: Grassland,Group,358.10375,127,727.03,54,1043
BAU,2085,FIRE: Grassland High Severity [Type],Type,36.53625,10,73,6,110
BAU,2085,FIRE: Grassland Low Severity [Type],Type,239.70875,82,482.05999999999995,36,726
BAU,2085,FIRE: Grassland Medium Severity [Type],Type,81.85875,27,169,10,237
BAU,2085,FIRE: High Severity,Group,273.50125,131.975,517.0899999999999,94,682
BAU,2085,FIRE: Low Severity,Group,1796.2092731829573,863.775,3410.7200000000003,645,4495
BAU,2085,FIRE: Medium Severity,Group,614.4375,291.95,1185.03,215,1575
BAU,2085,FIRE: Shrubland,Group,315.60375,128,615.06,43,818
BAU,2085,FIRE: Shrubland High Severity [Type],Type,32.24875,11,68,4,94
BAU,2085,FIRE: Shrubland Low Severity [Type],Type,211.34,82.97500000000001,414.05999999999995,33,572
BAU,2085,FIRE: Shrubland Medium Severity [Type],Type,72.015,26.975,143,6,186
BAU,2085,HARVEST,Group,738.66875,257.9,1136.06,212,1200
BAU,2085,INSECTS,Group,10376.618569636135,902.0000000000001,39108,33,47817
BAU,2085,INSECTS: High Severity [Type],Type,1817.5725288831836,8,13843.099999999991,2,21233
BAU,2085,INSECTS: Low Severity [Type],Type,7824.404092071612,904.2,21878.759999999987,39,33676
BAU,2085,INSECTS: Medium Severity [Type],Type,949.0192554557125,5,6955.879999999996,1,11268
BAU,2085,MANAGEMENT: Forest Clearcut [Type],Type,416.695,170.9,641.0899999999999,125,694
BAU,2085,MANAGEMENT: Forest Thinning [Type],Type,321.97375,97.975,515.03,77,561
BAU,2085,MANAGEMENT: Orchard Removal [Type],Type,546.30625,226.95000000000002,881.1199999999999,191,1035
BAU,2085,URBANIZATION,Group,180.88375,68,350.05999999999995,56,388
BAU,2085,URBANIZATION: Annual->Developed [Type],Type,39.775,14.975000000000001,68,8,74
BAU,2085,URBANIZATION: Forest->Developed [Type],Type,31.84375,7,80,2,97
BAU,2085,URBANIZATION: Grassland->Developed [Type],Type,35.1925,11,70,5,81
BAU,2085,URBANIZATION: Perennial->Developed [Type],Type,38.95625,14,70,8,77
BAU,2085,URBANIZATION: Shrubland->Developed [Type],Type,33.39,8,77,3,95
BAU,2085,URBANIZATION: Wetland->Developed [Type],Type,2.2131410256410255,1,6,1,8
BAU,2086,AGRICULTURAL CHANGE,Group,106.8375,56,160.02999999999997,42,183
BAU,2086,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,100.37375,48.975,155,36,178
BAU,2086,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.620998719590269,1,16,1,21
BAU,2086,AGRICULTURAL CONTRACTION,Group,123.97,64.975,231,55,253
BAU,2086,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,12.02377972465582,2,26.059999999999945,1,33
BAU,2086,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,66.7425,25,134.02999999999997,16,169
BAU,2086,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.665832290362953,2,23,1,30
BAU,2086,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.37625,3,22,1,30
BAU,2086,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.3970588235294117,1,6,1,12
BAU,2086,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,18.58072590738423,2,53,1,92
BAU,2086,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.7449768160741885,1,7,1,10
BAU,2086,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.403030303030303,1,3,1,5
BAU,2086,AGRICULTURAL EXPANSION,Group,152.94625,51,229,44,253
BAU,2086,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.4725,3,29,1,36
BAU,2086,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.56875,3,28,1,39
BAU,2086,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,48.30375,12,73,7,89
BAU,2086,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,47.9375,12.975000000000001,74.02999999999997,6,89
BAU,2086,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.392230576441102,2,22,1,27
BAU,2086,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.473091364205256,2,21,1,29
BAU,2086,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.598455598455598,1,10,1,13
BAU,2086,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.518087855297158,1,10,1,12
BAU,2086,FIRE,Group,2934.316645807259,1394.25,4443.24,1002,5479
BAU,2086,FIRE: Forest,Group,2109.3959899749375,878.475,3521.1500000000015,697,4450
BAU,2086,FIRE: Forest High Severity [Type],Type,213.81625,86.97500000000001,356.17999999999984,65,466
BAU,2086,FIRE: Forest Low Severity [Type],Type,1415.53375,588.95,2371,455,2957
BAU,2086,FIRE: Forest Medium Severity [Type],Type,481.89375,196,807.0899999999999,157,1027
BAU,2086,FIRE: Grassland,Group,402.33625,148.925,750.2099999999998,101,1079
BAU,2086,FIRE: Grassland High Severity [Type],Type,41.15875,13,78,7,118
BAU,2086,FIRE: Grassland Low Severity [Type],Type,269.08125,99.975,505.05999999999995,63,720
BAU,2086,FIRE: Grassland Medium Severity [Type],Type,92.09625,32,170.08999999999992,20,257
BAU,2086,FIRE: High Severity,Group,298.0125,140.925,454.03,102,582
BAU,2086,FIRE: Low Severity,Group,1967.195,925.9499999999999,2952.21,669,3648
BAU,2086,FIRE: Medium Severity,Group,670.375,318.95,1010.03,210,1249
BAU,2086,FIRE: Shrubland,Group,422.0025,136.85,1103.4199999999996,51,1497
BAU,2086,FIRE: Shrubland High Severity [Type],Type,43.0375,11,116,4,162
BAU,2086,FIRE: Shrubland Low Severity [Type],Type,282.58,87.92500000000001,746.1199999999999,41,1037
BAU,2086,FIRE: Shrubland Medium Severity [Type],Type,96.385,29,264.05999999999995,6,360
BAU,2086,HARVEST,Group,723.0975,270,1125,214,1240
BAU,2086,INSECTS,Group,9573.288050314466,673.6500000000001,25878.16,1,34569
BAU,2086,INSECTS: High Severity [Type],Type,1347.1184210526317,1,6049.76,1,8569
BAU,2086,INSECTS: Low Severity [Type],Type,7783.324358974359,843.75,19985.67,6,24740
BAU,2086,INSECTS: Medium Severity [Type],Type,737.1777188328913,1,2820.3499999999985,1,3835
BAU,2086,MANAGEMENT: Forest Clearcut [Type],Type,409.84875,173.97500000000002,638.06,129,689
BAU,2086,MANAGEMENT: Forest Thinning [Type],Type,313.24875,100.94999999999999,510.03,69,561
BAU,2086,MANAGEMENT: Orchard Removal [Type],Type,547.64125,223.925,883.06,185,1e3
BAU,2086,URBANIZATION,Group,172.8775,66,342.05999999999995,56,377
BAU,2086,URBANIZATION: Annual->Developed [Type],Type,38.21375,14.975000000000001,65,9,76
BAU,2086,URBANIZATION: Forest->Developed [Type],Type,30.26375,7.975000000000001,76,4,92
BAU,2086,URBANIZATION: Grassland->Developed [Type],Type,33.65625,11,68.02999999999997,5,86
BAU,2086,URBANIZATION: Perennial->Developed [Type],Type,37.58625,14,66.02999999999997,9,75
BAU,2086,URBANIZATION: Shrubland->Developed [Type],Type,31.37625,7,75.02999999999997,4,88
BAU,2086,URBANIZATION: Wetland->Developed [Type],Type,2.355371900826446,1,6,1,9
BAU,2087,AGRICULTURAL CHANGE,Group,106.52125,53,162.02999999999997,43,192
BAU,2087,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,100.10875,49,153,37,179
BAU,2087,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.619354838709677,1,16,1,25
BAU,2087,AGRICULTURAL CONTRACTION,Group,126.13,65.975,237,49,261
BAU,2087,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,12.16,2,26,1,34
BAU,2087,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,71.56875,24.975,143,17,172
BAU,2087,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,10.668335419274092,2,24,1,35
BAU,2087,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,11.5575,3,23,1,29
BAU,2087,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,2.546232876712329,1,6.509999999999991,1,9
BAU,2087,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,15.837121212121213,2,45,1,61
BAU,2087,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,2.5968992248062017,1,7,1,11
BAU,2087,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.3981191222570533,1,3,1,4
BAU,2087,AGRICULTURAL EXPANSION,Group,149.6525,49.975,233.02999999999997,38,252
BAU,2087,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,13.516896120150188,3,30.059999999999945,1,40
BAU,2087,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,13.335419274092615,3,30,1,39
BAU,2087,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,46.66125,11,74,6,81
BAU,2087,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,46.84875,11.975000000000001,73,6,81
BAU,2087,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,10.4775,3,22,1,29
BAU,2087,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,10.357142857142858,2,22,1,32
BAU,2087,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.397946084724005,1,10,1,14
BAU,2087,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,4.472919418758257,1,9,1,13
BAU,2087,FIRE,Group,2796.754077791719,1326,4602.2,828,5288
BAU,2087,FIRE: Forest,Group,1949.2202753441802,832.7,3379.7999999999984,472,3983
BAU,2087,FIRE: Forest High Severity [Type],Type,198.18625,79.95,344,45,411
BAU,2087,FIRE: Forest Low Severity [Type],Type,1306.53125,556.975,2292.1499999999996,303,2675
BAU,2087,FIRE: Forest Medium Severity [Type],Type,445.17625,188,771.0899999999999,116,908
BAU,2087,FIRE: Grassland,Group,411.93125,154,780.4799999999996,82,1256
BAU,2087,FIRE: Grassland High Severity [Type],Type,41.75875,14,84.05999999999995,6,131
