Timestep,TransitionGroup,Flow,FlowPrimary,FromStock,ToStock,Mean,Lower,Upper
2002,AgExpand,Emission,Emission,Living Biomass,Atmosphere,0.7187175099439645,0.60482092630383,0.84181770297803
2002,AgExpand,Harvest,Harvest,Living Biomass,HWP,0.14200767930374616,0.09140063559528451,0.19437370520876998
2002,Clearcut,Deadfall,Deadfall,Standing Dead,Down Dead,0.1407728996080658,0.1266415190479988,0.15749503582988328
2002,Clearcut,Emission,Emission,Living Biomass,Atmosphere,0.4563954897726136,0.4170965670270189,0.5017592595372524
2002,Clearcut,Harvest,Harvest,Living Biomass,HWP,3.6511639181810978,3.3367725362128704,4.0140740762930545
2002,Clearcut,Mortality,Mortality,Living Biomass,Standing Dead,1.8255819590904574,1.668386268107143,2.0070370381490115
2002,Fire,Emission,Emission,Living Biomass,Atmosphere,2.9785716019401294,2.850283553085816,3.111766866414334
2002,Fire,Mortality,Mortality,Living Biomass,Standing Dead,1.9157586833219353,1.7637063976967529,2.0649372261688783
2002,Insects,Mortality (insects high),Mortality,Living Biomass,Standing Dead,0.11742413320346914,0.10322451414106,0.12956685993085
2002,Insects,Mortality (insects low),Mortality,Living Biomass,Standing Dead,1.6635066220726165,1.6329861713958798,1.692802022316218
2002,Insects,Mortality (insects medium),Mortality,Living Biomass,Standing Dead,0.2787932920043469,0.2530339400106015,0.30426738894619
2002,OrchardRemoval,Emission,Emission,Living Biomass,Atmosphere,0.06385294852227393,0.014111552250952251,0.12905702482073003
2002,Thinning,Harvest,Harvest,Living Biomass,HWP,0.7889259717363749,0.6949532491275208,0.88805480714676
2002,Urban,Emission,Emission,Living Biomass,Atmosphere,1.351414048176587,1.197644264754596,1.51085167538028
2002,Urban,Harvest,Harvest,Living Biomass,HWP,0.2692892859079253,0.20292618804631,0.3381923751469929
2002,NA,Deadfall,Deadfall,Standing Dead,Down Dead,12.54455834472129,12.54455834472129,12.54455834472129
2002,NA,Decay,Decay,Down Dead,Litter,13.639201733646699,13.639201733646699,13.639201733646699
2002,NA,Decomposition,Decomposition,Litter,Soil,66.07268426671,66.07268426671,66.07268426671
2002,NA,Emission (biomass),Emission,Living Biomass,Atmosphere,9.356229502838652,9.356229502838652,9.356229502838652
2002,NA,Emission (litter),Emission,Litter,Atmosphere,62.102065166413,62.102065166413,62.102065166413
2002,NA,Emission (soil),Emission,Soil,Atmosphere,63.914735621509,63.914735621509,63.914735621509
2002,NA,Growth,Growth,Atmosphere,Living Biomass,136.162352192713,136.162352192713,136.162352192713
2002,NA,Harvest (grain),Harvest,Living Biomass,HAP,8.7250560844707,8.7250560844707,8.7250560844707
2002,NA,Harvest (straw),Harvest,Living Biomass,HAP,6.64973484599688,6.64973484599688,6.64973484599688
2002,NA,Leaching,Leaching,Soil,Aquatic,2.3375663862163063,2.3375663862163063,2.3375663862163063
2002,NA,Litterfall,Litterfall,Living Biomass,Litter,109.450621600657,109.450621600657,109.450621600657
2002,NA,Mortality,Mortality,Living Biomass,Standing Dead,10.926750177217711,10.926750177217711,10.926750177217711
2003,AgExpand,Emission,Emission,Living Biomass,Atmosphere,0.2947552695310378,0.22707346162335976,0.36367506779422804
2003,AgExpand,Harvest,Harvest,Living Biomass,HWP,0.039726895132524684,0.018982852275879352,0.06369347565569322
2003,Clearcut,Deadfall,Deadfall,Standing Dead,Down Dead,0.12398116040230844,0.10711963629040411,0.14376352711096343
2003,Clearcut,Emission,Emission,Living Biomass,Atmosphere,0.3839735769961743,0.3450190960629832,0.42440425913351004
2003,Clearcut,Harvest,Harvest,Living Biomass,HWP,3.071788615969331,2.760152768507638,3.39523407306752
2003,Clearcut,Mortality,Mortality,Living Biomass,Standing Dead,1.5358943079846907,1.380076384254309,1.69761703653216
2003,Fire,Emission,Emission,Living Biomass,Atmosphere,3.8160320577649864,3.655132018206362,3.975072685541255
2003,Fire,Mortality,Mortality,Living Biomass,Standing Dead,2.717605489540412,2.519370511135943,2.9101693416634133
2003,Insects,Mortality (insects high),Mortality,Living Biomass,Standing Dead,0.2452081890497424,0.22151205857039996,0.2686913411859
2003,Insects,Mortality (insects low),Mortality,Living Biomass,Standing Dead,3.841896108179122,3.791566688574367,3.8939461535439
2003,Insects,Mortality (insects medium),Mortality,Living Biomass,Standing Dead,1.1670105701701734,1.10769028684807,1.2264359786014
2003,OrchardRemoval,Emission,Emission,Living Biomass,Atmosphere,0.06284537297643485,0.01612016144485,0.124519570152
2003,Thinning,Harvest,Harvest,Living Biomass,HWP,0.8368726271561127,0.7487017995767821,0.932566980121815
2003,Urban,Emission,Emission,Living Biomass,Atmosphere,0.7454294117485637,0.621143856278919,0.87172450558395
2003,Urban,Harvest,Harvest,Living Biomass,HWP,0.11537060492434899,0.07348342056351,0.15989266370056002
2003,NA,Deadfall,Deadfall,Standing Dead,Down Dead,12.859637764206449,12.848728382002845,12.870317334959331
2003,NA,Decay,Decay,Down Dead,Litter,13.729592402271473,13.71360611578128,13.74809634611969
2003,NA,Decomposition,Decomposition,Litter,Soil,63.59443301960006,63.580089832975,63.610022002129
2003,NA,Emission (biomass),Emission,Living Biomass,Atmosphere,9.358921166620851,9.355140706345326,9.36249572304244
2003,NA,Emission (litter),Emission,Litter,Atmosphere,59.92286554502937,59.908559843197,59.938020739664005
2003,NA,Emission (soil),Emission,Soil,Atmosphere,64.74117079595734,64.726733471225,64.7551572542735
2003,NA,Growth,Growth,Atmosphere,Living Biomass,155.8549262545608,155.7868330508,155.91983362874225
