LUC,GCM,RCP,Flow,FlowPrimary,FromStock,Mean,Lower,Upper
Low,CanESM2,rcp45,Mortality (insects medium),Mortality,Living Biomass,12263.2,12263.2,12263.2
Low,CanESM2,rcp85,Deadfall,Deadfall,Standing Dead,186656.4,186656.4,186656.4
Low,CanESM2,rcp85,Decay,Decay,Down Dead,183425,183425,183425
Low,CanESM2,rcp85,Decomposition,Decomposition,Litter,557335,557335,557335
Low,CanESM2,rcp85,Emission,Emission,Living Biomass,71720.3,71720.3,71720.3
Low,CanESM2,rcp85,Emission (biomass),Emission,Living Biomass,62245,62245,62245
Low,CanESM2,rcp85,Emission (litter),Emission,Litter,556811.6,556811.6,556811.6
Low,CanESM2,rcp85,Emission (soil),Emission,Soil,556242.4,556242.4,556242.4
Low,CanESM2,rcp85,Growth,Growth,Atmosphere,1433522.1,1433522.1,1433522.1
Low,CanESM2,rcp85,Harvest,Harvest,Living Biomass,24684.9,24684.9,24684.9
Low,CanESM2,rcp85,Harvest (grain),Harvest,Living Biomass,90835.3,90835.3,90835.3
Low,CanESM2,rcp85,Harvest (straw),Harvest,Living Biomass,58094.9,58094.9,58094.9
Low,CanESM2,rcp85,Leaching,Leaching,Soil,18776.8,18776.8,18776.8
Low,CanESM2,rcp85,Litterfall,Litterfall,Living Biomass,933190.3,933190.3,933190.3
Low,CanESM2,rcp85,Mortality,Mortality,Living Biomass,105387.1,105387.1,105387.1
Low,CanESM2,rcp85,Mortality (insects high),Mortality,Living Biomass,64112.3,64112.3,64112.3
Low,CanESM2,rcp85,Mortality (insects low),Mortality,Living Biomass,31740.4,31740.4,31740.4
Low,CanESM2,rcp85,Mortality (insects medium),Mortality,Living Biomass,13593.7,13593.7,13593.7
Low,CNRM-CM5,rcp45,Deadfall,Deadfall,Standing Dead,177617.9,177617.9,177617.9
Low,CNRM-CM5,rcp45,Decay,Decay,Down Dead,173766,173766,173766
Low,CNRM-CM5,rcp45,Decomposition,Decomposition,Litter,559959.6,559959.6,559959.6
Low,CNRM-CM5,rcp45,Emission,Emission,Living Biomass,68856.8,68856.8,68856.8
Low,CNRM-CM5,rcp45,Emission (biomass),Emission,Living Biomass,68974.1,68974.1,68974.1
Low,CNRM-CM5,rcp45,Emission (litter),Emission,Litter,529919.1,529919.1,529919.1
Low,CNRM-CM5,rcp45,Emission (soil),Emission,Soil,531136.7,531136.7,531136.7
Low,CNRM-CM5,rcp45,Growth,Growth,Atmosphere,1405732.2,1405732.2,1405732.2
Low,CNRM-CM5,rcp45,Harvest,Harvest,Living Biomass,25914.8,25914.8,25914.8
Low,CNRM-CM5,rcp45,Harvest (grain),Harvest,Living Biomass,91723.8,91723.8,91723.8
Low,CNRM-CM5,rcp45,Harvest (straw),Harvest,Living Biomass,58842.2,58842.2,58842.2
Low,CNRM-CM5,rcp45,Leaching,Leaching,Soil,19842.5,19842.5,19842.5
Low,CNRM-CM5,rcp45,Litterfall,Litterfall,Living Biomass,929013.7,929013.7,929013.7
Low,CNRM-CM5,rcp45,Mortality,Mortality,Living Biomass,107061.1,107061.1,107061.1
Low,CNRM-CM5,rcp45,Mortality (insects high),Mortality,Living Biomass,53973.4,53973.4,53973.4
Low,CNRM-CM5,rcp45,Mortality (insects low),Mortality,Living Biomass,33886.7,33886.7,33886.7
Low,CNRM-CM5,rcp45,Mortality (insects medium),Mortality,Living Biomass,11791.7,11791.7,11791.7
Low,CNRM-CM5,rcp85,Deadfall,Deadfall,Standing Dead,180068.5,180068.5,180068.5
Low,CNRM-CM5,rcp85,Decay,Decay,Down Dead,176085.8,176085.8,176085.8
Low,CNRM-CM5,rcp85,Decomposition,Decomposition,Litter,556384.4,556384.4,556384.4
Low,CNRM-CM5,rcp85,Emission,Emission,Living Biomass,65141.6,65141.6,65141.6
Low,CNRM-CM5,rcp85,Emission (biomass),Emission,Living Biomass,68803.8,68803.8,68803.8
Low,CNRM-CM5,rcp85,Emission (litter),Emission,Litter,541771,541771,541771
Low,CNRM-CM5,rcp85,Emission (soil),Emission,Soil,545819.8,545819.8,545819.8
Low,CNRM-CM5,rcp85,Growth,Growth,Atmosphere,1414286.6,1414286.6,1414286.6
Low,CNRM-CM5,rcp85,Harvest,Harvest,Living Biomass,26030.4,26030.4,26030.4
Low,CNRM-CM5,rcp85,Harvest (grain),Harvest,Living Biomass,90130.1,90130.1,90130.1
Low,CNRM-CM5,rcp85,Harvest (straw),Harvest,Living Biomass,57509.1,57509.1,57509.1
Low,CNRM-CM5,rcp85,Leaching,Leaching,Soil,19415.4,19415.4,19415.4
Low,CNRM-CM5,rcp85,Litterfall,Litterfall,Living Biomass,927268,927268,927268
Low,CNRM-CM5,rcp85,Mortality,Mortality,Living Biomass,106689.5,106689.5,106689.5
Low,CNRM-CM5,rcp85,Mortality (insects high),Mortality,Living Biomass,57454.2,57454.2,57454.2
Low,CNRM-CM5,rcp85,Mortality (insects low),Mortality,Living Biomass,34314.7,34314.7,34314.7
Low,CNRM-CM5,rcp85,Mortality (insects medium),Mortality,Living Biomass,12635.5,12635.5,12635.5
Low,HadGEM2-ES,rcp45,Deadfall,Deadfall,Standing Dead,167783.4,167783.4,167783.4
Low,HadGEM2-ES,rcp45,Decay,Decay,Down Dead,163549.3,163549.3,163549.3
Low,HadGEM2-ES,rcp45,Decomposition,Decomposition,Litter,488727.1,488727.1,488727.1
Low,HadGEM2-ES,rcp45,Emission,Emission,Living Biomass,62094.4,62094.4,62094.4
Low,HadGEM2-ES,rcp45,Emission (biomass),Emission,Living Biomass,59837.4,59837.4,59837.4
Low,HadGEM2-ES,rcp45,Emission (litter),Emission,Litter,468460.7,468460.7,468460.7
Low,HadGEM2-ES,rcp45,Emission (soil),Emission,Soil,495182.9,495182.9,495182.9
Low,HadGEM2-ES,rcp45,Growth,Growth,Atmosphere,1213853.6,1213853.6,1213853.6
Low,HadGEM2-ES,rcp45,Harvest,Harvest,Living Biomass,23343.8,23343.8,23343.8
Low,HadGEM2-ES,rcp45,Harvest (grain),Harvest,Living Biomass,78764.2,78764.2,78764.2
Low,HadGEM2-ES,rcp45,Harvest (straw),Harvest,Living Biomass,48182.1,48182.1,48182.1
Low,HadGEM2-ES,rcp45,Leaching,Leaching,Soil,18693.4,18693.4,18693.4
Low,HadGEM2-ES,rcp45,Litterfall,Litterfall,Living Biomass,804224.4,804224.4,804224.4
Low,HadGEM2-ES,rcp45,Mortality,Mortality,Living Biomass,96220.8,96220.8,96220.8
Low,HadGEM2-ES,rcp45,Mortality (insects high),Mortality,Living Biomass,60521.7,60521.7,60521.7
Low,HadGEM2-ES,rcp45,Mortality (insects low),Mortality,Living Biomass,31620.7,31620.7,31620.7
Low,HadGEM2-ES,rcp45,Mortality (insects medium),Mortality,Living Biomass,13035.5,13035.5,13035.5
Low,HadGEM2-ES,rcp85,Deadfall,Deadfall,Standing Dead,175259.1,175259.1,175259.1
Low,HadGEM2-ES,rcp85,Decay,Decay,Down Dead,170049.8,170049.8,170049.8
Low,HadGEM2-ES,rcp85,Decomposition,Decomposition,Litter,485625.8,485625.8,485625.8
Low,HadGEM2-ES,rcp85,Emission,Emission,Living Biomass,59379.6,59379.6,59379.6
Low,HadGEM2-ES,rcp85,Emission (biomass),Emission,Living Biomass,60281.9,60281.9,60281.9
Low,HadGEM2-ES,rcp85,Emission (litter),Emission,Litter,481282.4,481282.4,481282.4
Low,HadGEM2-ES,rcp85,Emission (soil),Emission,Soil,515118.2,515118.2,515118.2
Low,HadGEM2-ES,rcp85,Growth,Growth,Atmosphere,1211926.6,1211926.6,1211926.6
Low,HadGEM2-ES,rcp85,Harvest,Harvest,Living Biomass,24019.1,24019.1,24019.1
Low,HadGEM2-ES,rcp85,Harvest (grain),Harvest,Living Biomass,78142.8,78142.8,78142.8
Low,HadGEM2-ES,rcp85,Harvest (straw),Harvest,Living Biomass,47611.9,47611.9,47611.9
Low,HadGEM2-ES,rcp85,Leaching,Leaching,Soil,18200.8,18200.8,18200.8
Low,HadGEM2-ES,rcp85,Litterfall,Litterfall,Living Biomass,798383.3,798383.3,798383.3
Low,HadGEM2-ES,rcp85,Mortality,Mortality,Living Biomass,95975.8,95975.8,95975.8
Low,HadGEM2-ES,rcp85,Mortality (insects high),Mortality,Living Biomass,59730.9,59730.9,59730.9
Low,HadGEM2-ES,rcp85,Mortality (insects low),Mortality,Living Biomass,31653.3,31653.3,31653.3
Low,HadGEM2-ES,rcp85,Mortality (insects medium),Mortality,Living Biomass,12939.8,12939.8,12939.8
Low,MIROC5,rcp45,Deadfall,Deadfall,Standing Dead,159899.9,159899.9,159899.9
Low,MIROC5,rcp45,Decay,Decay,Down Dead,154560.6,154560.6,154560.6
Low,MIROC5,rcp45,Decomposition,Decomposition,Litter,478317.7,478317.7,478317.7
Low,MIROC5,rcp45,Emission,Emission,Living Biomass,60406.3,60406.3,60406.3
Low,MIROC5,rcp45,Emission (biomass),Emission,Living Biomass,63402.3,63402.3,63402.3
Low,MIROC5,rcp45,Emission (litter),Emission,Litter,450711.6,450711.6,450711.6
Low,MIROC5,rcp45,Emission (soil),Emission,Soil,483561.7,483561.7,483561.7
Low,MIROC5,rcp45,Growth,Growth,Atmosphere,1168889.3,1168889.3,1168889.3
Low,MIROC5,rcp45,Harvest,Harvest,Living Biomass,23910.3,23910.3,23910.3
Low,MIROC5,rcp45,Harvest (grain),Harvest,Living Biomass,75490.4,75490.4,75490.4
Low,MIROC5,rcp45,Harvest (straw),Harvest,Living Biomass,45468.8,45468.8,45468.8
Low,MIROC5,rcp45,Leaching,Leaching,Soil,19083.9,19083.9,19083.9
Low,MIROC5,rcp45,Litterfall,Litterfall,Living Biomass,784035.9,784035.9,784035.9
Low,MIROC5,rcp45,Mortality,Mortality,Living Biomass,99223.7,99223.7,99223.7
Low,MIROC5,rcp45,Mortality (insects high),Mortality,Living Biomass,59059.1,59059.1,59059.1
Low,MIROC5,rcp45,Mortality (insects low),Mortality,Living Biomass,32937.3,32937.3,32937.3
Low,MIROC5,rcp45,Mortality (insects medium),Mortality,Living Biomass,12924,12924,12924
Low,MIROC5,rcp85,Deadfall,Deadfall,Standing Dead,171917.8,171917.8,171917.8
Low,MIROC5,rcp85,Decay,Decay,Down Dead,169791,169791,169791
Low,MIROC5,rcp85,Decomposition,Decomposition,Litter,481005.8,481005.8,481005.8
Low,MIROC5,rcp85,Emission,Emission,Living Biomass,54279.2,54279.2,54279.2
Low,MIROC5,rcp85,Emission (biomass),Emission,Living Biomass,57521.7,57521.7,57521.7
Low,MIROC5,rcp85,Emission (litter),Emission,Litter,462825,462825,462825
Low,MIROC5,rcp85,Emission (soil),Emission,Soil,496381.2,496381.2,496381.2
Low,MIROC5,rcp85,Growth,Growth,Atmosphere,1164946.5,1164946.5,1164946.5
Low,MIROC5,rcp85,Harvest,Harvest,Living Biomass,22553.5,22553.5,22553.5
Low,MIROC5,rcp85,Harvest (grain),Harvest,Living Biomass,75210.6,75210.6,75210.6
Low,MIROC5,rcp85,Harvest (straw),Harvest,Living Biomass,45254.4,45254.4,45254.4
Low,MIROC5,rcp85,Leaching,Leaching,Soil,18922.5,18922.5,18922.5
Low,MIROC5,rcp85,Litterfall,Litterfall,Living Biomass,776814.9,776814.9,776814.9
Low,MIROC5,rcp85,Mortality,Mortality,Living Biomass,90762.2,90762.2,90762.2
Low,MIROC5,rcp85,Mortality (insects high),Mortality,Living Biomass,69223.3,69223.3,69223.3
Low,MIROC5,rcp85,Mortality (insects low),Mortality,Living Biomass,30493.3,30493.3,30493.3
Low,MIROC5,rcp85,Mortality (insects medium),Mortality,Living Biomass,14787.2,14787.2,14787.2
Medium,CanESM2,rcp45,Deadfall,Deadfall,Standing Dead,172572.2,172572.2,172572.2
Medium,CanESM2,rcp45,Decay,Decay,Down Dead,173590.5,173590.5,173590.5
Medium,CanESM2,rcp45,Decomposition,Decomposition,Litter,517107.8,517107.8,517107.8
Medium,CanESM2,rcp45,Emission,Emission,Living Biomass,71166.9,71166.9,71166.9
Medium,CanESM2,rcp45,Emission (biomass),Emission,Living Biomass,61007.2,61007.2,61007.2
Medium,CanESM2,rcp45,Emission (litter),Emission,Litter,496889.7,496889.7,496889.7
Medium,CanESM2,rcp45,Emission (soil),Emission,Soil,506557.3,506557.3,506557.3
Medium,CanESM2,rcp45,Growth,Growth,Atmosphere,1293757.3,1293757.3,1293757.3
Medium,CanESM2,rcp45,Harvest,Harvest,Living Biomass,34129.7,34129.7,34129.7
Medium,CanESM2,rcp45,Harvest (grain),Harvest,Living Biomass,82617.5,82617.5,82617.5
Medium,CanESM2,rcp45,Harvest (straw),Harvest,Living Biomass,50149.6,50149.6,50149.6
Medium,CanESM2,rcp45,Leaching,Leaching,Soil,19030.4,19030.4,19030.4
Medium,CanESM2,rcp45,Litterfall,Litterfall,Living Biomass,849925.7,849925.7,849925.7
Medium,CanESM2,rcp45,Mortality,Mortality,Living Biomass,101959,101959,101959
Medium,CanESM2,rcp45,Mortality (insects high),Mortality,Living Biomass,56482.8,56482.8,56482.8
Medium,CanESM2,rcp45,Mortality (insects low),Mortality,Living Biomass,31529.1,31529.1,31529.1
Medium,CanESM2,rcp45,Mortality (insects medium),Mortality,Living Biomass,11933.7,11933.7,11933.7
Medium,CanESM2,rcp85,Deadfall,Deadfall,Standing Dead,182354.8,182354.8,182354.8
Medium,CanESM2,rcp85,Decay,Decay,Down Dead,182652.7,182652.7,182652.7
Medium,CanESM2,rcp85,Decomposition,Decomposition,Litter,548961,548961,548961
Medium,CanESM2,rcp85,Emission,Emission,Living Biomass,78671,78671,78671
Medium,CanESM2,rcp85,Emission (biomass),Emission,Living Biomass,59923,59923,59923
Medium,CanESM2,rcp85,Emission (litter),Emission,Litter,548235.1,548235.1,548235.1
Medium,CanESM2,rcp85,Emission (soil),Emission,Soil,548562.9,548562.9,548562.9
Medium,CanESM2,rcp85,Growth,Growth,Atmosphere,1416812.6,1416812.6,1416812.6
Medium,CanESM2,rcp85,Harvest,Harvest,Living Biomass,33715.8,33715.8,33715.8
Medium,CanESM2,rcp85,Harvest (grain),Harvest,Living Biomass,90009.6,90009.6,90009.6
Medium,CanESM2,rcp85,Harvest (straw),Harvest,Living Biomass,56270.3,56270.3,56270.3
Medium,CanESM2,rcp85,Leaching,Leaching,Soil,18658.5,18658.5,18658.5
Medium,CanESM2,rcp85,Litterfall,Litterfall,Living Biomass,917133.9,917133.9,917133.9
Medium,CanESM2,rcp85,Mortality,Mortality,Living Biomass,105672.3,105672.3,105672.3
Medium,CanESM2,rcp85,Mortality (insects high),Mortality,Living Biomass,62956.3,62956.3,62956.3
Medium,CanESM2,rcp85,Mortality (insects low),Mortality,Living Biomass,31089.2,31089.2,31089.2
Medium,CanESM2,rcp85,Mortality (insects medium),Mortality,Living Biomass,13327.5,13327.5,13327.5
Medium,CNRM-CM5,rcp45,Deadfall,Deadfall,Standing Dead,173375.9,173375.9,173375.9
Medium,CNRM-CM5,rcp45,Decay,Decay,Down Dead,173264.3,173264.3,173264.3
Medium,CNRM-CM5,rcp45,Decomposition,Decomposition,Litter,551558.8,551558.8,551558.8
Medium,CNRM-CM5,rcp45,Emission,Emission,Living Biomass,76700,76700,76700
Medium,CNRM-CM5,rcp45,Emission (biomass),Emission,Living Biomass,66271.7,66271.7,66271.7
Medium,CNRM-CM5,rcp45,Emission (litter),Emission,Litter,521881.6,521881.6,521881.6
Medium,CNRM-CM5,rcp45,Emission (soil),Emission,Soil,523798.6,523798.6,523798.6
Medium,CNRM-CM5,rcp45,Growth,Growth,Atmosphere,1390259.1,1390259.1,1390259.1
Medium,CNRM-CM5,rcp45,Harvest,Harvest,Living Biomass,35474.4,35474.4,35474.4
Medium,CNRM-CM5,rcp45,Harvest (grain),Harvest,Living Biomass,91281.4,91281.4,91281.4
Medium,CNRM-CM5,rcp45,Harvest (straw),Harvest,Living Biomass,57291.9,57291.9,57291.9
Medium,CNRM-CM5,rcp45,Leaching,Leaching,Soil,19707.9,19707.9,19707.9
Medium,CNRM-CM5,rcp45,Litterfall,Litterfall,Living Biomass,913211.6,913211.6,913211.6
Medium,CNRM-CM5,rcp45,Mortality,Mortality,Living Biomass,107686,107686,107686
Medium,CNRM-CM5,rcp45,Mortality (insects high),Mortality,Living Biomass,52965.5,52965.5,52965.5
Medium,CNRM-CM5,rcp45,Mortality (insects low),Mortality,Living Biomass,33023.8,33023.8,33023.8
Medium,CNRM-CM5,rcp45,Mortality (insects medium),Mortality,Living Biomass,11509.2,11509.2,11509.2
Medium,CNRM-CM5,rcp85,Deadfall,Deadfall,Standing Dead,175756.2,175756.2,175756.2
Medium,CNRM-CM5,rcp85,Decay,Decay,Down Dead,175828.4,175828.4,175828.4
Medium,CNRM-CM5,rcp85,Decomposition,Decomposition,Litter,548156,548156,548156
Medium,CNRM-CM5,rcp85,Emission,Emission,Living Biomass,72554.2,72554.2,72554.2
Medium,CNRM-CM5,rcp85,Emission (biomass),Emission,Living Biomass,66118.6,66118.6,66118.6
Medium,CNRM-CM5,rcp85,Emission (litter),Emission,Litter,533599.7,533599.7,533599.7
Medium,CNRM-CM5,rcp85,Emission (soil),Emission,Soil,538327.7,538327.7,538327.7
Medium,CNRM-CM5,rcp85,Growth,Growth,Atmosphere,1399095.3,1399095.3,1399095.3
Medium,CNRM-CM5,rcp85,Harvest,Harvest,Living Biomass,35971.6,35971.6,35971.6
Medium,CNRM-CM5,rcp85,Harvest (grain),Harvest,Living Biomass,89793.4,89793.4,89793.4
Medium,CNRM-CM5,rcp85,Harvest (straw),Harvest,Living Biomass,56126.5,56126.5,56126.5
Medium,CNRM-CM5,rcp85,Leaching,Leaching,Soil,19290.5,19290.5,19290.5
Medium,CNRM-CM5,rcp85,Litterfall,Litterfall,Living Biomass,911246.1,911246.1,911246.1
Medium,CNRM-CM5,rcp85,Mortality,Mortality,Living Biomass,107353.1,107353.1,107353.1
Medium,CNRM-CM5,rcp85,Mortality (insects high),Mortality,Living Biomass,55913.6,55913.6,55913.6
Medium,CNRM-CM5,rcp85,Mortality (insects low),Mortality,Living Biomass,33513.7,33513.7,33513.7
Medium,CNRM-CM5,rcp85,Mortality (insects medium),Mortality,Living Biomass,12339.8,12339.8,12339.8
Medium,HadGEM2-ES,rcp45,Deadfall,Deadfall,Standing Dead,163807.3,163807.3,163807.3
Medium,HadGEM2-ES,rcp45,Decay,Decay,Down Dead,163282.2,163282.2,163282.2
Medium,HadGEM2-ES,rcp45,Decomposition,Decomposition,Litter,481116.2,481116.2,481116.2
Medium,HadGEM2-ES,rcp45,Emission,Emission,Living Biomass,68460.5,68460.5,68460.5
Medium,HadGEM2-ES,rcp45,Emission (biomass),Emission,Living Biomass,57272.4,57272.4,57272.4
Medium,HadGEM2-ES,rcp45,Emission (litter),Emission,Litter,461075.1,461075.1,461075.1
Medium,HadGEM2-ES,rcp45,Emission (soil),Emission,Soil,488343.8,488343.8,488343.8
Medium,HadGEM2-ES,rcp45,Growth,Growth,Atmosphere,1199105.2,1199105.2,1199105.2
Medium,HadGEM2-ES,rcp45,Harvest,Harvest,Living Biomass,32118.8,32118.8,32118.8
Medium,HadGEM2-ES,rcp45,Harvest (grain),Harvest,Living Biomass,78567.4,78567.4,78567.4
Medium,HadGEM2-ES,rcp45,Harvest (straw),Harvest,Living Biomass,46912.7,46912.7,46912.7
Medium,HadGEM2-ES,rcp45,Leaching,Leaching,Soil,18576.4,18576.4,18576.4
Medium,HadGEM2-ES,rcp45,Litterfall,Litterfall,Living Biomass,789416.2,789416.2,789416.2
Medium,HadGEM2-ES,rcp45,Mortality,Mortality,Living Biomass,96541,96541,96541
Medium,HadGEM2-ES,rcp45,Mortality (insects high),Mortality,Living Biomass,59846.8,59846.8,59846.8
Medium,HadGEM2-ES,rcp45,Mortality (insects low),Mortality,Living Biomass,30276,30276,30276
Medium,HadGEM2-ES,rcp45,Mortality (insects medium),Mortality,Living Biomass,12778.2,12778.2,12778.2
Medium,HadGEM2-ES,rcp85,Deadfall,Deadfall,Standing Dead,170919.2,170919.2,170919.2
Medium,HadGEM2-ES,rcp85,Decay,Decay,Down Dead,169433.1,169433.1,169433.1
Medium,HadGEM2-ES,rcp85,Decomposition,Decomposition,Litter,477903.1,477903.1,477903.1
Medium,HadGEM2-ES,rcp85,Emission,Emission,Living Biomass,65699.8,65699.8,65699.8
Medium,HadGEM2-ES,rcp85,Emission (biomass),Emission,Living Biomass,57862.8,57862.8,57862.8
Medium,HadGEM2-ES,rcp85,Emission (litter),Emission,Litter,473449.5,473449.5,473449.5
Medium,HadGEM2-ES,rcp85,Emission (soil),Emission,Soil,507814.7,507814.7,507814.7
Medium,HadGEM2-ES,rcp85,Growth,Growth,Atmosphere,1197253,1197253,1197253
Medium,HadGEM2-ES,rcp85,Harvest,Harvest,Living Biomass,33019.4,33019.4,33019.4
Medium,HadGEM2-ES,rcp85,Harvest (grain),Harvest,Living Biomass,77829.7,77829.7,77829.7
Medium,HadGEM2-ES,rcp85,Harvest (straw),Harvest,Living Biomass,46255.8,46255.8,46255.8
Medium,HadGEM2-ES,rcp85,Leaching,Leaching,Soil,18082.7,18082.7,18082.7
Medium,HadGEM2-ES,rcp85,Litterfall,Litterfall,Living Biomass,783550.8,783550.8,783550.8
Medium,HadGEM2-ES,rcp85,Mortality,Mortality,Living Biomass,96577.1,96577.1,96577.1
Medium,HadGEM2-ES,rcp85,Mortality (insects high),Mortality,Living Biomass,58548,58548,58548
Medium,HadGEM2-ES,rcp85,Mortality (insects low),Mortality,Living Biomass,30757.2,30757.2,30757.2
Medium,HadGEM2-ES,rcp85,Mortality (insects medium),Mortality,Living Biomass,12667,12667,12667
Medium,MIROC5,rcp45,Deadfall,Deadfall,Standing Dead,155927.2,155927.2,155927.2
Medium,MIROC5,rcp45,Decay,Decay,Down Dead,154282.7,154282.7,154282.7
Medium,MIROC5,rcp45,Decomposition,Decomposition,Litter,470804.3,470804.3,470804.3
Medium,MIROC5,rcp45,Emission,Emission,Living Biomass,66661.4,66661.4,66661.4
Medium,MIROC5,rcp45,Emission (biomass),Emission,Living Biomass,61006.4,61006.4,61006.4
Medium,MIROC5,rcp45,Emission (litter),Emission,Litter,443508.3,443508.3,443508.3
Medium,MIROC5,rcp45,Emission (soil),Emission,Soil,476900.8,476900.8,476900.8
Medium,MIROC5,rcp45,Growth,Growth,Atmosphere,1154991.2,1154991.2,1154991.2
Medium,MIROC5,rcp45,Harvest,Harvest,Living Biomass,33146.8,33146.8,33146.8
Medium,MIROC5,rcp45,Harvest (grain),Harvest,Living Biomass,75314.1,75314.1,75314.1
Medium,MIROC5,rcp45,Harvest (straw),Harvest,Living Biomass,44185.7,44185.7,44185.7
Medium,MIROC5,rcp45,Leaching,Leaching,Soil,18961.1,18961.1,18961.1
Medium,MIROC5,rcp45,Litterfall,Litterfall,Living Biomass,769569,769569,769569
Medium,MIROC5,rcp45,Mortality,Mortality,Living Biomass,99970.5,99970.5,99970.5
Medium,MIROC5,rcp45,Mortality (insects high),Mortality,Living Biomass,57436.6,57436.6,57436.6
Medium,MIROC5,rcp45,Mortality (insects low),Mortality,Living Biomass,32345,32345,32345
Medium,MIROC5,rcp45,Mortality (insects medium),Mortality,Living Biomass,12437.6,12437.6,12437.6
Medium,MIROC5,rcp85,Deadfall,Deadfall,Standing Dead,167961.4,167961.4,167961.4
Medium,MIROC5,rcp85,Decay,Decay,Down Dead,169356.5,169356.5,169356.5
Medium,MIROC5,rcp85,Decomposition,Decomposition,Litter,473489.9,473489.9,473489.9
Medium,MIROC5,rcp85,Emission,Emission,Living Biomass,60488.7,60488.7,60488.7
Medium,MIROC5,rcp85,Emission (biomass),Emission,Living Biomass,55032,55032,55032
Medium,MIROC5,rcp85,Emission (litter),Emission,Litter,455472.7,455472.7,455472.7
Medium,MIROC5,rcp85,Emission (soil),Emission,Soil,489454.2,489454.2,489454.2
Medium,MIROC5,rcp85,Growth,Growth,Atmosphere,1150695.5,1150695.5,1150695.5
Medium,MIROC5,rcp85,Harvest,Harvest,Living Biomass,31260.8,31260.8,31260.8
Medium,MIROC5,rcp85,Harvest (grain),Harvest,Living Biomass,75012.3,75012.3,75012.3
Medium,MIROC5,rcp85,Harvest (straw),Harvest,Living Biomass,43922.4,43922.4,43922.4
Medium,MIROC5,rcp85,Leaching,Leaching,Soil,18803.4,18803.4,18803.4
Medium,MIROC5,rcp85,Litterfall,Litterfall,Living Biomass,762442.9,762442.9,762442.9
Medium,MIROC5,rcp85,Mortality,Mortality,Living Biomass,91241.6,91241.6,91241.6
Medium,MIROC5,rcp85,Mortality (insects high),Mortality,Living Biomass,67994.5,67994.5,67994.5
Medium,MIROC5,rcp85,Mortality (insects low),Mortality,Living Biomass,29637.4,29637.4,29637.4
Medium,MIROC5,rcp85,Mortality (insects medium),Mortality,Living Biomass,14351.9,14351.9,14351.9
