Timestep,EcoregionID,EcoregionName,Ecosystem,Mean,Lower,Upper
2005,8,SoCal Mtns.,Yes,223.8,223.6,224
2005,9,East Cascades,No,0.1,0,0.1
2005,9,East Cascades,Yes,349.7,349.5,349.9
2005,13,Central B&R,No,0,0,0
2005,13,Central B&R,Yes,135.3,135.3,135.4
2005,14,Mojave B&R,No,0.1,0.1,0.1
2005,14,Mojave B&R,Yes,220.2,220.1,220.3
2005,78,Klamath Mtns.,No,0,0,0.1
2005,78,Klamath Mtns.,Yes,893,892.4,893.5
2005,80,Northern B&R,No,0,0,0.1
2005,80,Northern B&R,Yes,56.3,56.2,56.4
2005,81,Sonoran B&R,No,0.2,0.1,0.3
2005,81,Sonoran B&R,Yes,86.7,86.4,86.8
2006,1,Coast Range,No,0.1,0.1,0.2
2006,1,Coast Range,Yes,422.5,422,423
2006,4,Cascades,No,0,0,0.1
2006,4,Cascades,Yes,39.1,39,39.3
2006,5,Sierra Nevada,No,0.2,0.1,0.2
2006,5,Sierra Nevada,Yes,906.2,905.7,906.6
2006,6,Oak Woodlands,No,3.5,3.2,3.8
2006,6,Oak Woodlands,Yes,1150.5,1149.9,1151.2
2006,7,Central Valley,No,1.8,1.5,2.1
2006,7,Central Valley,Yes,355.3,354.8,355.7
2006,8,SoCal Mtns.,No,0.2,0.1,0.2
2006,8,SoCal Mtns.,Yes,222.4,222.2,222.6
2006,9,East Cascades,No,0.1,0,0.1
2006,9,East Cascades,Yes,349.7,349.4,349.9
2006,13,Central B&R,No,0,0,0
2006,13,Central B&R,Yes,135.5,135.5,135.6
2006,14,Mojave B&R,No,0.1,0.1,0.2
2006,14,Mojave B&R,Yes,217.6,217.5,217.6
2006,78,Klamath Mtns.,No,0,0,0.1
2006,78,Klamath Mtns.,Yes,893.4,892.7,894
2006,80,Northern B&R,No,0,0,0.1
2006,80,Northern B&R,Yes,56.3,56.2,56.4
2006,81,Sonoran B&R,No,0.2,0.1,0.4
2006,81,Sonoran B&R,Yes,85.3,85,85.4
2007,1,Coast Range,No,0.1,0.1,0.2
2007,1,Coast Range,Yes,420.5,419.9,421.1
2007,4,Cascades,No,0,0,0.1
2007,4,Cascades,Yes,39,38.8,39.1
2007,5,Sierra Nevada,No,0.2,0.1,0.2
2007,5,Sierra Nevada,Yes,899.6,899.2,900.1
2007,6,Oak Woodlands,No,3.9,3.6,4.3
2007,6,Oak Woodlands,Yes,1132.3,1131.6,1133
2007,7,Central Valley,No,2.1,1.8,2.5
2007,7,Central Valley,Yes,346.5,346,347
2007,8,SoCal Mtns.,No,0.2,0.1,0.3
2007,8,SoCal Mtns.,Yes,216.6,216.3,216.8
2007,9,East Cascades,No,0.1,0,0.2
2007,9,East Cascades,Yes,348.1,347.9,348.4
2007,13,Central B&R,No,0,0,0
2007,13,Central B&R,Yes,134.9,134.8,134.9
2007,14,Mojave B&R,No,0.2,0.1,0.2
2007,14,Mojave B&R,Yes,214.7,214.6,214.8
2007,78,Klamath Mtns.,No,0,0,0.1
2007,78,Klamath Mtns.,Yes,890.2,889.4,890.9
2007,80,Northern B&R,No,0,0,0.1
2007,80,Northern B&R,Yes,56,55.9,56.1
2007,81,Sonoran B&R,No,0.3,0.1,0.4
2007,81,Sonoran B&R,Yes,84.5,84.2,84.7
2008,1,Coast Range,No,0.1,0.1,0.2
2008,1,Coast Range,Yes,418.5,417.8,419.1
2008,4,Cascades,No,0,0,0.1
2008,4,Cascades,Yes,38.7,38.5,38.9
2008,5,Sierra Nevada,No,0.2,0.1,0.3
2008,5,Sierra Nevada,Yes,895.2,894.6,895.7
2008,6,Oak Woodlands,No,4.3,4,4.7
2008,6,Oak Woodlands,Yes,1125.1,1124.4,1125.9
2008,7,Central Valley,No,2.5,2.1,2.9
2008,7,Central Valley,Yes,344.1,343.6,344.6
2008,8,SoCal Mtns.,No,0.2,0.2,0.3
2008,8,SoCal Mtns.,Yes,216.8,216.6,217.1
2008,9,East Cascades,No,0.1,0,0.2
2008,9,East Cascades,Yes,346.2,345.9,346.4
2008,13,Central B&R,No,0,0,0
2008,13,Central B&R,Yes,134.9,134.9,135
2008,14,Mojave B&R,No,0.2,0.1,0.2
2008,14,Mojave B&R,Yes,214.1,214.1,214.2
2008,78,Klamath Mtns.,No,0,0,0.1
2008,78,Klamath Mtns.,Yes,879.2,878.3,880
2008,80,Northern B&R,No,0,0,0.1
2008,80,Northern B&R,Yes,55.7,55.6,55.8
2008,81,Sonoran B&R,No,0.3,0.2,0.5
2008,81,Sonoran B&R,Yes,84.7,84.4,84.9
2009,1,Coast Range,No,0.1,0.1,0.2
2009,1,Coast Range,Yes,417,416.3,417.7
2009,4,Cascades,No,0,0,0.1
2009,4,Cascades,Yes,38.6,38.5,38.8
2009,5,Sierra Nevada,No,0.2,0.1,0.3
2009,5,Sierra Nevada,Yes,894.1,893.5,894.6
2009,6,Oak Woodlands,No,4.6,4.3,5
2009,6,Oak Woodlands,Yes,1119.9,1119.1,1120.8
2009,7,Central Valley,No,2.7,2.4,3.2
2009,7,Central Valley,Yes,343.5,342.8,344.1
2009,8,SoCal Mtns.,No,0.2,0.2,0.3
2009,8,SoCal Mtns.,Yes,213.8,213.5,214.1
2009,9,East Cascades,No,0.1,0,0.2
2009,9,East Cascades,Yes,344.8,344.4,345.1
2009,13,Central B&R,No,0,0,0
2009,13,Central B&R,Yes,134.9,134.8,135
2009,14,Mojave B&R,No,0.2,0.2,0.2
2009,14,Mojave B&R,Yes,211.5,211.4,211.6
2009,78,Klamath Mtns.,No,0,0,0.1
2009,78,Klamath Mtns.,Yes,876,875,876.9
2009,80,Northern B&R,No,0,0,0.1
2009,80,Northern B&R,Yes,55.7,55.6,55.8
2009,81,Sonoran B&R,No,0.3,0.2,0.5
2009,81,Sonoran B&R,Yes,83.7,83.4,83.9
2010,1,Coast Range,No,0.2,0.1,0.2
2010,1,Coast Range,Yes,419.2,418.4,419.9
2010,4,Cascades,No,0,0,0.1
2010,4,Cascades,Yes,38.8,38.6,39
2010,5,Sierra Nevada,No,0.2,0.1,0.3
2010,5,Sierra Nevada,Yes,898.2,897.6,898.8
2010,6,Oak Woodlands,No,4.9,4.6,5.3
2010,6,Oak Woodlands,Yes,1141.1,1140.2,1142
2010,7,Central Valley,No,3,2.6,3.5
2010,7,Central Valley,Yes,357.9,357,358.7
2010,8,SoCal Mtns.,No,0.3,0.2,0.3
2010,8,SoCal Mtns.,Yes,218.2,217.9,218.5
2010,9,East Cascades,No,0.1,0,0.2
2010,9,East Cascades,Yes,346,345.7,346.3
2010,13,Central B&R,No,0,0,0
2010,13,Central B&R,Yes,136.1,136.1,136.2
2010,14,Mojave B&R,No,0.2,0.2,0.2
2010,14,Mojave B&R,Yes,216.4,216.3,216.5
2010,78,Klamath Mtns.,No,0,0,0.1
2010,78,Klamath Mtns.,Yes,879.8,878.9,880.8
2010,80,Northern B&R,No,0,0,0.1
2010,80,Northern B&R,Yes,55.9,55.8,56
2010,81,Sonoran B&R,No,0.3,0.2,0.5
2010,81,Sonoran B&R,Yes,85.2,84.9,85.4
2011,1,Coast Range,No,0.2,0.1,0.2
2011,1,Coast Range,Yes,419.3,418.4,420
2011,4,Cascades,No,0,0,0.1
2011,4,Cascades,Yes,38.8,38.6,39
2011,5,Sierra Nevada,No,0.2,0.1,0.3
2011,5,Sierra Nevada,Yes,898.1,897.5,898.8
2011,6,Oak Woodlands,No,5.2,4.8,5.5
2011,6,Oak Woodlands,Yes,1140.5,1139.6,1141.4
2011,7,Central Valley,No,3.2,2.8,3.7
2011,7,Central Valley,Yes,357.4,356.4,358.4
2011,8,SoCal Mtns.,No,0.3,0.2,0.3
2011,8,SoCal Mtns.,Yes,217.9,217.6,218.2
2011,9,East Cascades,No,0.1,0,0.2
2011,9,East Cascades,Yes,345.5,345.2,345.9
2011,13,Central B&R,No,0,0,0
2011,13,Central B&R,Yes,135.8,135.7,135.8
2011,14,Mojave B&R,No,0.2,0.2,0.3
2011,14,Mojave B&R,Yes,214.9,214.8,215
2011,78,Klamath Mtns.,No,0,0,0.1
2011,78,Klamath Mtns.,Yes,879.6,878.5,880.6
2011,80,Northern B&R,No,0,0,0.1
2011,80,Northern B&R,Yes,55.9,55.8,56
2011,81,Sonoran B&R,No,0.3,0.2,0.6
2011,81,Sonoran B&R,Yes,84.8,84.4,85
2012,1,Coast Range,No,0.2,0.1,0.2
2012,1,Coast Range,Yes,421,420.1,421.8
2012,4,Cascades,No,0,0,0.1
2012,4,Cascades,Yes,38.9,38.7,39.1
2012,5,Sierra Nevada,No,0.2,0.1,0.3
2012,5,Sierra Nevada,Yes,897.4,896.8,898.1
2012,6,Oak Woodlands,No,5.4,5,5.8
2012,6,Oak Woodlands,Yes,1137.5,1136.6,1138.4
2012,7,Central Valley,No,3.4,3,3.9
2012,7,Central Valley,Yes,357.3,356.1,358.4
2012,8,SoCal Mtns.,No,0.3,0.2,0.3
2012,8,SoCal Mtns.,Yes,215.5,215.2,215.9
2012,9,East Cascades,No,0.1,0.1,0.3
2012,9,East Cascades,Yes,345.7,345.3,346
2012,13,Central B&R,No,0,0,0
