GCM,RCP,Year,Mean,Mean5,Mean10,Variable
Historical,rcp45,1981,15.01244021902874,NA,NA,Mean Annual Temperature
Historical,rcp45,1982,13.313490434348346,NA,NA,Mean Annual Temperature
Historical,rcp45,1983,13.930747968666756,14.106140143758916,NA,Mean Annual Temperature
Historical,rcp45,1984,14.365584323495574,14.04996477441264,NA,Mean Annual Temperature
Historical,rcp45,1985,13.908437773255157,14.270777114463337,14.314547709435365,Mean Annual Temperature
Historical,rcp45,1986,14.731563372297362,14.435700466197286,14.254950252197162,Mean Annual Temperature
Historical,rcp45,1987,14.417552134601825,14.444548175715136,14.427129687822688,Mean Annual Temperature
Historical,rcp45,1988,14.75536472733651,14.522955275111817,14.447481628538904,Mean Annual Temperature
Historical,rcp45,1989,14.409822871084815,14.459935729981686,14.445348174513091,Mean Annual Temperature
Historical,rcp45,1990,14.300473270238573,14.583482261182045,14.54239878545269,Mean Annual Temperature
Historical,rcp45,1991,14.416465646646708,14.459262790880526,14.595941911658613,Mean Annual Temperature
Historical,rcp45,1992,15.035284790603606,14.446148173311053,14.650742552464578,Mean Annual Temperature
Historical,rcp45,1993,14.134267375828927,14.561842295793564,14.53742044043319,Mean Annual Temperature
Historical,rcp45,1994,14.344249783237439,14.731948093335543,14.53540993940353,Mean Annual Temperature
Historical,rcp45,1995,14.878943882651145,14.718002843747115,14.584627512566431,Mean Annual Temperature
Historical,rcp45,1996,15.266994634356594,14.615578089985856,14.637635045429679,Mean Annual Temperature
Historical,rcp45,1997,14.965558542661471,14.624671705496016,14.617944643413168,Mean Annual Temperature
Historical,rcp45,1998,13.622143607022627,14.607412729339297,14.720184291602754,Mean Annual Temperature
Historical,rcp45,1999,14.389717860788231,14.543321997523819,14.772134054355408,Mean Annual Temperature
Historical,rcp45,2000,14.792649001867552,14.517886443079224,14.756377281718319,Mean Annual Temperature
Historical,rcp45,2001,14.946540975279206,14.824790493219655,14.703830154159911,Mean Annual Temperature
Historical,rcp45,2002,14.83838077043849,14.919596403214802,14.695919677791471,Mean Annual Temperature
Historical,rcp45,2003,15.156663857724782,14.905341834097346,14.824007538584997,Mean Annual Temperature
Historical,rcp45,2004,14.863747410763981,14.86433831079601,14.867348835771384,Mean Annual Temperature
Historical,rcp45,2005,14.72137615628026,14.873952912503725,14.806820083989077,Mean Annual Temperature
Historical,rcp45,2006,14.741523358772525,14.82322458395034,14.716433484646174,Mean Annual Temperature
Historical,rcp45,2007,14.886453778977069,14.815101268327968,14.752440863458755,Mean Annual Temperature
Historical,rcp45,2008,14.903022214957861,14.708298333880816,14.741406339940344,Mean Annual Temperature
Historical,rcp45,2009,14.823130832652112,14.568528658496342,14.8804627547681,Mean Annual Temperature
Historical,rcp45,2010,14.187361484044505,14.630928814413792,14.987339881824516,Mean Annual Temperature
Historical,rcp45,2011,14.042674981850162,14.65958809593035,15.014431567850139,Mean Annual Temperature
Historical,rcp45,2012,15.198454558564315,14.94582424120824,14.857135233387265,Mean Annual Temperature
Historical,rcp45,2013,15.046318622540639,15.26638142976822,14.759907808758154,Mean Annual Temperature
Historical,rcp45,2014,16.25431155904158,15.460334477203935,14.7141531578425,Mean Annual Temperature
Historical,rcp45,2015,15.790147426844399,15.08334165236074,14.686260786763565,Mean Annual Temperature
Historical,rcp85,1981,15.01244021902874,14.860227521585966,14.755149625808286,Mean Annual Temperature
Historical,rcp85,1982,13.313490434348346,14.482482074476764,14.677059383412038,Mean Annual Temperature
Historical,rcp85,1983,13.930747968666756,14.106140143758916,14.647963993891626,Mean Annual Temperature
Historical,rcp85,1984,14.365584323495574,14.04996477441264,14.463515125095947,Mean Annual Temperature
Historical,rcp85,1985,13.908437773255157,14.270777114463337,14.314547709435365,Mean Annual Temperature
Historical,rcp85,1986,14.731563372297362,14.435700466197286,14.254950252197162,Mean Annual Temperature
Historical,rcp85,1987,14.417552134601825,14.444548175715136,14.427129687822688,Mean Annual Temperature
Historical,rcp85,1988,14.75536472733651,14.522955275111817,14.447481628538904,Mean Annual Temperature
Historical,rcp85,1989,14.409822871084815,14.459935729981686,14.445348174513091,Mean Annual Temperature
Historical,rcp85,1990,14.300473270238573,14.583482261182045,14.54239878545269,Mean Annual Temperature
Historical,rcp85,1991,14.416465646646708,14.459262790880526,14.595941911658613,Mean Annual Temperature
Historical,rcp85,1992,15.035284790603606,14.446148173311053,14.650742552464578,Mean Annual Temperature
Historical,rcp85,1993,14.134267375828927,14.561842295793564,14.53742044043319,Mean Annual Temperature
Historical,rcp85,1994,14.344249783237439,14.731948093335543,14.53540993940353,Mean Annual Temperature
Historical,rcp85,1995,14.878943882651145,14.718002843747115,14.584627512566431,Mean Annual Temperature
Historical,rcp85,1996,15.266994634356594,14.615578089985856,14.637635045429679,Mean Annual Temperature
Historical,rcp85,1997,14.965558542661471,14.624671705496016,14.617944643413168,Mean Annual Temperature
Historical,rcp85,1998,13.622143607022627,14.607412729339297,14.720184291602754,Mean Annual Temperature
Historical,rcp85,1999,14.389717860788231,14.543321997523819,14.772134054355408,Mean Annual Temperature
Historical,rcp85,2000,14.792649001867552,14.517886443079224,14.756377281718319,Mean Annual Temperature
Historical,rcp85,2001,14.946540975279206,14.824790493219655,14.703830154159911,Mean Annual Temperature
Historical,rcp85,2002,14.83838077043849,14.919596403214802,14.695919677791471,Mean Annual Temperature
Historical,rcp85,2003,15.156663857724782,14.905341834097346,14.824007538584997,Mean Annual Temperature
Historical,rcp85,2004,14.863747410763981,14.86433831079601,14.867348835771384,Mean Annual Temperature
Historical,rcp85,2005,14.72137615628026,14.873952912503725,14.806820083989077,Mean Annual Temperature
Historical,rcp85,2006,14.741523358772525,14.82322458395034,14.716433484646174,Mean Annual Temperature
Historical,rcp85,2007,14.886453778977069,14.815101268327968,14.752440863458755,Mean Annual Temperature
Historical,rcp85,2008,14.903022214957861,14.708298333880816,14.741406339940344,Mean Annual Temperature
Historical,rcp85,2009,14.823130832652112,14.568528658496342,14.8804627547681,Mean Annual Temperature
Historical,rcp85,2010,14.187361484044505,14.630928814413792,14.987339881824516,Mean Annual Temperature
Historical,rcp85,2011,14.042674981850162,14.65958809593035,NA,Mean Annual Temperature
Historical,rcp85,2012,15.198454558564315,14.94582424120824,NA,Mean Annual Temperature
Historical,rcp85,2013,15.046318622540639,15.26638142976822,NA,Mean Annual Temperature
Historical,rcp85,2014,16.25431155904158,NA,NA,Mean Annual Temperature
Historical,rcp85,2015,15.790147426844399,NA,NA,Mean Annual Temperature
