Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],135.6623384,Normal,Iteration and Timestep,67.83116918
2080,DROUGHT: High Severity [Type],34.09517561,Normal,Iteration and Timestep,17.04758781
2081,DROUGHT: High Severity [Type],65.45913758,Normal,Iteration and Timestep,32.72956879
2082,DROUGHT: High Severity [Type],107.1766435,Normal,Iteration and Timestep,53.58832175
2083,DROUGHT: High Severity [Type],185.3773701,Normal,Iteration and Timestep,92.68868504
2084,DROUGHT: High Severity [Type],447.0418449,Normal,Iteration and Timestep,223.5209224
2085,DROUGHT: High Severity [Type],681.637852,Normal,Iteration and Timestep,340.818926
2086,DROUGHT: High Severity [Type],1199.437575,Normal,Iteration and Timestep,599.7187876
2087,DROUGHT: High Severity [Type],330.7778753,Normal,Iteration and Timestep,165.3889377
2088,DROUGHT: High Severity [Type],692.9190189,Normal,Iteration and Timestep,346.4595095
2089,DROUGHT: High Severity [Type],211.5729147,Normal,Iteration and Timestep,105.7864573
2090,DROUGHT: High Severity [Type],356.6135563,Normal,Iteration and Timestep,178.3067782
2091,DROUGHT: High Severity [Type],101.6906904,Normal,Iteration and Timestep,50.84534522
2092,DROUGHT: High Severity [Type],196.0401166,Normal,Iteration and Timestep,98.02005831
2093,DROUGHT: High Severity [Type],125.3862291,Normal,Iteration and Timestep,62.69311457
2094,DROUGHT: High Severity [Type],269.5127727,Normal,Iteration and Timestep,134.7563863
2095,DROUGHT: High Severity [Type],301.6391249,Normal,Iteration and Timestep,150.8195625
2096,DROUGHT: High Severity [Type],667.965954,Normal,Iteration and Timestep,333.982977
2097,DROUGHT: High Severity [Type],310.418811,Normal,Iteration and Timestep,155.2094055
2098,DROUGHT: High Severity [Type],165.1305921,Normal,Iteration and Timestep,82.56529603
2099,DROUGHT: High Severity [Type],77.5916548,Normal,Iteration and Timestep,38.7958274
2100,DROUGHT: High Severity [Type],13.09377972,Normal,Iteration and Timestep,6.54688986
2017,DROUGHT: Medium Severity [Type],107.0173723,Normal,Iteration and Timestep,53.50868613
2018,DROUGHT: Medium Severity [Type],30.49526713,Normal,Iteration and Timestep,15.24763356
2019,DROUGHT: Medium Severity [Type],53.48801791,Normal,Iteration and Timestep,26.74400895
2020,DROUGHT: Medium Severity [Type],178.3466073,Normal,Iteration and Timestep,89.17330366
2021,DROUGHT: Medium Severity [Type],327.1304261,Normal,Iteration and Timestep,163.565213
2022,DROUGHT: Medium Severity [Type],942.4606922,Normal,Iteration and Timestep,471.2303461
2023,DROUGHT: Medium Severity [Type],1969.635133,Normal,Iteration and Timestep,984.8175665
2024,DROUGHT: Medium Severity [Type],343.5550956,Normal,Iteration and Timestep,171.7775478
2025,DROUGHT: Medium Severity [Type],85.36065006,Normal,Iteration and Timestep,42.68032503
2026,DROUGHT: Medium Severity [Type],109.0022812,Normal,Iteration and Timestep,54.50114059
2027,DROUGHT: Medium Severity [Type],28.74301689,Normal,Iteration and Timestep,14.37150844
2028,DROUGHT: Medium Severity [Type],120.6123584,Normal,Iteration and Timestep,60.3061792
2029,DROUGHT: Medium Severity [Type],393.2701367,Normal,Iteration and Timestep,196.6350683
2030,DROUGHT: Medium Severity [Type],379.7820342,Normal,Iteration and Timestep,189.8910171
2031,DROUGHT: Medium Severity [Type],337.8979951,Normal,Iteration and Timestep,168.9489975
2032,DROUGHT: Medium Severity [Type],607.1213537,Normal,Iteration and Timestep,303.5606768
2033,DROUGHT: Medium Severity [Type],216.7924851,Normal,Iteration and Timestep,108.3962425
2034,DROUGHT: Medium Severity [Type],327.6754249,Normal,Iteration and Timestep,163.8377124
2035,DROUGHT: Medium Severity [Type],241.3419341,Normal,Iteration and Timestep,120.6709671
2036,DROUGHT: Medium Severity [Type],55.93774208,Normal,Iteration and Timestep,27.96887104
2037,DROUGHT: Medium Severity [Type],65.83867394,Normal,Iteration and Timestep,32.91933697
2038,DROUGHT: Medium Severity [Type],46.10892261,Normal,Iteration and Timestep,23.05446131
2039,DROUGHT: Medium Severity [Type],41.63614917,Normal,Iteration and Timestep,20.81807459
2040,DROUGHT: Medium Severity [Type],24.0686727,Normal,Iteration and Timestep,12.03433635
2041,DROUGHT: Medium Severity [Type],33.63211865,Normal,Iteration and Timestep,16.81605932
2042,DROUGHT: Medium Severity [Type],27.46106849,Normal,Iteration and Timestep,13.73053425
2043,DROUGHT: Medium Severity [Type],218.5574808,Normal,Iteration and Timestep,109.2787404
2044,DROUGHT: Medium Severity [Type],175.1985573,Normal,Iteration and Timestep,87.59927864
2045,DROUGHT: Medium Severity [Type],136.0475732,Normal,Iteration and Timestep,68.02378659
2046,DROUGHT: Medium Severity [Type],296.2691023,Normal,Iteration and Timestep,148.1345512
2047,DROUGHT: Medium Severity [Type],477.795608,Normal,Iteration and Timestep,238.897804
2048,DROUGHT: Medium Severity [Type],54.31778324,Normal,Iteration and Timestep,27.15889162
2049,DROUGHT: Medium Severity [Type],104.5968435,Normal,Iteration and Timestep,52.29842175
2050,DROUGHT: Medium Severity [Type],121.7735696,Normal,Iteration and Timestep,60.88678482
2051,DROUGHT: Medium Severity [Type],137.2823875,Normal,Iteration and Timestep,68.64119377
