Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],196.7382762,Normal,Iteration and Timestep,98.36913812
2080,DROUGHT: High Severity [Type],256.268917,Normal,Iteration and Timestep,128.1344585
2081,DROUGHT: High Severity [Type],103.1163685,Normal,Iteration and Timestep,51.55818427
2082,DROUGHT: High Severity [Type],412.5522897,Normal,Iteration and Timestep,206.2761448
2083,DROUGHT: High Severity [Type],337.0789854,Normal,Iteration and Timestep,168.5394927
2084,DROUGHT: High Severity [Type],213.1143286,Normal,Iteration and Timestep,106.5571643
2085,DROUGHT: High Severity [Type],133.4062321,Normal,Iteration and Timestep,66.70311603
2086,DROUGHT: High Severity [Type],341.6179266,Normal,Iteration and Timestep,170.8089633
2087,DROUGHT: High Severity [Type],651.4506602,Normal,Iteration and Timestep,325.7253301
2088,DROUGHT: High Severity [Type],125.9454042,Normal,Iteration and Timestep,62.9727021
2089,DROUGHT: High Severity [Type],338.5300325,Normal,Iteration and Timestep,169.2650162
2090,DROUGHT: High Severity [Type],495.026923,Normal,Iteration and Timestep,247.5134615
2091,DROUGHT: High Severity [Type],280.5251542,Normal,Iteration and Timestep,140.2625771
2092,DROUGHT: High Severity [Type],196.3000276,Normal,Iteration and Timestep,98.15001382
2093,DROUGHT: High Severity [Type],1981.069509,Normal,Iteration and Timestep,990.5347546
2094,DROUGHT: High Severity [Type],3708.386405,Normal,Iteration and Timestep,1854.193203
2095,DROUGHT: High Severity [Type],1387.658301,Normal,Iteration and Timestep,693.8291504
2096,DROUGHT: High Severity [Type],505.7537389,Normal,Iteration and Timestep,252.8768694
2097,DROUGHT: High Severity [Type],401.168216,Normal,Iteration and Timestep,200.584108
2098,DROUGHT: High Severity [Type],149.366048,Normal,Iteration and Timestep,74.683024
2099,DROUGHT: High Severity [Type],52.3421884,Normal,Iteration and Timestep,26.1710942
2100,DROUGHT: High Severity [Type],276.0611934,Normal,Iteration and Timestep,138.0305967
2017,DROUGHT: Medium Severity [Type],1011.405294,Normal,Iteration and Timestep,505.7026468
2018,DROUGHT: Medium Severity [Type],305.9075119,Normal,Iteration and Timestep,152.9537559
2019,DROUGHT: Medium Severity [Type],634.468938,Normal,Iteration and Timestep,317.234469
2020,DROUGHT: Medium Severity [Type],403.5998715,Normal,Iteration and Timestep,201.7999358
2021,DROUGHT: Medium Severity [Type],274.5961838,Normal,Iteration and Timestep,137.2980919
2022,DROUGHT: Medium Severity [Type],478.4605609,Normal,Iteration and Timestep,239.2302804
2023,DROUGHT: Medium Severity [Type],2094.099537,Normal,Iteration and Timestep,1047.049768
2024,DROUGHT: Medium Severity [Type],471.5522495,Normal,Iteration and Timestep,235.7761247
2025,DROUGHT: Medium Severity [Type],610.98947,Normal,Iteration and Timestep,305.494735
2026,DROUGHT: Medium Severity [Type],245.4910975,Normal,Iteration and Timestep,122.7455487
2027,DROUGHT: Medium Severity [Type],71.95532398,Normal,Iteration and Timestep,35.97766199
2028,DROUGHT: Medium Severity [Type],88.47008551,Normal,Iteration and Timestep,44.23504276
2029,DROUGHT: Medium Severity [Type],419.821111,Normal,Iteration and Timestep,209.9105555
2030,DROUGHT: Medium Severity [Type],189.4920894,Normal,Iteration and Timestep,94.74604471
2031,DROUGHT: Medium Severity [Type],425.351347,Normal,Iteration and Timestep,212.6756735
2032,DROUGHT: Medium Severity [Type],565.218099,Normal,Iteration and Timestep,282.6090495
2033,DROUGHT: Medium Severity [Type],372.1838156,Normal,Iteration and Timestep,186.0919078
2034,DROUGHT: Medium Severity [Type],96.77261157,Normal,Iteration and Timestep,48.38630578
2035,DROUGHT: Medium Severity [Type],160.1405537,Normal,Iteration and Timestep,80.07027683
2036,DROUGHT: Medium Severity [Type],29.75862549,Normal,Iteration and Timestep,14.87931275
2037,DROUGHT: Medium Severity [Type],12.23155848,Normal,Iteration and Timestep,6.115779238
2038,DROUGHT: Medium Severity [Type],30.00537761,Normal,Iteration and Timestep,15.0026888
2039,DROUGHT: Medium Severity [Type],49.9725609,Normal,Iteration and Timestep,24.98628045
2040,DROUGHT: Medium Severity [Type],48.25598586,Normal,Iteration and Timestep,24.12799293
2041,DROUGHT: Medium Severity [Type],144.0967693,Normal,Iteration and Timestep,72.04838465
2042,DROUGHT: Medium Severity [Type],1346.812528,Normal,Iteration and Timestep,673.4062641
2043,DROUGHT: Medium Severity [Type],893.1147818,Normal,Iteration and Timestep,446.5573909
2044,DROUGHT: Medium Severity [Type],1686.537892,Normal,Iteration and Timestep,843.2689459
2045,DROUGHT: Medium Severity [Type],278.9166765,Normal,Iteration and Timestep,139.4583383
2046,DROUGHT: Medium Severity [Type],74.65687018,Normal,Iteration and Timestep,37.32843509
2047,DROUGHT: Medium Severity [Type],21.71408028,Normal,Iteration and Timestep,10.85704014
2048,DROUGHT: Medium Severity [Type],21.64523488,Normal,Iteration and Timestep,10.82261744
2049,DROUGHT: Medium Severity [Type],18.77490888,Normal,Iteration and Timestep,9.387454438
2050,DROUGHT: Medium Severity [Type],23.93385719,Normal,Iteration and Timestep,11.9669286
2051,DROUGHT: Medium Severity [Type],22.30745127,Normal,Iteration and Timestep,11.15372563
2052,DROUGHT: Medium Severity [Type],168.4439176,Normal,Iteration and Timestep,84.22195879
2053,DROUGHT: Medium Severity [Type],393.147568,Normal,Iteration and Timestep,196.573784
2054,DROUGHT: Medium Severity [Type],461.2367368,Normal,Iteration and Timestep,230.6183684
2055,DROUGHT: Medium Severity [Type],605.0514549,Normal,Iteration and Timestep,302.5257274
2056,DROUGHT: Medium Severity [Type],331.3339307,Normal,Iteration and Timestep,165.6669653
2057,DROUGHT: Medium Severity [Type],333.5467738,Normal,Iteration and Timestep,166.7733869
2058,DROUGHT: Medium Severity [Type],229.7417838,Normal,Iteration and Timestep,114.8708919
2059,DROUGHT: Medium Severity [Type],113.5939387,Normal,Iteration and Timestep,56.79696937
2060,DROUGHT: Medium Severity [Type],15.72045716,Normal,Iteration and Timestep,7.860228581
2061,DROUGHT: Medium Severity [Type],34.46837973,Normal,Iteration and Timestep,17.23418986
2062,DROUGHT: Medium Severity [Type],50.84244398,Normal,Iteration and Timestep,25.42122199
2063,DROUGHT: Medium Severity [Type],12.72972576,Normal,Iteration and Timestep,6.364862878
2064,DROUGHT: Medium Severity [Type],25.54784434,Normal,Iteration and Timestep,12.77392217
2065,DROUGHT: Medium Severity [Type],956.2276274,Normal,Iteration and Timestep,478.1138137
2066,DROUGHT: Medium Severity [Type],1084.346369,Normal,Iteration and Timestep,542.1731844
2067,DROUGHT: Medium Severity [Type],618.5320739,Normal,Iteration and Timestep,309.266037
2068,DROUGHT: Medium Severity [Type],3124.819498,Normal,Iteration and Timestep,1562.409749
2069,DROUGHT: Medium Severity [Type],3422.571586,Normal,Iteration and Timestep,1711.285793
2070,DROUGHT: Medium Severity [Type],942.5037072,Normal,Iteration and Timestep,471.2518536
2071,DROUGHT: Medium Severity [Type],799.0439304,Normal,Iteration and Timestep,399.5219652
2072,DROUGHT: Medium Severity [Type],1274.634694,Normal,Iteration and Timestep,637.3173469
2073,DROUGHT: Medium Severity [Type],129.2498224,Normal,Iteration and Timestep,64.62491119
2074,DROUGHT: Medium Severity [Type],152.1232056,Normal,Iteration and Timestep,76.0616028
2075,DROUGHT: Medium Severity [Type],303.4949261,Normal,Iteration and Timestep,151.747463
2076,DROUGHT: Medium Severity [Type],243.2113804,Normal,Iteration and Timestep,121.6056902
2077,DROUGHT: Medium Severity [Type],59.6812427,Normal,Iteration and Timestep,29.84062135
2078,DROUGHT: Medium Severity [Type],64.60026224,Normal,Iteration and Timestep,32.30013112
2079,DROUGHT: Medium Severity [Type],115.157568,Normal,Iteration and Timestep,57.57878398
2080,DROUGHT: Medium Severity [Type],144.9838507,Normal,Iteration and Timestep,72.49192537
2081,DROUGHT: Medium Severity [Type],63.74828932,Normal,Iteration and Timestep,31.87414466
2082,DROUGHT: Medium Severity [Type],231.3215376,Normal,Iteration and Timestep,115.6607688
2083,DROUGHT: Medium Severity [Type],193.7895502,Normal,Iteration and Timestep,96.89477512
2084,DROUGHT: Medium Severity [Type],126.3813666,Normal,Iteration and Timestep,63.1906833
2085,DROUGHT: Medium Severity [Type],84.2767328,Normal,Iteration and Timestep,42.1383664
2086,DROUGHT: Medium Severity [Type],195.3846717,Normal,Iteration and Timestep,97.69233586
2087,DROUGHT: Medium Severity [Type],352.5474667,Normal,Iteration and Timestep,176.2737334
2088,DROUGHT: Medium Severity [Type],74.37848809,Normal,Iteration and Timestep,37.18924405
2089,DROUGHT: Medium Severity [Type],200.359376,Normal,Iteration and Timestep,100.179688
2090,DROUGHT: Medium Severity [Type],286.6709988,Normal,Iteration and Timestep,143.3354994
2091,DROUGHT: Medium Severity [Type],175.7566943,Normal,Iteration and Timestep,87.87834714
2092,DROUGHT: Medium Severity [Type],130.009198,Normal,Iteration and Timestep,65.00459898
2093,DROUGHT: Medium Severity [Type],1067.401511,Normal,Iteration and Timestep,533.7007554
2094,DROUGHT: Medium Severity [Type],1885.101739,Normal,Iteration and Timestep,942.5508693
2095,DROUGHT: Medium Severity [Type],769.3429463,Normal,Iteration and Timestep,384.6714731
2096,DROUGHT: Medium Severity [Type],301.2392635,Normal,Iteration and Timestep,150.6196318
2097,DROUGHT: Medium Severity [Type],239.1590313,Normal,Iteration and Timestep,119.5795156
2098,DROUGHT: Medium Severity [Type],94.06978395,Normal,Iteration and Timestep,47.03489198
2099,DROUGHT: Medium Severity [Type],37.33124781,Normal,Iteration and Timestep,18.66562391
2100,DROUGHT: Medium Severity [Type],174.5530707,Normal,Iteration and Timestep,87.27653536
2017,DROUGHT: Low Severity [Type],9692.707575,Normal,Iteration and Timestep,4846.353788
2018,DROUGHT: Low Severity [Type],6983.746409,Normal,Iteration and Timestep,3491.873204
2019,DROUGHT: Low Severity [Type],9067.508618,Normal,Iteration and Timestep,4533.754309
2020,DROUGHT: Low Severity [Type],7376.180532,Normal,Iteration and Timestep,3688.090266
2021,DROUGHT: Low Severity [Type],6822.091955,Normal,Iteration and Timestep,3411.045977
2022,DROUGHT: Low Severity [Type],8415.335587,Normal,Iteration and Timestep,4207.667793
2023,DROUGHT: Low Severity [Type],12661.33069,Normal,Iteration and Timestep,6330.665345
2024,DROUGHT: Low Severity [Type],8289.728439,Normal,Iteration and Timestep,4144.86422
2025,DROUGHT: Low Severity [Type],8757.276503,Normal,Iteration and Timestep,4378.638252
2026,DROUGHT: Low Severity [Type],7177.505447,Normal,Iteration and Timestep,3588.752723
2027,DROUGHT: Low Severity [Type],4578.263525,Normal,Iteration and Timestep,2289.131763
2028,DROUGHT: Low Severity [Type],4745.197695,Normal,Iteration and Timestep,2372.598848
2029,DROUGHT: Low Severity [Type],8360.207841,Normal,Iteration and Timestep,4180.103921
2030,DROUGHT: Low Severity [Type],6631.697119,Normal,Iteration and Timestep,3315.84856
