Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2079,DROUGHT: High Severity [Type],330.5884647,Normal,Iteration and Timestep,165.2942323
2080,DROUGHT: High Severity [Type],65.5747783,Normal,Iteration and Timestep,32.78738915
2081,DROUGHT: High Severity [Type],171.3238012,Normal,Iteration and Timestep,85.66190058
2082,DROUGHT: High Severity [Type],25.14886676,Normal,Iteration and Timestep,12.57443338
2083,DROUGHT: High Severity [Type],11.84035769,Normal,Iteration and Timestep,5.920178846
2084,DROUGHT: High Severity [Type],8.126691756,Normal,Iteration and Timestep,4.063345878
2085,DROUGHT: High Severity [Type],10.10546577,Normal,Iteration and Timestep,5.052732886
2086,DROUGHT: High Severity [Type],1.364244922,Normal,Iteration and Timestep,0.682122461
2087,DROUGHT: High Severity [Type],3.203074582,Normal,Iteration and Timestep,1.601537291
2088,DROUGHT: High Severity [Type],33.52496901,Normal,Iteration and Timestep,16.7624845
2089,DROUGHT: High Severity [Type],23.19058831,Normal,Iteration and Timestep,11.59529415
2090,DROUGHT: High Severity [Type],21.61145172,Normal,Iteration and Timestep,10.80572586
2091,DROUGHT: High Severity [Type],51.21475025,Normal,Iteration and Timestep,25.60737513
2092,DROUGHT: High Severity [Type],88.93949792,Normal,Iteration and Timestep,44.46974896
2093,DROUGHT: High Severity [Type],14.2018559,Normal,Iteration and Timestep,7.100927951
2094,DROUGHT: High Severity [Type],326.0013387,Normal,Iteration and Timestep,163.0006694
2095,DROUGHT: High Severity [Type],169.3160525,Normal,Iteration and Timestep,84.65802625
2096,DROUGHT: High Severity [Type],544.3573138,Normal,Iteration and Timestep,272.1786569
2097,DROUGHT: High Severity [Type],404.2705172,Normal,Iteration and Timestep,202.1352586
2098,DROUGHT: High Severity [Type],1715.601444,Normal,Iteration and Timestep,857.8007222
2099,DROUGHT: High Severity [Type],206.7965069,Normal,Iteration and Timestep,103.3982535
2100,DROUGHT: High Severity [Type],181.5045191,Normal,Iteration and Timestep,90.75225953
2017,DROUGHT: Medium Severity [Type],312.7547166,Normal,Iteration and Timestep,156.3773583
2018,DROUGHT: Medium Severity [Type],155.9200465,Normal,Iteration and Timestep,77.96002324
2019,DROUGHT: Medium Severity [Type],162.2466578,Normal,Iteration and Timestep,81.12332889
2020,DROUGHT: Medium Severity [Type],317.7718126,Normal,Iteration and Timestep,158.8859063
2021,DROUGHT: Medium Severity [Type],690.7305193,Normal,Iteration and Timestep,345.3652597
2022,DROUGHT: Medium Severity [Type],1886.120112,Normal,Iteration and Timestep,943.0600558
2023,DROUGHT: Medium Severity [Type],3080.024327,Normal,Iteration and Timestep,1540.012164
2024,DROUGHT: Medium Severity [Type],4265.74374,Normal,Iteration and Timestep,2132.87187
2025,DROUGHT: Medium Severity [Type],1994.073853,Normal,Iteration and Timestep,997.0369265
2026,DROUGHT: Medium Severity [Type],585.0539695,Normal,Iteration and Timestep,292.5269848
2027,DROUGHT: Medium Severity [Type],167.0495581,Normal,Iteration and Timestep,83.52477903
2028,DROUGHT: Medium Severity [Type],143.3600154,Normal,Iteration and Timestep,71.6800077
2029,DROUGHT: Medium Severity [Type],210.2021162,Normal,Iteration and Timestep,105.1010581
2030,DROUGHT: Medium Severity [Type],276.2711344,Normal,Iteration and Timestep,138.1355672
2031,DROUGHT: Medium Severity [Type],270.3347942,Normal,Iteration and Timestep,135.1673971
2032,DROUGHT: Medium Severity [Type],186.6351342,Normal,Iteration and Timestep,93.31756708
2033,DROUGHT: Medium Severity [Type],139.1009305,Normal,Iteration and Timestep,69.55046525
2034,DROUGHT: Medium Severity [Type],117.8157037,Normal,Iteration and Timestep,58.90785187
2035,DROUGHT: Medium Severity [Type],200.1532734,Normal,Iteration and Timestep,100.0766367
2036,DROUGHT: Medium Severity [Type],697.0989277,Normal,Iteration and Timestep,348.5494638
2037,DROUGHT: Medium Severity [Type],5678.949956,Normal,Iteration and Timestep,2839.474978
2038,DROUGHT: Medium Severity [Type],5692.229851,Normal,Iteration and Timestep,2846.114926
2039,DROUGHT: Medium Severity [Type],1430.431978,Normal,Iteration and Timestep,715.2159889
2040,DROUGHT: Medium Severity [Type],1053.90824,Normal,Iteration and Timestep,526.9541198
2041,DROUGHT: Medium Severity [Type],432.4667479,Normal,Iteration and Timestep,216.2333739
2042,DROUGHT: Medium Severity [Type],225.0494149,Normal,Iteration and Timestep,112.5247074
2043,DROUGHT: Medium Severity [Type],605.1933965,Normal,Iteration and Timestep,302.5966983
2044,DROUGHT: Medium Severity [Type],1006.372123,Normal,Iteration and Timestep,503.1860615
2045,DROUGHT: Medium Severity [Type],533.1676158,Normal,Iteration and Timestep,266.5838079
2046,DROUGHT: Medium Severity [Type],420.5343048,Normal,Iteration and Timestep,210.2671524
2047,DROUGHT: Medium Severity [Type],478.3046465,Normal,Iteration and Timestep,239.1523232
2048,DROUGHT: Medium Severity [Type],76.96190691,Normal,Iteration and Timestep,38.48095346
2049,DROUGHT: Medium Severity [Type],42.55507204,Normal,Iteration and Timestep,21.27753602
2050,DROUGHT: Medium Severity [Type],42.9432753,Normal,Iteration and Timestep,21.47163765
2051,DROUGHT: Medium Severity [Type],76.94185314,Normal,Iteration and Timestep,38.47092657
2052,DROUGHT: Medium Severity [Type],84.1683109,Normal,Iteration and Timestep,42.08415545
2053,DROUGHT: Medium Severity [Type],182.1342605,Normal,Iteration and Timestep,91.06713025
2054,DROUGHT: Medium Severity [Type],427.8203436,Normal,Iteration and Timestep,213.9101718
2055,DROUGHT: Medium Severity [Type],449.1298399,Normal,Iteration and Timestep,224.5649199
2056,DROUGHT: Medium Severity [Type],385.9553212,Normal,Iteration and Timestep,192.9776606
2057,DROUGHT: Medium Severity [Type],331.8738254,Normal,Iteration and Timestep,165.9369127
2058,DROUGHT: Medium Severity [Type],83.97203832,Normal,Iteration and Timestep,41.98601916
2059,DROUGHT: Medium Severity [Type],40.34721908,Normal,Iteration and Timestep,20.17360954
2060,DROUGHT: Medium Severity [Type],57.02815555,Normal,Iteration and Timestep,28.51407777
2061,DROUGHT: Medium Severity [Type],10.98353419,Normal,Iteration and Timestep,5.491767097
2062,DROUGHT: Medium Severity [Type],5.176663135,Normal,Iteration and Timestep,2.588331568
2063,DROUGHT: Medium Severity [Type],5.047311623,Normal,Iteration and Timestep,2.523655812
2064,DROUGHT: Medium Severity [Type],2.600965172,Normal,Iteration and Timestep,1.300482586
2065,DROUGHT: Medium Severity [Type],3.766575768,Normal,Iteration and Timestep,1.883287884
2066,DROUGHT: Medium Severity [Type],19.37141754,Normal,Iteration and Timestep,9.68570877
2067,DROUGHT: Medium Severity [Type],165.8283577,Normal,Iteration and Timestep,82.91417884
2068,DROUGHT: Medium Severity [Type],75.43440754,Normal,Iteration and Timestep,37.71720377
2069,DROUGHT: Medium Severity [Type],333.4135725,Normal,Iteration and Timestep,166.7067863
2070,DROUGHT: Medium Severity [Type],766.4307017,Normal,Iteration and Timestep,383.2153508
2071,DROUGHT: Medium Severity [Type],31.94507276,Normal,Iteration and Timestep,15.97253638
2072,DROUGHT: Medium Severity [Type],13.49261479,Normal,Iteration and Timestep,6.746307395
2073,DROUGHT: Medium Severity [Type],54.23508788,Normal,Iteration and Timestep,27.11754394
2074,DROUGHT: Medium Severity [Type],63.30996838,Normal,Iteration and Timestep,31.65498419
2075,DROUGHT: Medium Severity [Type],44.68180667,Normal,Iteration and Timestep,22.34090333
2076,DROUGHT: Medium Severity [Type],268.755635,Normal,Iteration and Timestep,134.3778175
2077,DROUGHT: Medium Severity [Type],802.3640425,Normal,Iteration and Timestep,401.1820212
2078,DROUGHT: Medium Severity [Type],1746.213005,Normal,Iteration and Timestep,873.1065025
2079,DROUGHT: Medium Severity [Type],213.1245341,Normal,Iteration and Timestep,106.562267
2080,DROUGHT: Medium Severity [Type],48.91210054,Normal,Iteration and Timestep,24.45605027
2081,DROUGHT: Medium Severity [Type],117.0335911,Normal,Iteration and Timestep,58.51679555
2082,DROUGHT: Medium Severity [Type],20.53068732,Normal,Iteration and Timestep,10.26534366
2083,DROUGHT: Medium Severity [Type],10.38012408,Normal,Iteration and Timestep,5.190062039
2084,DROUGHT: Medium Severity [Type],7.535564419,Normal,Iteration and Timestep,3.76778221
2085,DROUGHT: Medium Severity [Type],8.510676274,Normal,Iteration and Timestep,4.255338137
2086,DROUGHT: Medium Severity [Type],1.424056312,Normal,Iteration and Timestep,0.712028156
2087,DROUGHT: Medium Severity [Type],3.169333479,Normal,Iteration and Timestep,1.584666739
2088,DROUGHT: Medium Severity [Type],23.34831843,Normal,Iteration and Timestep,11.67415921
2089,DROUGHT: Medium Severity [Type],15.30157967,Normal,Iteration and Timestep,7.650789836
2090,DROUGHT: Medium Severity [Type],15.70297789,Normal,Iteration and Timestep,7.851488943
2091,DROUGHT: Medium Severity [Type],37.43820726,Normal,Iteration and Timestep,18.71910363
2092,DROUGHT: Medium Severity [Type],61.54626864,Normal,Iteration and Timestep,30.77313432
2093,DROUGHT: Medium Severity [Type],11.64500604,Normal,Iteration and Timestep,5.822503019
2094,DROUGHT: Medium Severity [Type],190.5602861,Normal,Iteration and Timestep,95.28014306
2095,DROUGHT: Medium Severity [Type],109.8026951,Normal,Iteration and Timestep,54.90134755
2096,DROUGHT: Medium Severity [Type],318.8611773,Normal,Iteration and Timestep,159.4305886
2097,DROUGHT: Medium Severity [Type],224.7249963,Normal,Iteration and Timestep,112.3624981
2098,DROUGHT: Medium Severity [Type],870.6233356,Normal,Iteration and Timestep,435.3116678
2099,DROUGHT: Medium Severity [Type],128.8135514,Normal,Iteration and Timestep,64.4067757
2100,DROUGHT: Medium Severity [Type],115.4733652,Normal,Iteration and Timestep,57.73668259
2017,DROUGHT: Low Severity [Type],7144.124532,Normal,Iteration and Timestep,3572.062266
2018,DROUGHT: Low Severity [Type],5758.276667,Normal,Iteration and Timestep,2879.138333
2019,DROUGHT: Low Severity [Type],5717.171057,Normal,Iteration and Timestep,2858.585529
2020,DROUGHT: Low Severity [Type],7395.441573,Normal,Iteration and Timestep,3697.720786
2021,DROUGHT: Low Severity [Type],9483.976696,Normal,Iteration and Timestep,4741.988348
2022,DROUGHT: Low Severity [Type],12949.6388,Normal,Iteration and Timestep,6474.819399
2023,DROUGHT: Low Severity [Type],14608.0743,Normal,Iteration and Timestep,7304.037152
2024,DROUGHT: Low Severity [Type],15677.49041,Normal,Iteration and Timestep,7838.745203
2025,DROUGHT: Low Severity [Type],12727.58035,Normal,Iteration and Timestep,6363.790174
2026,DROUGHT: Low Severity [Type],9504.322224,Normal,Iteration and Timestep,4752.161112
2027,DROUGHT: Low Severity [Type],6757.641147,Normal,Iteration and Timestep,3378.820573
2028,DROUGHT: Low Severity [Type],6338.00009,Normal,Iteration and Timestep,3169.000045
2029,DROUGHT: Low Severity [Type],6986.667138,Normal,Iteration and Timestep,3493.333569
2030,DROUGHT: Low Severity [Type],7597.224376,Normal,Iteration and Timestep,3798.612188
2031,DROUGHT: Low Severity [Type],7580.236939,Normal,Iteration and Timestep,3790.118469
2032,DROUGHT: Low Severity [Type],6729.46218,Normal,Iteration and Timestep,3364.73109
2033,DROUGHT: Low Severity [Type],6261.387902,Normal,Iteration and Timestep,3130.693951
2034,DROUGHT: Low Severity [Type],5873.662576,Normal,Iteration and Timestep,2936.831288
2035,DROUGHT: Low Severity [Type],6832.856847,Normal,Iteration and Timestep,3416.428423
2036,DROUGHT: Low Severity [Type],9648.573719,Normal,Iteration and Timestep,4824.286859
2037,DROUGHT: Low Severity [Type],16226.86068,Normal,Iteration and Timestep,8113.430339
2038,DROUGHT: Low Severity [Type],16473.16765,Normal,Iteration and Timestep,8236.583825
